"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Election Commission","Agency Overall","2023","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2023","0","0","0","0","2","3","1","0","1","0","1","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2023","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","0","0","0","0","1","0","0","1","0","1","0","0","0"
"United States Postal Service","Agency Overall","2023","0","2","24","2","10","39","3","1","19","2","7","2","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2023","0","1","0","0","1","2","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2023","0","0","0","1","2","3","4","0","1","1","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","0","0","0","1","1","1","0","0","0","0","0","0","5","0"
"United States International Trade Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","0","0","23","0","6","7","5","0","36","0","0","0","0","0"
"Department of Transportation","Agency Overall","2023","0","0","0","2","15","14","1","0","6","0","1","0","0","0"
"Department of Justice","Agency Overall","2023","13","1","93","2","63","486","122","0","458","72","202","54","0","0"
"National Aeronautics and Space Administration","Agency Overall","2023","0","1","1","2","2","3","0","0","2","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2023","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2023","0","0","9","25","20","46","4","1","13","1","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2023","0","0","1","1","7","20","2","0","11","1","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2023","0","0","0","2","2","3","1","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2023","0","1","0","0","3","1","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2023","1","2","42","9","21","29","12","0","18","1","16","2","5","0"
"Marine Mammal Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2023","0","3","8","12","142","23","201","3","23","2","3","2","5","0"
"Federal Trade Commission","Agency Overall","2023","0","1","4","3","6","4","12","1","3","2","2","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2023","0","0","0","0","2","0","0","0","0","0","1","0","2","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","10","0","10","0","0","0","0","0","0","1","0","0","0","0"
"Federal Communications Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2023","0","0","0","1","9","5","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2023","0","0","0","11","8","5","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2023","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2023","226","41","1210","150","886","3117","428","12","2616","105","2134","73","19","0"
