"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Commerce","Agency Overall","2023","793","247","94","65","34","31","26","13","11","14","33","26","49","1436"
"Department of Defense","Agency Overall","2023","23762","1312","448","228","184","127","93","103","68","66","179","72","507","27149"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Department of the Interior","Agency Overall","2023","2066","668","317","173","114","84","80","50","47","33","269","101","470","4472"
"National Archives and Records Administration","Agency Overall","2023","56037","2178","984","970","283","118","66","64","62","76","254","164","854","62110"
"Department of Labor","Agency Overall","2023","6588","715","290","173","95","74","33","47","30","24","63","55","40","8227"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","24","3","0","0","0","0","0","0","0","0","0","0","0","27"
"Office of Science and Technology Policy","Agency Overall","2023","12","3","0","0","0","1","0","0","0","0","0","0","4","20"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","10","2","0","0","0","0","0","0","0","0","0","12"
"U.S. International Development Finance Corporation","Agency Overall","2023","16","6","1","1","0","0","0","0","0","0","1","0","0","25"
"Office of Special Counsel","Agency Overall","2023","62","11","7","3","0","0","0","0","0","0","0","0","0","83"
"Federal Open Market Committee","Agency Overall","2023","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Department of Agriculture","Agency Overall","2023","12116","807","422","235","142","100","99","48","50","53","121","83","214","14490"
"Environmental Protection Agency","Agency Overall","2023","2085","567","215","99","77","50","39","26","21","13","54","28","77","3351"
"Millennium Challenge Corporation","Agency Overall","2023","24","3","8","5","0","0","0","0","0","0","0","0","0","40"
"Appraisal Subcommittee","Agency Overall","2023","23","1","0","0","0","0","0","0","0","0","0","0","0","24"
"Federal Maritime Commission","Agency Overall","2023","16","10","3","0","1","0","0","0","0","0","1","0","0","31"
"Farm Credit System Insurance Corporation","Agency Overall","2023","23","0","0","0","0","0","0","0","0","0","0","0","0","23"
"General Services Administration","Agency Overall","2023","342","95","47","28","17","10","7","10","5","7","12","7","7","594"
"Federal Financial Institutions Examination Council","Agency Overall","2023","13","2","1","0","0","0","0","0","0","0","0","0","0","16"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","10","4","1","0","0","0","1","0","0","0","0","0","0","16"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","3","2","4","1","2","0","0","0","0","0","0","0","0","12"
"Inter-American Foundation","Agency Overall","2023","18","0","1","0","0","0","0","0","0","0","0","0","0","19"
"Export-Import Bank of the U.S.","Agency Overall","2023","24","9","4","1","0","0","1","0","0","0","2","0","0","41"
"Office of the United States Trade Representative","Agency Overall","2023","28","11","2","3","1","0","0","0","0","0","0","0","0","45"
"Central Intelligence Agency","Agency Overall","2023","47","5","3","3","5","0","1","3","0","0","0","0","0","67"
"U.S. Department of State","Agency Overall","2023","182","46","20","21","10","22","13","15","11","12","37","32","99","520"
"Federal Election Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2023","21","2","5","1","0","2","1","1","1","1","2","3","37","77"
"Merit Systems Protection Board","Agency Overall","2023","93","4","1","0","0","0","1","0","0","0","0","0","0","99"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","4","2","0","0","0","0","0","0","0","0","0","0","0","6"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","14","10","6","2","1","1","0","2","0","0","0","0","0","36"
"Legal Services Corporation","Agency Overall","2023","12","5","3","0","0","0","0","0","0","0","0","0","0","20"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","25","8","4","2","1","0","0","0","1","0","0","0","0","41"
"United States Postal Service","Agency Overall","2023","2900","295","67","50","20","14","7","3","3","1","7","3","8","3378"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","2","0","2","2","3","1","2","1","0","0","0","0","0","13"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","19","5","0","0","0","0","0","0","0","0","0","0","0","24"
"National Credit Union Administration","Agency Overall","2023","110","0","0","0","0","0","0","0","0","0","0","0","0","110"
"National Council on Disability","Agency Overall","2023","2","2","1","0","0","0","0","0","0","0","0","0","0","5"
"Council on Environmental Quality","Agency Overall","2023","30","17","11","4","4","3","2","1","0","0","4","2","2","80"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","2","3","0","0","0","0","0","0","0","0","0","0","5"
"Surface Transportation Board","Agency Overall","2023","69","2","0","0","0","0","0","0","0","0","0","0","0","71"
"Social Security Advisory Board","Agency Overall","2023","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Selective Service System","Agency Overall","2023","49","0","0","0","0","0","0","0","0","0","0","0","0","49"
"American Battle Monuments Commission","Agency Overall","2023","18","0","0","0","0","0","0","0","0","0","0","0","0","18"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","13","0","1","0","0","0","0","0","0","0","0","0","0","14"
"United States Institute of Peace","Agency Overall","2023","1","0","2","0","0","0","0","0","0","0","0","0","0","3"
"United States International Boundary and Water Commission","Agency Overall","2023","8","4","3","5","3","1","0","0","0","0","0","0","0","24"
"United States Copyright Office","Agency Overall","2023","10","10","3","1","0","0","0","0","0","0","0","0","0","24"
"U.S. Railroad Retirement Board","Agency Overall","2023","63","6","3","0","0","0","0","0","1","0","1","0","0","74"
"National Labor Relations Board","Agency Overall","2023","1626","140","12","10","5","6","2","2","2","1","5","4","0","1815"
"National Capital Planning Commission","Agency Overall","2023","21","0","0","0","0","0","0","0","0","0","0","0","0","21"
"U.S. Commission on Civil Rights","Agency Overall","2023","38","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Federal Deposit Insurance Corporation","Agency Overall","2023","255","59","14","7","2","1","0","0","0","0","0","0","0","338"
"United States International Trade Commission","Agency Overall","2023","13","3","0","0","0","0","0","0","0","0","0","0","0","16"
"Equal Employment Opportunity Commission","Agency Overall","2023","11593","1719","88","36","13","7","11","6","4","0","6","3","8","13494"
"Department of Transportation","Agency Overall","2023","8664","1831","566","367","475","454","328","197","177","174","549","278","275","14335"
"Department of Justice","Agency Overall","2023","32846","7211","3444","3936","3544","2923","2592","2034","1874","1910","12366","12089","10722","97491"
"National Aeronautics and Space Administration","Agency Overall","2023","379","26","2","3","1","0","0","0","0","0","0","1","0","412"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2023","18","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","1005","10","0","0","0","0","0","0","0","0","0","0","0","1015"
"Postal Regulatory Commission","Agency Overall","2023","74","1","1","0","0","0","0","0","0","0","0","0","0","76"
"National Mediation Board","Agency Overall","2023","25","1","0","0","0","0","0","0","0","0","0","0","0","26"
"U.S. Agency for International Development","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2023","11965","882","245","107","81","57","32","28","21","39","156","46","86","13745"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","18","8","1","0","0","0","0","0","0","0","0","0","0","27"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","12","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","44","0","0","0","0","0","0","0","0","0","0","0","0","44"
"Department of Education","Agency Overall","2023","620","33","16","15","7","4","10","6","1","1","12","7","32","764"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","45","2","3","1","0","0","0","0","0","0","0","0","0","51"
"Department of Housing and Urban Development","Agency Overall","2023","367","82","28","37","20","5","7","7","3","6","10","2","6","580"
"Tennessee Valley Authority","Agency Overall","2023","111","13","3","3","0","1","0","0","0","0","0","0","0","131"
"Department of the Treasury","Agency Overall","2023","2154","158","39","21","13","4","7","3","4","3","7","1","9","2423"
"Marine Mammal Commission","Agency Overall","2023","29","1","1","0","0","0","0","1","0","1","0","0","0","33"
"Securities and Exchange Commission","Agency Overall","2023","4109","0","0","0","0","0","0","0","0","0","0","0","0","4109"
"Federal Trade Commission","Agency Overall","2023","929","34","5","0","1","1","0","0","0","0","0","0","0","970"
"Consumer Financial Protection Bureau","Agency Overall","2023","257","32","10","4","2","0","0","0","0","0","0","0","0","305"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","2","0","1","0","1","0","0","0","0","0","0","0","0","4"
"Office of the National Cyber Director","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Armed Forces Retirement Home","Agency Overall","2023","0","7","3","1","0","1","0","0","0","0","0","0","0","12"
"United States Access Board","Agency Overall","2023","16","2","1","0","0","0","0","0","0","0","0","0","0","19"
"National Endowment for the Arts","Agency Overall","2023","32","5","0","0","0","0","0","0","0","0","0","0","0","37"
"Commission of Fine Arts","Agency Overall","2023","11","8","1","0","0","0","0","0","0","0","0","0","0","20"
"Office of the Director of National Intelligence","Agency Overall","2023","130","12","3","0","1","1","1","0","0","0","0","0","1","149"
"Federal Communications Commission","Agency Overall","2023","315","103","9","0","0","0","0","0","0","0","0","0","0","427"
"Federal Energy Regulatory Commission","Agency Overall","2023","6","5","2","0","0","0","0","0","0","0","0","0","0","13"
"Federal Labor Relations Authority","Agency Overall","2023","78","32","9","4","7","3","1","2","1","0","4","7","2","150"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","26","0","0","0","0","0","0","0","0","0","0","0","0","26"
"Small Business Administration","Agency Overall","2023","2443","491","81","36","29","20","16","11","13","7","49","27","92","3315"
"U.S. Agency for Global Media","Agency Overall","2023","25","6","4","3","1","1","1","0","1","0","2","0","0","44"
"Presidio Trust","Agency Overall","2023","5","5","0","0","0","0","0","0","0","0","0","0","0","10"
"Federal Housing Finance Agency","Agency Overall","2023","55","7","2","0","0","0","0","0","0","0","0","1","1","66"
"Office of Government Ethics","Agency Overall","2023","90","5","1","3","1","1","0","0","1","0","0","1","2","105"
"All agencies","Agency Overall","2023","262494","24627","8836","7349","6964","10047","5666","2932","2503","2510","14374","13220","13904","375426"
