"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"U.S. Department of State","Agency Overall","2023","21619","272"
"Federal Election Commission","Agency Overall","2023","1","0"
"United States Trade and Development Agency","Agency Overall","2023","14","0"
"Merit Systems Protection Board","Agency Overall","2023","96","2"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","3","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","26","0"
"Legal Services Corporation","Agency Overall","2023","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","8","0"
"United States Postal Service","Agency Overall","2023","136","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","70","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","9","0"
"National Credit Union Administration","Agency Overall","2023","0","0"
"National Council on Disability","Agency Overall","2023","2","0"
"Council on Environmental Quality","Agency Overall","2023","27","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0"
"Surface Transportation Board","Agency Overall","2023","0","0"
"Social Security Advisory Board","Agency Overall","2023","2","0"
"Selective Service System","Agency Overall","2023","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","1","0"
"United States Institute of Peace","Agency Overall","2023","7","0"
"United States International Boundary and Water Commission","Agency Overall","2023","54","0"
"United States Copyright Office","Agency Overall","2023","6","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0"
"National Labor Relations Board","Agency Overall","2023","6","0"
"National Capital Planning Commission","Agency Overall","2023","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","123","0"
"United States International Trade Commission","Agency Overall","2023","17","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","506","9"
"Department of Transportation","Agency Overall","2023","5913","229"
"Department of Justice","Agency Overall","2023","43927","240"
"National Aeronautics and Space Administration","Agency Overall","2023","32","7"
"United States African Development Foundation","Agency Overall","2023","0","0"
"Denali Commission","Agency Overall","2023","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","0"
"Postal Regulatory Commission","Agency Overall","2023","7","0"
"National Mediation Board","Agency Overall","2023","0","0"
"U.S. Agency for International Development","Agency Overall","2023","401","11"
"Department of Health and Human Services","Agency Overall","2023","11256","640"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","3","0"
"Department of Education","Agency Overall","2023","1978","35"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","40","3"
"Department of Housing and Urban Development","Agency Overall","2023","555","0"
"Tennessee Valley Authority","Agency Overall","2023","35","1"
"Department of the Treasury","Agency Overall","2023","2468","42"
"Marine Mammal Commission","Agency Overall","2023","4","0"
"Securities and Exchange Commission","Agency Overall","2023","819","2"
"Federal Trade Commission","Agency Overall","2023","37","0"
"Consumer Financial Protection Bureau","Agency Overall","2023","37","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","5","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","1","0"
"United States Access Board","Agency Overall","2023","1","0"
"National Endowment for the Arts","Agency Overall","2023","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","658","19"
"Federal Communications Commission","Agency Overall","2023","35","12"
"Federal Energy Regulatory Commission","Agency Overall","2023","94","0"
"Federal Labor Relations Authority","Agency Overall","2023","35","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0"
"Small Business Administration","Agency Overall","2023","784","3"
"U.S. Agency for Global Media","Agency Overall","2023","7","1"
"Presidio Trust","Agency Overall","2023","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","51","0"
"Office of Government Ethics","Agency Overall","2023","0","0"
"All agencies","Agency Overall","2023","200843","4646"
