"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Denali Commission","Agency Overall","2023","18","0","0","0","0","0","0","0","0","0","0","0","18"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","1835","320","89","247","1","57","2","11","21","9","51","0","2643"
"Postal Regulatory Commission","Agency Overall","2023","4","4","0","8","1","0","0","2","0","0","1","60","80"
"National Mediation Board","Agency Overall","2023","10","3","0","6","0","0","0","3","0","6","0","1","29"
"U.S. Agency for International Development","Agency Overall","2023","34","103","15","54","1","77","7","8","7","9","11","8","334"
"Department of Health and Human Services","Agency Overall","2023","14609","5618","6548","5127","540","3539","1969","403","4901","1005","2659","120","47038"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","10","2","2","12","1","0","0","0","0","0","0","0","27"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","12","0","0","0","0","0","0","0","0","0","0","0","12"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","31","6","0","10","0","1","0","4","1","1","0","0","54"
"Department of Education","Agency Overall","2023","228","1096","137","167","7","233","2","87","0","291","101","36","2385"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","6","25","7","32","2","3","0","17","9","0","4","3","108"
"Department of Housing and Urban Development","Agency Overall","2023","318","385","60","378","22","355","21","24","49","57","216","47","1932"
"Tennessee Valley Authority","Agency Overall","2023","65","63","8","24","1","5","5","4","0","2","0","0","177"
"Department of the Treasury","Agency Overall","2023","2902","2281","398","721","144","463","48","236","2223","379","658","97","10550"
"Marine Mammal Commission","Agency Overall","2023","31","3","0","0","0","0","0","0","0","0","0","0","34"
"Securities and Exchange Commission","Agency Overall","2023","1286","526","831","4925","96","968","9","43","81","158","99","0","9022"
"Federal Trade Commission","Agency Overall","2023","536","448","157","240","0","44","18","66","202","8","35","58","1812"
"Consumer Financial Protection Bureau","Agency Overall","2023","76","96","35","59","1","62","4","6","18","166","14","0","537"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","4","0","0","0","0","0","0","0","0","0","0","0","4"
"Office of the National Cyber Director","Agency Overall","2023","0","2","0","0","1","0","0","1","2","0","0","0","6"
"Armed Forces Retirement Home","Agency Overall","2023","4","1","0","6","0","1","0","0","0","0","0","0","12"
"United States Access Board","Agency Overall","2023","6","4","0","9","0","0","0","0","0","0","0","0","19"
"National Endowment for the Arts","Agency Overall","2023","11","15","0","11","4","2","0","5","2","0","0","0","50"
"Commission of Fine Arts","Agency Overall","2023","4","3","0","14","0","0","0","4","0","0","0","0","25"
"Office of the Director of National Intelligence","Agency Overall","2023","16","120","37","71","2","7","0","0","0","4","1","11","269"
"Federal Communications Commission","Agency Overall","2023","106","179","16","91","3","103","15","0","8","5","7","2","535"
"Federal Energy Regulatory Commission","Agency Overall","2023","10","44","16","21","0","3","0","0","0","0","0","0","94"
"Federal Labor Relations Authority","Agency Overall","2023","17","56","0","30","0","3","0","4","4","43","1","0","158"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","1","0","0","25","0","0","0","0","0","0","0","0","26"
"Small Business Administration","Agency Overall","2023","1645","717","97","141","2","432","8","78","61","801","151","0","4133"
"U.S. Agency for Global Media","Agency Overall","2023","26","39","0","27","0","1","0","26","2","0","0","57","178"
"Presidio Trust","Agency Overall","2023","4","5","0","2","0","4","0","1","0","0","0","0","16"
"Federal Housing Finance Agency","Agency Overall","2023","5","32","2","43","0","1","0","1","0","0","0","0","84"
"Office of Government Ethics","Agency Overall","2023","23","22","0","51","1","14","0","0","1","1","0","0","113"
"All agencies","Agency Overall","2023","180082","432305","40786","253438","18744","23211","4695","9477","97810","20817","31509","9337","1122211"
