"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Federal Election Commission","Agency Overall","2023","2","0","0","1","3"
"United States Trade and Development Agency","Agency Overall","2023","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2023","8","3","7","0","18"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","2","0","0","2"
"Legal Services Corporation","Agency Overall","2023","1","0","1","0","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","1","0","0","0","1"
"United States Postal Service","Agency Overall","2023","73","38","26","14","151"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0","0","1","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2023","1","1","0","0","2"
"National Council on Disability","Agency Overall","2023","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","3","0","0","0","3"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2023","1","0","0","0","1"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2023","2","0","0","0","2"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2023","6","0","0","3","9"
"National Capital Planning Commission","Agency Overall","2023","0","0","1","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","8","2","5","8","23"
"United States International Trade Commission","Agency Overall","2023","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","65","4","53","323","445"
"Department of Transportation","Agency Overall","2023","26","11","28","13","78"
"Department of Justice","Agency Overall","2023","1197","107","257","565","2126"
"National Aeronautics and Space Administration","Agency Overall","2023","4","4","4","2","14"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","2","0","0","6","8"
"Postal Regulatory Commission","Agency Overall","2023","1","0","0","0","1"
"National Mediation Board","Agency Overall","2023","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2023","4","1","3","7","15"
"Department of Health and Human Services","Agency Overall","2023","104","13","66","228","411"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","0","0","0","0"
"Department of Education","Agency Overall","2023","19","14","6","9","48"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","1","0","0","0","1"
"Department of Housing and Urban Development","Agency Overall","2023","19","4","10","25","58"
"Tennessee Valley Authority","Agency Overall","2023","3","0","0","0","3"
"Department of the Treasury","Agency Overall","2023","118","17","8","34","177"
"Marine Mammal Commission","Agency Overall","2023","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2023","395","45","144","47","631"
"Federal Trade Commission","Agency Overall","2023","20","7","9","3","39"
"Consumer Financial Protection Bureau","Agency Overall","2023","8","2","4","0","14"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2023","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","16","0","1","3","20"
"Federal Communications Commission","Agency Overall","2023","0","0","0","11","11"
"Federal Energy Regulatory Commission","Agency Overall","2023","11","1","0","2","14"
"Federal Labor Relations Authority","Agency Overall","2023","0","1","0","0","1"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","1","0","0","0","1"
"Small Business Administration","Agency Overall","2023","22","13","19","15","69"
"U.S. Agency for Global Media","Agency Overall","2023","0","1","0","0","1"
"Presidio Trust","Agency Overall","2023","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","1","0","0","1","2"
"Office of Government Ethics","Agency Overall","2023","0","0","0","0","0"
"All agencies","Agency Overall","2023","5770","1920","3294","3805","14789"
