"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Export-Import Bank of the U.S.","Agency Overall","2023","2","2","3","1"
"Office of the United States Trade Representative","Agency Overall","2023","0","1","1","0"
"Central Intelligence Agency","Agency Overall","2023","388","67","109","346"
"U.S. Department of State","Agency Overall","2023","414","416","525","305"
"Federal Election Commission","Agency Overall","2023","0","4","3","1"
"United States Trade and Development Agency","Agency Overall","2023","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2023","2","19","18","3"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","2","2","0"
"Legal Services Corporation","Agency Overall","2023","0","2","2","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","1","1","0"
"United States Postal Service","Agency Overall","2023","16","142","151","7"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","1","0","1","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","0","0"
"National Credit Union Administration","Agency Overall","2023","0","2","2","0"
"National Council on Disability","Agency Overall","2023","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","0","3","3","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0","0","0"
"Surface Transportation Board","Agency Overall","2023","0","1","1","0"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","0","0","0"
"United States Copyright Office","Agency Overall","2023","0","2","2","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","0","0"
"National Labor Relations Board","Agency Overall","2023","1","8","9","0"
"National Capital Planning Commission","Agency Overall","2023","0","1","1","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","0","23","23","0"
"United States International Trade Commission","Agency Overall","2023","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","19","456","445","30"
"Department of Transportation","Agency Overall","2023","234","78","78","234"
"Department of Justice","Agency Overall","2023","453","2044","2126","371"
"National Aeronautics and Space Administration","Agency Overall","2023","6","17","14","9"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","8","8","0"
"Postal Regulatory Commission","Agency Overall","2023","0","1","1","0"
"National Mediation Board","Agency Overall","2023","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2023","10","18","15","13"
"Department of Health and Human Services","Agency Overall","2023","616","466","411","671"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","0","0","0"
"Department of Education","Agency Overall","2023","39","45","48","36"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","1","3","1","3"
"Department of Housing and Urban Development","Agency Overall","2023","6","55","58","3"
"Tennessee Valley Authority","Agency Overall","2023","0","4","3","1"
"Department of the Treasury","Agency Overall","2023","57","167","177","47"
"Marine Mammal Commission","Agency Overall","2023","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2023","2","632","631","3"
"Federal Trade Commission","Agency Overall","2023","4","39","39","4"
"Consumer Financial Protection Bureau","Agency Overall","2023","0","14","14","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2023","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","24","15","20","19"
"Federal Communications Commission","Agency Overall","2023","10","17","11","16"
"Federal Energy Regulatory Commission","Agency Overall","2023","5","9","14","0"
"Federal Labor Relations Authority","Agency Overall","2023","0","1","1","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","1","1","0"
"Small Business Administration","Agency Overall","2023","40","32","69","3"
"U.S. Agency for Global Media","Agency Overall","2023","1","1","1","1"
"Presidio Trust","Agency Overall","2023","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","0","2","2","0"
"Office of Government Ethics","Agency Overall","2023","0","0","0","0"
"All agencies","Agency Overall","2023","5955","14443","14789","5609"
