"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Department of Health and Human Services","Agency Overall","2023","38462","46530","37241","47038"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","4","27","4","27"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","5","12","5","12"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","52","63","52","54"
"Department of Education","Agency Overall","2023","2372","2816","1462","2385"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","77","130","83","108"
"Department of Housing and Urban Development","Agency Overall","2023","1819","1909","2031","1932"
"Tennessee Valley Authority","Agency Overall","2023","211","206","217","177"
"Department of the Treasury","Agency Overall","2023","10594","10782","10431","10550"
"Marine Mammal Commission","Agency Overall","2023","9","56","10","34"
"Securities and Exchange Commission","Agency Overall","2023","10000","9481","9856","9022"
"Federal Trade Commission","Agency Overall","2023","1619","1820","1579","1812"
"Consumer Financial Protection Bureau","Agency Overall","2023","437","510","380","537"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","4","18","4","4"
"Office of the National Cyber Director","Agency Overall","2023","0","6","0","6"
"Armed Forces Retirement Home","Agency Overall","2023","8","12","7","12"
"United States Access Board","Agency Overall","2023","10","20","11","19"
"National Endowment for the Arts","Agency Overall","2023","40","62","41","50"
"Commission of Fine Arts","Agency Overall","2023","17","25","17","25"
"Office of the Director of National Intelligence","Agency Overall","2023","499","386","429","269"
"Federal Communications Commission","Agency Overall","2023","523","586","508","535"
"Federal Energy Regulatory Commission","Agency Overall","2023","103","138","84","94"
"Federal Labor Relations Authority","Agency Overall","2023","166","222","136","158"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","26","0","26"
"Small Business Administration","Agency Overall","2023","7844","4381","10828","4133"
"U.S. Agency for Global Media","Agency Overall","2023","92","120","77","178"
"Presidio Trust","Agency Overall","2023","9","16","9","16"
"Federal Housing Finance Agency","Agency Overall","2023","89","117","73","84"
"Office of Government Ethics","Agency Overall","2023","120","112","125","113"
"All agencies","Agency Overall","2023","929664","1199699","873170","1122211"
