"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Open Market Committee","Agency Overall","2023","0","1","0","1","0","4","0","0","0","0","0","0","0","6"
"Department of Agriculture","Agency Overall","2023","312","171","131","83","79","60","30","32","25","26","88","72","287","1396"
"Environmental Protection Agency","Agency Overall","2023","466","389","201","137","108","48","48","47","26","16","89","52","367","1994"
"Millennium Challenge Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","1","1","2","0","0","1","0","0","1","1","0","7"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2023","62","76","31","21","17","9","9","8","10","6","37","18","44","348"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","6","8","5","3","1","2","3","1","0","1","3","1","5","39"
"Office of the United States Trade Representative","Agency Overall","2023","0","0","7","1","1","0","1","1","0","0","0","0","0","11"
"Central Intelligence Agency","Agency Overall","2023","16","68","44","76","89","86","56","49","50","53","85","22","194","888"
"U.S. Department of State","Agency Overall","2023","246","716","3732","2572","2025","161","105","85","21","21","96","106","710","10596"
"Federal Election Commission","Agency Overall","2023","72","7","1","1","1","1","0","0","0","1","0","0","1","85"
"United States Trade and Development Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2023","5","5","3","4","3","3","1","0","0","0","1","0","2","27"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2023","1","0","1","0","0","0","0","0","0","0","0","0","0","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","3","1","2","1","0","1","0","0","0","0","0","0","0","8"
"United States Postal Service","Agency Overall","2023","21","14","6","2","1","1","0","0","1","0","2","4","12","64"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2023","11","22","1","0","0","0","0","0","0","0","0","0","0","34"
"National Council on Disability","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","0","1","1","0","0","1","3","0","0","1","3","1","4","15"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","1","1","0","0","0","0","0","0","0","1","0","0","3"
"Surface Transportation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","4","0","0","0","0","0","0","0","0","0","0","0","4"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2023","0","1","0","1","0","1","0","0","1","0","1","0","1","6"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2023","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2023","2","4","1","5","0","0","0","0","0","0","0","0","0","12"
"Federal Deposit Insurance Corporation","Agency Overall","2023","31","47","13","14","3","1","0","1","1","0","0","1","1","113"
"United States International Trade Commission","Agency Overall","2023","0","4","0","0","0","0","0","0","0","0","1","0","0","5"
"Equal Employment Opportunity Commission","Agency Overall","2023","495","58","4","4","2","1","1","2","2","1","0","0","1","571"
"Department of Transportation","Agency Overall","2023","466","214","131","77","64","51","59","29","26","34","136","137","565","1989"
"Department of Justice","Agency Overall","2023","4940","1896","987","611","449","344","258","247","225","204","770","547","4566","16044"
"National Aeronautics and Space Administration","Agency Overall","2023","246","68","44","17","16","12","1","4","1","7","3","5","0","424"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","1487","139","1","1","0","0","0","0","0","0","0","0","0","1628"
"Postal Regulatory Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2023","108","25","8","12","14","7","5","3","6","6","18","10","95","317"
"Department of Health and Human Services","Agency Overall","2023","18080","2324","1233","730","519","442","334","308","258","205","840","518","2034","27825"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","3","0","0","0","0","0","0","0","0","0","0","0","1","4"
"Department of Education","Agency Overall","2023","790","119","58","44","39","55","40","40","35","19","93","78","122","1532"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","3","8","0","4","1","1","0","1","0","0","1","3","22"
"Department of Housing and Urban Development","Agency Overall","2023","465","188","107","56","59","43","28","17","26","21","51","40","121","1222"
"Tennessee Valley Authority","Agency Overall","2023","0","15","7","3","2","2","1","2","1","0","5","2","0","40"
"Department of the Treasury","Agency Overall","2023","2911","853","324","238","164","128","109","80","68","47","209","128","299","5558"
"Marine Mammal Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"Securities and Exchange Commission","Agency Overall","2023","1942","881","354","333","253","247","205","178","82","52","134","58","68","4787"
"Federal Trade Commission","Agency Overall","2023","324","94","36","23","4","11","6","5","0","2","3","0","0","508"
"Consumer Financial Protection Bureau","Agency Overall","2023","58","37","28","23","9","6","10","4","12","5","11","3","2","208"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","1","0","1","0","0","0","0","0","0","0","0","2"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2023","1","5","0","0","0","0","0","0","0","0","0","0","0","6"
"Commission of Fine Arts","Agency Overall","2023","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"Office of the Director of National Intelligence","Agency Overall","2023","29","10","6","7","7","3","3","0","5","1","9","4","21","105"
"Federal Communications Commission","Agency Overall","2023","0","6","15","4","5","5","3","3","3","3","4","3","6","60"
"Federal Energy Regulatory Commission","Agency Overall","2023","21","32","15","1","4","2","3","0","1","1","1","0","0","81"
"Federal Labor Relations Authority","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2023","6","5","2","0","0","1","0","0","0","0","0","0","1","15"
"U.S. Agency for Global Media","Agency Overall","2023","3","3","4","2","9","3","3","4","1","3","8","1","4","48"
"Presidio Trust","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","2","4","3","3","3","0","0","0","0","0","0","0","2","17"
"Office of Government Ethics","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2023","266893","164169","32208","30964","28390","21320","12951","9284","8468","5129","16738","4520","18795","619829"
