"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"U.S. International Development Finance Corporation","Agency Overall","2023","0","0","0","0"
"Office of Special Counsel","Agency Overall","2023","12","8","12","7"
"Federal Open Market Committee","Agency Overall","2023","0","0","0","0"
"Department of Agriculture","Agency Overall","2023","131","110","160","112"
"Environmental Protection Agency","Agency Overall","2023","132","116","130","119"
"Millennium Challenge Corporation","Agency Overall","2023","2","5","2","5"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0"
"General Services Administration","Agency Overall","2023","25","88","28","89"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","4","2","2","3"
"Office of the United States Trade Representative","Agency Overall","2023","4","1","4","1"
"Central Intelligence Agency","Agency Overall","2023","114","67","171","109"
"U.S. Department of State","Agency Overall","2023","419","416","403","525"
"Federal Election Commission","Agency Overall","2023","9","4","9","3"
"United States Trade and Development Agency","Agency Overall","2023","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2023","11","19","12","18"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","2","0","2"
"Legal Services Corporation","Agency Overall","2023","0","2","0","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","1","0","1"
"United States Postal Service","Agency Overall","2023","171","142","176","151"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","1","0","0","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","0","0"
"National Credit Union Administration","Agency Overall","2023","4","2","6","2"
"National Council on Disability","Agency Overall","2023","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","1","3","1","3"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0","0","0"
"Surface Transportation Board","Agency Overall","2023","1","1","1","1"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2023","1","0","1","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","2","0","2","0"
"United States Copyright Office","Agency Overall","2023","1","2","1","2"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","0","0"
"National Labor Relations Board","Agency Overall","2023","13","8","18","9"
"National Capital Planning Commission","Agency Overall","2023","0","1","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2023","1","0","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","8","23","9","23"
"United States International Trade Commission","Agency Overall","2023","13","0","13","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","205","456","242","445"
"Department of Transportation","Agency Overall","2023","100","78","41","78"
"Department of Justice","Agency Overall","2023","2048","2044","2126","2126"
"National Aeronautics and Space Administration","Agency Overall","2023","9","17","11","14"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","10","8","10","8"
"Postal Regulatory Commission","Agency Overall","2023","0","1","0","1"
"National Mediation Board","Agency Overall","2023","1","0","1","0"
"U.S. Agency for International Development","Agency Overall","2023","12","18","7","15"
"Department of Health and Human Services","Agency Overall","2023","440","466","478","411"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","1","0","1","0"
"Department of Education","Agency Overall","2023","51","45","62","48"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","7","3","6","1"
"Department of Housing and Urban Development","Agency Overall","2023","58","55","53","58"
"Tennessee Valley Authority","Agency Overall","2023","8","4","10","3"
"Department of the Treasury","Agency Overall","2023","156","167","147","177"
"Marine Mammal Commission","Agency Overall","2023","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2023","611","632","612","631"
"Federal Trade Commission","Agency Overall","2023","49","39","49","39"
"Consumer Financial Protection Bureau","Agency Overall","2023","14","14","15","14"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2023","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","15","15","3","20"
"Federal Communications Commission","Agency Overall","2023","9","17","7","11"
"Federal Energy Regulatory Commission","Agency Overall","2023","15","9","10","14"
"Federal Labor Relations Authority","Agency Overall","2023","0","1","0","1"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","1","0","1"
"Small Business Administration","Agency Overall","2023","61","32","56","69"
"U.S. Agency for Global Media","Agency Overall","2023","1","1","1","1"
"Presidio Trust","Agency Overall","2023","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","3","2","3","2"
"Office of Government Ethics","Agency Overall","2023","0","0","0","0"
"All agencies","Agency Overall","2023","15510","14443","15456","14789"
