"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Open Market Committee","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2023","22","5","4","0","0","0","0","0","0","0","0","0","2","33"
"Environmental Protection Agency","Agency Overall","2023","0","2","2","0","0","0","1","0","0","0","0","0","2","7"
"Millennium Challenge Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2023","3","4","2","2","0","2","1","2","2","0","0","0","4","22"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2023","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Central Intelligence Agency","Agency Overall","2023","0","0","0","1","0","0","0","0","0","0","1","0","0","2"
"U.S. Department of State","Agency Overall","2023","7","13","32","21","5","4","3","0","0","1","3","1","43","133"
"Federal Election Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2023","6","0","0","1","0","0","0","0","0","0","0","0","1","8"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2023","18","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2023","291","6","0","1","1","0","1","0","0","1","0","0","0","301"
"National Capital Planning Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","6","7","3","3","2","0","0","0","0","0","0","0","1","22"
"United States International Trade Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0","1","0","2"
"Department of Transportation","Agency Overall","2023","9","3","0","0","0","0","0","0","0","0","0","5","11","28"
"Department of Justice","Agency Overall","2023","105","60","46","49","27","18","15","10","16","16","54","24","95","535"
"National Aeronautics and Space Administration","Agency Overall","2023","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2023","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"National Mediation Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"Department of Health and Human Services","Agency Overall","2023","14","8","10","4","1","3","1","2","2","5","12","9","55","126"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2023","1","0","0","0","0","0","1","0","0","0","0","0","0","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2023","11","7","4","2","1","0","0","0","0","0","0","0","0","25"
"Tennessee Valley Authority","Agency Overall","2023","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Department of the Treasury","Agency Overall","2023","21","13","3","8","1","2","1","0","0","0","1","3","3","56"
"Marine Mammal Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2023","1","0","0","0","1","0","0","0","0","0","0","0","0","2"
"Federal Trade Commission","Agency Overall","2023","37","5","1","0","2","0","0","1","0","0","0","0","0","46"
"Consumer Financial Protection Bureau","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","0","0","2","0","0","0","0","0","0","0","0","0","0","2"
"Federal Communications Commission","Agency Overall","2023","23","9","3","1","1","1","0","0","0","0","0","0","2","40"
"Federal Energy Regulatory Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2023","20","6","0","0","0","0","0","0","0","0","0","0","0","26"
"U.S. Agency for Global Media","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2023","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"All agencies","Agency Overall","2023","1351","282","179","138","83","72","49","31","58","47","122","61","292","2765"
