"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","28","40","14","54"
"Appraisal Subcommittee","Agency Overall","2018","0","4","4","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","8","87","86","9"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","1","15","12","4"
"Federal Deposit Insurance Corporation","Agency Overall","2018","22","423","431","14"
"National Railroad Passenger Corporation","Agency Overall","2018","141","206","215","132"
"Department of Health and Human Services","Agency Overall","2018","6097","35445","33876","7666"
"U.S. Department of State","Agency Overall","2018","13772","8448","10928","11292"
"Occupational Safety and Health Review Commission","Agency Overall","2018","1","69","69","1"
"Office of the United States Trade Representative","Agency Overall","2018","16","186","188","14"
"Federal Reserve System","Agency Overall","2018","49","610","626","33"
"U.S. Agency for International Development","Agency Overall","2018","342","280","337","285"
"U.S. Election Assistance Commission","Agency Overall","2018","15","38","45","8"
"Small Business Administration","Agency Overall","2018","24","1089","1061","52"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","2","53","51","4"
"Presidio Trust","Agency Overall","2018","0","5","5","0"
"Office of Science and Technology Policy","Agency Overall","2018","41","122","100","63"
"Farm Credit Administration","Agency Overall","2018","0","23","21","2"
"Federal Housing Finance Agency","Agency Overall","2018","34","138","148","24"
"Department of Commerce","Agency Overall","2018","629","2269","1976","922"
"United States Institute of Peace","Agency Overall","2018","1","1","2","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","3","3","0"
"Nuclear Regulatory Commission","Agency Overall","2018","85","643","496","232"
"Overseas Private Investment Corporation","Agency Overall","2018","6","59","53","12"
"Selective Service System","Agency Overall","2018","0","54","54","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","51","77","85","43"
"United States International Boundary and Water Commission","Agency Overall","2018","2","50","42","10"
"Department of Justice","Agency Overall","2018","19725","96875","91383","25217"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","2","2","0"
"United States Access Board","Agency Overall","2018","0","8","8","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","8","8","0"
"Office of Management and Budget","Agency Overall","2018","279","547","301","525"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","8","8","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","8","28","26","10"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","69","1618","1598","89"
"Central Intelligence Agency","Agency Overall","2018","1949","2726","2345","2330"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","6","16","19","3"
"Advisory Council on Historic Preservation","Agency Overall","2018","1","3","1","3"
"National Council on Disability","Agency Overall","2018","0","3","3","0"
"Postal Regulatory Commission","Agency Overall","2018","1","52","53","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","4","4","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","3","3","3","3"
"Federal Maritime Commission","Agency Overall","2018","5","26","28","3"
"National Labor Relations Board","Agency Overall","2018","405","1305","1547","163"
"National Aeronautics and Space Administration","Agency Overall","2018","91","853","880","64"
"Department of Veterans Affairs","Agency Overall","2018","4368","24555","22851","6072"
"Commission of Fine Arts","Agency Overall","2018","0","8","8","0"
"Department of Energy","Agency Overall","2018","483","2073","1893","663"
"Environmental Protection Agency","Agency Overall","2018","2808","11364","10442","3730"
"National Endowment for the Humanities","Agency Overall","2018","6","49","54","1"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","28","28","0"
"Department of Labor","Agency Overall","2018","1483","14696","14679","1500"
"Federal Labor Relations Authority","Agency Overall","2018","5","57","62","0"
"National Science Foundation","Agency Overall","2018","278","329","349","258"
"Federal Energy Regulatory Commission","Agency Overall","2018","30","129","111","48"
"Federal Trade Commission","Agency Overall","2018","57","1441","1459","39"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","5","27","30","2"
"Marine Mammal Commission","Agency Overall","2018","2","7","8","1"
"Office of Special Counsel","Agency Overall","2018","222","189","282","129"
"United States Postal Service","Agency Overall","2018","160","3150","3116","194"
"Equal Employment Opportunity Commission","Agency Overall","2018","3719","19065","19134","3650"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","32","49","48","33"
"Department of the Interior","Agency Overall","2018","2306","8402","7001","3707"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","5","65","68","2"
"Denali Commission","Agency Overall","2018","0","4","4","0"
"National Archives and Records Administration","Agency Overall","2018","3286","52850","53101","3035"
"United States Copyright Office","Agency Overall","2018","9","41","44","6"
"Social Security Administration","Agency Overall","2018","728","16427","16631","524"
"National Transportation Safety Board","Agency Overall","2018","927","521","549","899"
"Administrative Conference of the United States","Agency Overall","2018","0","19","19","0"
"National Credit Union Administration","Agency Overall","2018","8","165","154","19"
"Surface Transportation Board","Agency Overall","2018","0","42","41","1"
"Institute of Museum and Library Services","Agency Overall","2018","8","33","26","15"
"Tennessee Valley Authority","Agency Overall","2018","16","222","212","26"
"Council on Environmental Quality","Agency Overall","2018","42","167","156","53"
"Department of Transportation","Agency Overall","2018","5459","15049","16082","4426"
"National Endowment for the Arts","Agency Overall","2018","5","71","76","0"
"Federal Open Market Committee","Agency Overall","2018","1","12","13","0"
"Consumer Product Safety Commission","Agency Overall","2018","259","554","440","373"
"Department of Defense","Agency Overall","2018","14194","57032","54323","16903"
"Millennium Challenge Corporation","Agency Overall","2018","2","23","22","3"
"American Battle Monuments Commission","Agency Overall","2018","2","16","18","0"
"Social Security Advisory Board","Agency Overall","2018","0","3","3","0"
"Federal Election Commission","Agency Overall","2018","72","164","163","73"
"All agencies","Agency Overall","2018","158987","863729","830060","192656"
