"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"American Battle Monuments Commission","Agency Overall","2016","0","0","0","0"
"Legal Services Corporation","Agency Overall","2016","0","1","1","0"
"Presidio Trust","Agency Overall","2016","0","0","0","0"
"Department of Labor","Agency Overall","2016","446","332","337","441"
"Federal Labor Relations Authority","Agency Overall","2016","0","2","2","0"
"Federal Open Market Committee","Agency Overall","2016","0","0","0","0"
"Office of Management and Budget","Agency Overall","2016","5","3","4","4"
"National Aeronautics and Space Administration","Agency Overall","2016","5","20","21","4"
"Consumer Financial Protection Bureau","Agency Overall","2016","2","56","58","0"
"Institute of Museum and Library Services","Agency Overall","2016","0","1","1","0"
"Office of Science and Technology Policy","Agency Overall","2016","0","3","3","0"
"Office of Government Ethics","Agency Overall","2016","0","4","4","0"
"Export-Import Bank of the U.S.","Agency Overall","2016","0","9","9","0"
"Department of Justice","Agency Overall","2016","615","3342","3460","497"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","0","0","0"
"Department of Energy","Agency Overall","2016","12","71","70","13"
"U.S. Department of State","Agency Overall","2016","394","148","42","500"
"Consumer Product Safety Commission","Agency Overall","2016","0","13","13","0"
"Social Security Administration","Agency Overall","2016","40","325","323","42"
"National Council on Disability","Agency Overall","2016","0","0","0","0"
"General Services Administration","Agency Overall","2016","2","25","24","6"
"Administrative Conference of the United States","Agency Overall","2016","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0","0","0"
"Farm Credit Administration","Agency Overall","2016","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","0","2","2","0"
"U.S. Election Assistance Commission","Agency Overall","2016","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","0","4","3","1"
"Office of the Director of National Intelligence","Agency Overall","2016","26","26","33","19"
"National Endowment for the Arts","Agency Overall","2016","0","1","1","0"
"Tennessee Valley Authority","Agency Overall","2016","0","9","9","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","1","1","0"
"Federal Energy Regulatory Commission","Agency Overall","2016","1","6","7","0"
"Millennium Challenge Corporation","Agency Overall","2016","0","0","0","0"
"Small Business Administration","Agency Overall","2016","5","47","51","1"
"Federal Reserve System","Agency Overall","2016","1","17","15","3"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","3","26","27","2"
"Department of the Treasury","Agency Overall","2016","107","258","271","94"
"Peace Corps","Agency Overall","2016","0","11","11","0"
"National Railroad Passenger Corporation","Agency Overall","2016","8","4","1","11"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","3","21","22","2"
"Federal Election Commission","Agency Overall","2016","4","5","3","6"
"Department of Commerce","Agency Overall","2016","59","111","122","48"
"Federal Deposit Insurance Corporation","Agency Overall","2016","0","8","7","1"
"Commission of Fine Arts","Agency Overall","2016","0","0","0","0"
"Office of Special Counsel","Agency Overall","2016","7","9","12","4"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","0","3","3","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","0","0","0"
"Department of Homeland Security","Agency Overall","2016","427","5608","5691","344"
"Department of Transportation","Agency Overall","2016","39","146","107","78"
"Council on Environmental Quality","Agency Overall","2016","0","1","1","0"
"Department of Health and Human Services","Agency Overall","2016","456","262","332","386"
"All agencies","Agency Overall","2016","5050","15095","14800","5337"
