"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","7","3","0","4","0","1","0","0","0","0","0","0","15"
"Overseas Private Investment Corporation","Agency Overall","2016","8","21","1","7","1","5","2","5","1","0","1","0","52"
"Selective Service System","Agency Overall","2016","14","0","0","0","0","0","0","0","0","0","0","0","14"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","48","21","0","0","0","0","0","0","0","0","0","0","69"
"Central Intelligence Agency","Agency Overall","2016","247","218","983","63","23","11","15","178","392","27","5","46","2208"
"Equal Employment Opportunity Commission","Agency Overall","2016","404","12296","1810","1152","190","224","10","24","538","17","390","13","17068"
"Department of Veterans Affairs","Agency Overall","2016","14111","9769","6293","1748","450","275","115","51","198","55","191","57","33313"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","24","17","4","24","1","11","2","32","0","0","0","3","118"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","93","8","0","15","0","7","0","0","2","0","1","7","133"
"National Capital Planning Commission","Agency Overall","2016","13","0","0","9","0","1","0","0","0","0","0","0","23"
"Office of Personnel Management","Agency Overall","2016","6700","2847","40","80","6","17","7","39","15","5","2","1346","11104"
"Department of Defense","Agency Overall","2016","18247","14546","2548","6450","1963","1963","663","670","1037","1245","1549","1451","52332"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","5","9","0","5","1","0","0","0","0","0","0","1","21"
"Postal Regulatory Commission","Agency Overall","2016","10","0","0","0","20","1","0","0","0","0","0","0","31"
"Office of National Drug Control Policy","Agency Overall","2016","11","9","1","16","1","0","0","0","0","0","0","0","38"
"National Credit Union Administration","Agency Overall","2016","30","16","8","10","0","3","1","0","0","0","0","0","68"
"U.S. Commission on Civil Rights","Agency Overall","2016","10","11","0","11","0","1","0","1","0","5","0","0","39"
"United States Access Board","Agency Overall","2016","5","1","0","6","0","0","0","0","1","0","0","0","13"
"National Endowment for the Humanities","Agency Overall","2016","14","18","0","9","0","3","0","0","0","0","2","0","46"
"Department of Housing and Urban Development","Agency Overall","2016","466","431","73","302","424","277","40","9","103","28","128","0","2281"
"United States International Boundary and Water Commission","Agency Overall","2016","15","7","0","4","0","5","1","0","0","0","0","0","32"
"U.S. Agency for Global Media","Agency Overall","2016","8","18","0","10","0","3","6","0","1","1","0","1","48"
"National Science Foundation","Agency Overall","2016","19","194","8","29","2","51","0","0","0","0","1","0","304"
"Department of Agriculture","Agency Overall","2016","18884","2171","455","623","315","341","92","16","40","84","105","8","23134"
"American Battle Monuments Commission","Agency Overall","2016","13","0","0","4","0","0","0","0","0","0","0","0","17"
"Legal Services Corporation","Agency Overall","2016","21","7","1","15","0","3","0","0","0","0","0","4","51"
"Presidio Trust","Agency Overall","2016","5","3","0","0","0","3","0","0","1","0","0","0","12"
"Department of Labor","Agency Overall","2016","1494","7161","1821","3608","405","519","167","64","187","347","693","0","16466"
"Federal Labor Relations Authority","Agency Overall","2016","38","5","1","27","1","1","0","6","0","0","1","0","80"
"Federal Open Market Committee","Agency Overall","2016","6","4","4","1","14","1","0","6","6","1","0","0","43"
"Office of Management and Budget","Agency Overall","2016","11","41","6","89","0","4","0","0","0","0","0","0","151"
"National Aeronautics and Space Administration","Agency Overall","2016","119","176","35","55","27","32","42","130","92","36","58","45","847"
"Consumer Financial Protection Bureau","Agency Overall","2016","82","147","83","57","1","28","3","0","5","21","0","0","427"
"Institute of Museum and Library Services","Agency Overall","2016","16","12","1","10","0","1","0","0","0","0","0","0","40"
"Office of Science and Technology Policy","Agency Overall","2016","15","4","2","38","0","1","0","4","0","0","0","0","64"
"Office of Government Ethics","Agency Overall","2016","10","35","7","24","1","5","1","3","0","0","1","0","87"
"Export-Import Bank of the U.S.","Agency Overall","2016","54","38","3","13","0","1","10","2","0","0","0","0","121"
"Department of Justice","Agency Overall","2016","30147","10452","2813","14133","279","1276","1007","522","8883","299","931","1112","71854"
"Federal Financial Institutions Examination Council","Agency Overall","2016","7","3","0","10","0","0","0","0","2","10","0","0","32"
"Department of Energy","Agency Overall","2016","583","462","30","293","227","205","37","24","24","49","74","0","2008"
"U.S. Department of State","Agency Overall","2016","884","2194","7126","886","244","309","5","2621","399","754","60","0","15482"
"Consumer Product Safety Commission","Agency Overall","2016","213","292","10","107","5","31","2","17","0","2","18","0","697"
"Social Security Administration","Agency Overall","2016","20277","5870","3167","743","229","19","234","576","364","62","93","0","31634"
"National Council on Disability","Agency Overall","2016","1","0","0","0","0","0","0","0","0","0","0","0","1"
"General Services Administration","Agency Overall","2016","186","371","53","114","4","94","59","40","2","25","19","0","967"
"Administrative Conference of the United States","Agency Overall","2016","6","3","0","16","0","0","0","0","0","0","0","0","25"
"Farm Credit System Insurance Corporation","Agency Overall","2016","2","0","0","3","0","1","0","0","0","0","0","0","6"
"Farm Credit Administration","Agency Overall","2016","9","2","1","7","0","2","0","0","0","0","0","0","21"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","2","6","5","7","2","0","0","0","0","0","0","0","22"
"U.S. Election Assistance Commission","Agency Overall","2016","5","1","2","6","0","0","0","1","0","0","0","0","15"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","11","16","3","12","0","1","0","0","0","1","1","3","48"
"Office of the Director of National Intelligence","Agency Overall","2016","52","152","37","43","50","8","0","5","3","0","2","11","363"
"National Endowment for the Arts","Agency Overall","2016","24","22","3","8","0","0","0","0","0","1","0","0","58"
"Tennessee Valley Authority","Agency Overall","2016","68","98","5","23","0","18","0","0","0","1","0","0","213"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","23","15","1","10","0","4","0","0","0","0","0","0","53"
"Federal Energy Regulatory Commission","Agency Overall","2016","12","40","22","9","1","8","0","0","0","0","0","0","92"
"Millennium Challenge Corporation","Agency Overall","2016","9","7","2","6","1","0","0","4","0","0","0","0","29"
"Small Business Administration","Agency Overall","2016","593","177","20","73","0","95","11","27","13","23","43","0","1075"
"Federal Reserve System","Agency Overall","2016","385","85","30","90","0","26","5","26","23","3","7","21","701"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","412","1721","129","9","4","488","48","","","","8","","2819"
"Department of the Treasury","Agency Overall","2016","3525","3244","482","1244","187","324","89","189","2262","199","324","102","12171"
"Peace Corps","Agency Overall","2016","97","32","63","42","1","1","0","0","3","0","18","0","257"
"National Railroad Passenger Corporation","Agency Overall","2016","47","42","16","22","0","49","18","0","6","11","5","0","216"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0","0","3","0","0","0","0","0","0","0","0","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","2260","1070","114","95","0","50","1","12","30","5","142","0","3779"
"Federal Election Commission","Agency Overall","2016","46","38","7","22","0","3","0","0","0","0","0","0","116"
"Department of Commerce","Agency Overall","2016","600","448","62","293","17","204","156","40","41","88","96","103","2148"
"Federal Deposit Insurance Corporation","Agency Overall","2016","94","79","37","27","1","40","63","52","19","65","4","0","481"
"Commission of Fine Arts","Agency Overall","2016","1","2","0","3","0","0","0","0","0","0","0","0","6"
"Office of Special Counsel","Agency Overall","2016","17","78","13","18","3","17","2","2","27","6","1","0","184"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","10","14","0","8","0","3","0","0","2","0","1","0","38"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","2","2","0","14","1","0","0","0","0","0","0","0","19"
"Department of Homeland Security","Agency Overall","2016","17281","186054","5038","55898","835","1033","226","1634","18010","4205","18411","1924","310549"
"Department of Transportation","Agency Overall","2016","6429","2570","124","1695","8","839","57","26","29","34","76","42","11929"
"Council on Environmental Quality","Agency Overall","2016","24","7","0","35","0","3","0","0","3","4","3","3","82"
"Department of Health and Human Services","Agency Overall","2016","14811","4737","5892","4004","702","2560","343","398","990","886","563","304","36190"
"All agencies","Agency Overall","2016","175309","279602","42995","153080","7018","13687","4579","7899","34318","9072","24860","7423","759842"
