"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Office of Management and Budget","Agency Overall","2016","42","60"
"National Aeronautics and Space Administration","Agency Overall","2016","10","8"
"Consumer Financial Protection Bureau","Agency Overall","2016","0","2"
"Institute of Museum and Library Services","Agency Overall","2016","0","1"
"Office of Science and Technology Policy","Agency Overall","2016","7","17"
"Office of Government Ethics","Agency Overall","2016","1","0"
"Export-Import Bank of the U.S.","Agency Overall","2016","33","33"
"Department of Justice","Agency Overall","2016","9744","10644"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","0"
"Department of Energy","Agency Overall","2016","279","230"
"U.S. Department of State","Agency Overall","2016","11731","22664"
"Consumer Product Safety Commission","Agency Overall","2016","188","171"
"Social Security Administration","Agency Overall","2016","146","119"
"National Council on Disability","Agency Overall","2016","0","0"
"General Services Administration","Agency Overall","2016","49","44"
"Administrative Conference of the United States","Agency Overall","2016","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0"
"Farm Credit Administration","Agency Overall","2016","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","1","8"
"U.S. Election Assistance Commission","Agency Overall","2016","0","3"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","21","21"
"Office of the Director of National Intelligence","Agency Overall","2016","272","289"
"National Endowment for the Arts","Agency Overall","2016","1","0"
"Tennessee Valley Authority","Agency Overall","2016","11","13"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2016","11","9"
"Millennium Challenge Corporation","Agency Overall","2016","0","0"
"Small Business Administration","Agency Overall","2016","7","21"
"Federal Reserve System","Agency Overall","2016","14","43"
"United States Institute of Peace","Agency Overall","2016","0","0"
"National Labor Relations Board","Agency Overall","2016","266","121"
"Department of the Treasury","Agency Overall","2016","767","893"
"Peace Corps","Agency Overall","2016","150","86"
"National Railroad Passenger Corporation","Agency Overall","2016","34","76"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","0","0"
"Federal Election Commission","Agency Overall","2016","37","46"
"Department of Commerce","Agency Overall","2016","343","274"
"Federal Deposit Insurance Corporation","Agency Overall","2016","13","4"
"Commission of Fine Arts","Agency Overall","2016","0","0"
"Office of Special Counsel","Agency Overall","2016","196","177"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","2","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","6","15"
"Department of Homeland Security","Agency Overall","2016","35374","46788"
"Department of Transportation","Agency Overall","2016","1865","3593"
"Council on Environmental Quality","Agency Overall","2016","56","67"
"Department of Health and Human Services","Agency Overall","2016","5745","4519"
"All agencies","Agency Overall","2016","89807","115080"
