"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Communications Commission","Agency Overall","2016","18","22.76","<1","422","144","144","144","144","6","11.45","<1","76"
"Inter-American Foundation","Agency Overall","2016","12","11.4","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2016","138","214.37","<1","1621","658","1250.22","1","5707","31","31","31","31"
"Federal Trade Commission","Agency Overall","2016","2","6.4","<1","55","16","33.6","2","296","25","25","21","28"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","15","14","1","21","54","43","20","55","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2016","17","60.25","<1","399","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2016","3","4","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","1","1.58","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2016","17","43.51","3","792","175.5","280.34","10","2299","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2016","19","25.41","<1","350","34","50.46","1","213","22","22","22","22"
"Department of Veterans Affairs","Agency Overall","2016","4","20","<1","1739","21","53","<1","875","15","61","<1","440"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2016","25","32","5","91","120","188","59","540","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","1","2.17","<1","24","11","11.6","1","27","1","1","1","1"
"National Capital Planning Commission","Agency Overall","2016","5","5.77","<1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2016","1","2.1","N/A","N/A","22","34.4","N/A","N/A","13","31.8","N/A","N/A"
"Department of Defense","Agency Overall","2016","18.78","22.3","<1","1487","140.72","194.37","<1","3885","15.45","25.2","<1","1217"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","10","10.5","<1","20","30","33","28","41","69","69","69","69"
"Postal Regulatory Commission","Agency Overall","2016","14","12","4","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2016","10","23","1","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2016","2","4.33","<1","21","25.5","28.59","8","114","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2016","3","3","1","13","10","10","7","11","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2016","12","36.8","6","163","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2016","16","15.3","1","20","28","28","20","36","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2016","19","38.28","<1","1663","61","100.62","<1","639","3","5.2","<1","19"
"United States International Boundary and Water Commission","Agency Overall","2016","15","14","1","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2016","N/A","N/A","N/A","N/A","51","58","16","124","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2016","16","24","1","126","30","108","1","1334","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2016","21","9.32","1","836","28","80.04","1","1461","13","62.89","1","213"
"American Battle Monuments Commission","Agency Overall","2016","12","11","4","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2016","10.5","12.6","1","40","N/A","N/A","N/A","N/A","20","20.5","1","40"
"Presidio Trust","Agency Overall","2016","10","11.4","2","20","15","15","5","25","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2016","12","20.9","<1","1084","13","24.9","<1","901","7","37.1","<1","854"
"Federal Labor Relations Authority","Agency Overall","2016","5","7.49","<1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2016","2","2.4","1","6","85","221","27","848","2","2","2","2"
"Office of Management and Budget","Agency Overall","2016","14","71","1","838","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2016","10","11.72","<1","120","29","39.38","2","198","7","7","7","7"
"Consumer Financial Protection Bureau","Agency Overall","2016","10","12.26","<1","50","34","44.33","22","114","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2016","21.5","13","5","21","31","42.5","21","87","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2016","14","22.85714","2","112","153","201.6667","130","322","116.5","116.5","114","119"
"Office of Government Ethics","Agency Overall","2016","12","17.5","1","107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2016","10","26.18","<1","320","79","145.98","1","526","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2016","20","33.12","<1","1011","87","167.53","<1","1385","60","133.58","<1","1207"
"Federal Financial Institutions Examination Council","Agency Overall","2016","3","7","3","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2016","21","54.79","<1","1165","92","248.98","1","1831","52","52","52","52"
"U.S. Department of State","Agency Overall","2016","106","276","3","1781","437","562","4","2642","168","165","4","357"
"Consumer Product Safety Commission","Agency Overall","2016","15","26","1","312","46","96","1","1665","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2016","6","16","1","365","71","90","8","438","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2016","10","10","10","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2016","13","12.26","<1","20","35","59.96","1","324","6.5","11","<1","30"
"Administrative Conference of the United States","Agency Overall","2016","<1","1.78","<1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2016","7","7","2","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2016","3.5","5.55","<1","19","N/A","N/A","N/A","N/A","2","2","2","2"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","20","25","20","51","60","60","60","61","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2016","49.5","31.16","2","96","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","10","14","1","52","46","145","2","434","24","24","24","24"
"Office of the Director of National Intelligence","Agency Overall","2016","5","69.68","<1","519","266","295.31","3","1063","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2016","12","11","1","27","30","373","25","1065","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2016","4","6","1","20","32","31","22","91","8","19","1","68"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","3","7.4","<1","21","34","58.2","21","170","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2016","29","45","7","345","139","202","31","638","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2016","34","33.41","4","76","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2016","6","12.36","N/A","333","22","18.33","11","22","8","9.67","N/A","30"
"Federal Reserve System","Agency Overall","2016","5","10","1","258","36","66","1","402","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2016","24","33","N/A","N/A","N/A","N/A","N/A","N/A","6","8","N/A","N/A"
"Department of the Treasury","Agency Overall","2016","7","11.85","1","264","21","42.3","1","1111","28","71","6","679"
"Peace Corps","Agency Overall","2016","57","76","<1","467","200","285","38","663","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2016","10","24.25","1","163","42","79.5","1","342","82","96.33","8","199"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","6","7.05","<1","34","16","16.79","<1","152","8","7.67","<1","14"
"Federal Election Commission","Agency Overall","2016","14.5","21.3","2","240","37.5","72.4","9","321","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2016","13","25.33","<1","1144","67.5","162.13","<1","1741","5","11.02","<1","86"
"Federal Deposit Insurance Corporation","Agency Overall","2016","14","18.25","<1","114","32.5","44.93","5","325","7.5","27.5","4","118"
"Commission of Fine Arts","Agency Overall","2016","18","18","18","18","29","29","28","30","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2016","81","156.76","2","571","489","545.7","1","2745","46","229.85","1","917"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","18","21","6","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","N/A","N/A","N/A","N/A","131","148.25","36","295","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2016","9","33.06","<1","1202","86","90.25","<1","1770","11","23.85","<1","468"
"Department of Transportation","Agency Overall","2016","15","25.03","<1","1056","34","84.94","<1","1136","17","21.14","<1","95"
"Council on Environmental Quality","Agency Overall","2016","244","220","15","339","132","275","6","1373","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2016","13","28.58","<1","1030","67","138.77","<1","1546","74","114.08","1","889"
