"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Federal Reserve System","Agency Overall","2016","1","0","4","4"
"United States Institute of Peace","Agency Overall","2016","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2016","0","4","22","33"
"Department of the Treasury","Agency Overall","2016","177","112","1","9"
"Peace Corps","Agency Overall","2016","0","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2016","6","1","1","1"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","4","257","1","2.72"
"Federal Election Commission","Agency Overall","2016","4","0","7","5.7"
"Department of Commerce","Agency Overall","2016","140","112","6","12.34"
"Federal Deposit Insurance Corporation","Agency Overall","2016","3","7","1","2.7"
"Commission of Fine Arts","Agency Overall","2016","0","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2016","0","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2016","429","603","1","7.26"
"Department of Transportation","Agency Overall","2016","42","89","1","6.3157"
"Council on Environmental Quality","Agency Overall","2016","0","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2016","59","135","3","16.65"
"All agencies","Agency Overall","2016","6216","6409","N/A","N/A"
