"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","1","1","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","1","20","15","6"
"Overseas Private Investment Corporation","Agency Overall","2016","9","52","52","9"
"Selective Service System","Agency Overall","2016","0","14","14","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","69","69","0"
"Central Intelligence Agency","Agency Overall","2016","1130","2547","2208","1469"
"Equal Employment Opportunity Commission","Agency Overall","2016","1563","17680","17068","2175"
"Department of Veterans Affairs","Agency Overall","2016","3327","34459","33313","4473"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","32","118","118","32"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","1","132","133","0"
"National Capital Planning Commission","Agency Overall","2016","0","23","23","0"
"Office of Personnel Management","Agency Overall","2016","1065","10189","11104","150"
"Department of Defense","Agency Overall","2016","12469","53544","52332","13681"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","3","18","21","0"
"Postal Regulatory Commission","Agency Overall","2016","0","31","31","0"
"Office of National Drug Control Policy","Agency Overall","2016","3","41","38","6"
"National Credit Union Administration","Agency Overall","2016","5","66","68","3"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","40","39","1"
"United States Access Board","Agency Overall","2016","0","13","13","0"
"National Endowment for the Humanities","Agency Overall","2016","4","47","46","5"
"Department of Housing and Urban Development","Agency Overall","2016","442","2345","2281","506"
"United States International Boundary and Water Commission","Agency Overall","2016","1","34","32","3"
"U.S. Agency for Global Media","Agency Overall","2016","9","54","48","15"
"National Science Foundation","Agency Overall","2016","186","348","304","230"
"Department of Agriculture","Agency Overall","2016","3682","23870","23134","4418"
"American Battle Monuments Commission","Agency Overall","2016","0","17","17","0"
"Legal Services Corporation","Agency Overall","2016","6","48","51","3"
"Presidio Trust","Agency Overall","2016","0","12","12","0"
"Department of Labor","Agency Overall","2016","1563","16196","16466","1293"
"Federal Labor Relations Authority","Agency Overall","2016","2","78","80","0"
"Federal Open Market Committee","Agency Overall","2016","1","43","43","1"
"Office of Management and Budget","Agency Overall","2016","63","154","151","66"
"National Aeronautics and Space Administration","Agency Overall","2016","56","834","847","43"
"Consumer Financial Protection Bureau","Agency Overall","2016","16","442","427","31"
"Institute of Museum and Library Services","Agency Overall","2016","3","40","40","3"
"Office of Science and Technology Policy","Agency Overall","2016","10","71","64","17"
"Office of Government Ethics","Agency Overall","2016","4","84","87","1"
"Export-Import Bank of the U.S.","Agency Overall","2016","37","124","121","40"
"Department of Justice","Agency Overall","2016","14213","73103","71854","15462"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","33","32","1"
"Department of Energy","Agency Overall","2016","430","1974","2008","396"
"U.S. Department of State","Agency Overall","2016","11731","27961","15482","24210"
"Consumer Product Safety Commission","Agency Overall","2016","199","702","697","204"
"Social Security Administration","Agency Overall","2016","2790","29631","31634","787"
"National Council on Disability","Agency Overall","2016","0","1","1","0"
"General Services Administration","Agency Overall","2016","136","957","967","126"
"Administrative Conference of the United States","Agency Overall","2016","0","25","25","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","6","6","0"
"Farm Credit Administration","Agency Overall","2016","1","21","21","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","2","28","22","8"
"U.S. Election Assistance Commission","Agency Overall","2016","0","18","15","3"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","24","45","48","21"
"Office of the Director of National Intelligence","Agency Overall","2016","303","382","363","322"
"National Endowment for the Arts","Agency Overall","2016","1","57","58","0"
"Tennessee Valley Authority","Agency Overall","2016","19","212","213","18"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","7","49","53","3"
"Federal Energy Regulatory Commission","Agency Overall","2016","21","93","92","22"
"Millennium Challenge Corporation","Agency Overall","2016","0","30","29","1"
"Small Business Administration","Agency Overall","2016","53","1116","1075","94"
"Federal Reserve System","Agency Overall","2016","42","728","701","69"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","434","2679","2819","294"
"Department of the Treasury","Agency Overall","2016","1465","12368","12171","1662"
"Peace Corps","Agency Overall","2016","150","193","257","86"
"National Railroad Passenger Corporation","Agency Overall","2016","102","234","216","120"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","3","3","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","147","3713","3779","81"
"Federal Election Commission","Agency Overall","2016","43","129","116","56"
"Department of Commerce","Agency Overall","2016","576","2026","2148","454"
"Federal Deposit Insurance Corporation","Agency Overall","2016","38","465","481","22"
"Commission of Fine Arts","Agency Overall","2016","0","6","6","0"
"Office of Special Counsel","Agency Overall","2016","238","143","184","197"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","5","36","38","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","6","28","19","15"
"Department of Homeland Security","Agency Overall","2016","49143","325780","310549","64374"
"Department of Transportation","Agency Overall","2016","3056","13800","11929","4927"
"Council on Environmental Quality","Agency Overall","2016","56","104","82","78"
"Department of Health and Human Services","Agency Overall","2016","7672","34232","36190","5714"
"All agencies","Agency Overall","2016","129716","788769","759842","158643"
