"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Office of National Drug Control Policy","Agency Overall","2016","21","21","21","21"
"National Credit Union Administration","Agency Overall","2016","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2016","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2016","19","19","19","19"
"National Endowment for the Humanities","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2016","19","28.18","<1","258"
"United States International Boundary and Water Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2016","43","43","43","43"
"National Science Foundation","Agency Overall","2016","19","17","13","20"
"Department of Agriculture","Agency Overall","2016","78","183.94","1","1871"
"American Battle Monuments Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2016","24","24","24","24"
"Presidio Trust","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2016","164","261.1","1","1038"
"Federal Labor Relations Authority","Agency Overall","2016","12.5","12.5","12","13"
"Federal Open Market Committee","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2016","473","403","159","508"
"National Aeronautics and Space Administration","Agency Overall","2016","30.5","33.58","5","68"
"Consumer Financial Protection Bureau","Agency Overall","2016","20","19.19","5","22"
"Institute of Museum and Library Services","Agency Overall","2016","20","20","20","20"
"Office of Science and Technology Policy","Agency Overall","2016","295","207","1","325"
"Office of Government Ethics","Agency Overall","2016","19","18.5","16","20"
"Export-Import Bank of the U.S.","Agency Overall","2016","58","51.67","10","93"
"Department of Justice","Agency Overall","2016","38","52.83","<1","369"
"Federal Financial Institutions Examination Council","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2016","9.5","18.54","<1","219"
"U.S. Department of State","Agency Overall","2016","284.92","548.51","<1","1523.61"
"Consumer Product Safety Commission","Agency Overall","2016","30","36","12","90"
"Social Security Administration","Agency Overall","2016","34","42","3","318"
"National Council on Disability","Agency Overall","2016","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2016","26","31.71","<1","101"
"Administrative Conference of the United States","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","20","20","20","20"
"U.S. Election Assistance Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","31","30","27","32"
"Office of the Director of National Intelligence","Agency Overall","2016","34","221.85","<1","1301"
"National Endowment for the Arts","Agency Overall","2016","20","20","20","20"
"Tennessee Valley Authority","Agency Overall","2016","20","19.22","13","20"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","20","20","20","20"
"Federal Energy Regulatory Commission","Agency Overall","2016","26","23","13","31"
"Millennium Challenge Corporation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2016","6","18.61","<1","153"
"Federal Reserve System","Agency Overall","2016","33","70","7","319"
"United States Institute of Peace","Agency Overall","2016","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2016","30","32","N/A","N/A"
"Department of the Treasury","Agency Overall","2016","27","175.696666666667","1","1420"
"Peace Corps","Agency Overall","2016","29.5","27.15","1","96"
"National Railroad Passenger Corporation","Agency Overall","2016","69","69","69","69"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","18","16.32","3","20"
"Federal Election Commission","Agency Overall","2016","20","24.3","13","40"
"Department of Commerce","Agency Overall","2016","20","44","1","1011"
"Federal Deposit Insurance Corporation","Agency Overall","2016","19","21.57","8","47"
"Commission of Fine Arts","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2016","263","396.17","2","2201"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","23","23","19","28"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2016","13","21.91","<1","1899"
"Department of Transportation","Agency Overall","2016","17.5","53.558","<1","531"
"Council on Environmental Quality","Agency Overall","2016","42","42","42","42"
"Department of Health and Human Services","Agency Overall","2016","293","452.68","<1","1684"
