"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"U.S. Railroad Retirement Board","Agency Overall","2016","18","12.85","1","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2016","19","52.86","5","274","304","366","150","685","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2016","7","7.8","<1","131","46","72.97","<1","995","54","54","54","54"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2016","441","332.36","<1","682","90","253.81","<1","983","41","41","41","41"
"United States Postal Service","Agency Overall","2016","7","12","1","390","26","55","1","1331","11","14","4","29"
"United States International Trade Commission","Agency Overall","2016","16","15","5","21","26","26","21","30","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2016","11","41","<1","608","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2016","5","8","<1","109","24","35","<1","214","6","6","2","10"
"United States Trade and Development Agency","Agency Overall","2016","N/A","N/A","N/A","N/A","87","174","2","764","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2016","16","22.57","<1","433","144","144","144","144","6","10.13","<1","76"
"Inter-American Foundation","Agency Overall","2016","1","6.8","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2016","14","11.5","<1","2578","612","1098.7","<1","5707","10","45.13","<1","171"
"Federal Trade Commission","Agency Overall","2016","4","5.91","<1","55","16","26.61","<1","296","21","19.7","10","28"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","10.5","10.8","1","21","54","43","20","55","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2016","6","60.25","<1","399","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2016","3","4","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","1","1.58","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2016","30","38.72","<1","792","153","251.53","7","2299","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2016","18","23.6","<1","350","30","45.52","<1","226","22","22","22","22"
"Department of Veterans Affairs","Agency Overall","2016","5","21","<1","3399","20","57","<1","1216","17","65","<1","440"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2016","19","24","1","91","104","154","59","540","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","1","2.15","<1","24","16","16.8","1","59","1","1","1","1"
"National Capital Planning Commission","Agency Overall","2016","4","4.87","<1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2016","1","2","N/A","N/A","22","34.4","N/A","N/A","13","31.8","N/A","N/A"
"Department of Defense","Agency Overall","2016","13.44","19.46","<1","1758","99.02","158.97","<1","3885","10.98","49.36","<1","1850"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","10.5","12.94","<1","48","30.5","32.5","28","41","69","69","69","69"
"Postal Regulatory Commission","Agency Overall","2016","15","13","3","47","N/A","N/A","N/A","N/A","9","9","9","9"
"Office of National Drug Control Policy","Agency Overall","2016","8","16","1","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2016","2","4.07","<1","21","29","26.1","7","114","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2016","3","4","1","20","8","10","4","17","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2016","2","18","1","163","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2016","16","13.1","1","20","18","18.5","1","36","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2016","13","30.23","<1","1663","38","82.4","<1","639","10","10.78","<1","39"
"United States International Boundary and Water Commission","Agency Overall","2016","17","19.6","1","67","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2016","N/A","N/A","N/A","N/A","48","50","<1","124","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2016","17","39","1","701","31","155","1","1334","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2016","1","6.66","1","1207","24","72.65","1","1682","13","83.33","1","236"
"American Battle Monuments Commission","Agency Overall","2016","12","10","4","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2016","9.5","10.7","1","65","N/A","N/A","N/A","N/A","12","16.3","1","40"
"Presidio Trust","Agency Overall","2016","12","11.83","2","20","15","15","5","25","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2016","7","20.8","<1","1509","10","23.6","<1","2514","6","33.8","<1","854"
"Federal Labor Relations Authority","Agency Overall","2016","5","8","<1","22","N/A","N/A","N/A","N/A","4.5","4.5","3","6"
"Federal Open Market Committee","Agency Overall","2016","1","3","<1","14","74","146","27","848","2","2","2","2"
"Office of Management and Budget","Agency Overall","2016","38","131","1","838","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2016","8","10.34","<1","120","25.5","33.37","<1","198","7","7","7","7"
"Consumer Financial Protection Bureau","Agency Overall","2016","8","10.09","<1","50","34","41.57","6","114","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2016","11","12.14","1","21","25","39","21","87","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2016","9","13.13208","1","112","141.5","165.875","19","322","114","78","1","119"
"Office of Government Ethics","Agency Overall","2016","7.5","12.6","1","107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2016","11.5","26.3","<1","320","78","136.22","1","526","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2016","17","29","<1","1011","92","188.41","<1","1385","64.5","146.1","<1","1207"
"Federal Financial Institutions Examination Council","Agency Overall","2016","5","6.7","1","22","N/A","N/A","N/A","N/A","3","3","3","3"
"Department of Energy","Agency Overall","2016","14","43.97","<1","1610","72","224.82","<1","2180","52","52","52","52"
"U.S. Department of State","Agency Overall","2016","166","342","2","1871","392","517","4","2642","135","139","4","359"
"Consumer Product Safety Commission","Agency Overall","2016","14","28","1","392","46","114","1","1665","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2016","9","28","1","498","72","98","1","612","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2016","10","10","10","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2016","10","9.97","<1","20","34","58.71","<1","331","6.5","11","<1","30"
"Administrative Conference of the United States","Agency Overall","2016","<1","1.28","<1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2016","6","5.8","<1","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2016","3","5.63","<1","19","N/A","N/A","N/A","N/A","2","2","2","2"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","19","17","1","51","40","40","20","61","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2016","19","37.71","2","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","9","9","<1","52","75","121","2","434","24","24","24","24"
"Office of the Director of National Intelligence","Agency Overall","2016","7","46.65","<1","529","233","289.61","<1","1210","299.5","299.5","255","344"
"National Endowment for the Arts","Agency Overall","2016","11","12","1","27","30","373","25","1065","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2016","5","6","1","20","31","40","21","247","8","19","1","68"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","7","7","<1","21","35.5","48.7","1","170","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2016","20","34","1","345","131","177","11","638","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2016","24","28.28","3","79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2016","6","12.47","<1","333","22","18.33","11","22","8","12.6","9.67","30"
"Federal Reserve System","Agency Overall","2016","4","9","1","258","33","57","1","402","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2016","24","32","N/A","N/A","N/A","N/A","N/A","N/A","7","10","N/A","N/A"
"Department of the Treasury","Agency Overall","2016","6","11.72","1","550","18","36.58","1","2262","15","42","<1","679"
"Peace Corps","Agency Overall","2016","24","65","<1","467","185","278","38","663","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2016","6","20.98","1","336","13","77.54","1","646","46","74.75","8","199"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","17","17","17","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","6","7.13","<1","34","16","16.15","<1","152","8","7.67","<1","14"
"Federal Election Commission","Agency Overall","2016","14","21.3","2","240","37","68.6","9","321","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2016","13","36.55","<1","1144","47","136.31","<1","1741","5","36.71","<1","485"
"Federal Deposit Insurance Corporation","Agency Overall","2016","9","14.11","<1","114","27","36.79","<1","332","15","23.1","4","118"
"Commission of Fine Arts","Agency Overall","2016","18","18","18","18","29","29","28","30","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2016","43","135.16","<1","624","447","503.01","<1","2745","67","223.5","1","917"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","20","19","1","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","N/A","N/A","N/A","N/A","36","82.95","2","318","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2016","10","32.91","<1","1202","82","73.4","<1","1770","11","26.71","<1","468"
"Department of Transportation","Agency Overall","2016","14","39.81","<1","1056","22","102.104","<1","1136","8.5","19.42","<1","95"
"Council on Environmental Quality","Agency Overall","2016","45","135","5","588","50","251","1","2217","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2016","13","27.5","<1","1796","44","115.36","<1","1803","365","379.57","1","889"
