"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Office of National Drug Control Policy","Agency Overall","2016","0","1","12","12","0"
"National Credit Union Administration","Agency Overall","2016","0","1","4","4","1"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","2","14","15","0"
"United States Access Board","Agency Overall","2016","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2016","0","1","3","3","1"
"Department of Housing and Urban Development","Agency Overall","2016","8","105","1.76","1","111"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2016","0","2","8","8","2"
"National Science Foundation","Agency Overall","2016","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2016","14","263","1","1","273"
"American Battle Monuments Commission","Agency Overall","2016","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2016","4","0","0.5","4.75","3"
"Presidio Trust","Agency Overall","2016","0","0","0","0","0"
"Department of Labor","Agency Overall","2016","75","315","14","48.2","178"
"Federal Labor Relations Authority","Agency Overall","2016","3","5","5","5.75","7"
"Federal Open Market Committee","Agency Overall","2016","1","0","2","2","1"
"Office of Management and Budget","Agency Overall","2016","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2016","1","16","1","2.82","15"
"Consumer Financial Protection Bureau","Agency Overall","2016","0","7","1","1","7"
"Institute of Museum and Library Services","Agency Overall","2016","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2016","7","1","57","57.5","1"
"Office of Government Ethics","Agency Overall","2016","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2016","1","4","1","2","5"
"Department of Justice","Agency Overall","2016","199","1089","1","7.58","1079"
"Federal Financial Institutions Examination Council","Agency Overall","2016","2","2","3.75","4","2"
"Department of Energy","Agency Overall","2016","1","34","3","9.37","27"
"U.S. Department of State","Agency Overall","2016","73","567","9","10","542"
"Consumer Product Safety Commission","Agency Overall","2016","0","2","3","3","2"
"Social Security Administration","Agency Overall","2016","0","0","0","0","0"
"National Council on Disability","Agency Overall","2016","0","0","0","0","0"
"General Services Administration","Agency Overall","2016","6","258","1","1.36","260"
"Administrative Conference of the United States","Agency Overall","2016","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2016","1","0","2","2","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2016","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","1","2","1","1","3"
"Office of the Director of National Intelligence","Agency Overall","2016","2","0","1","1","2"
"National Endowment for the Arts","Agency Overall","2016","0","1","6","6","1"
"Tennessee Valley Authority","Agency Overall","2016","5","2","5","5","7"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2016","0","7","9","8","7"
"Millennium Challenge Corporation","Agency Overall","2016","0","0","0","0","0"
"Small Business Administration","Agency Overall","2016","8","34","2","4.45","40"
"Federal Reserve System","Agency Overall","2016","0","11","10","8","8"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","9","4","7","11","9"
"Department of the Treasury","Agency Overall","2016","24","169","3","5","175"
"Peace Corps","Agency Overall","2016","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2016","3","0","1","1","3"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","3","49","4","4.56","49"
"Federal Election Commission","Agency Overall","2016","0","1","8","8","1"
"Department of Commerce","Agency Overall","2016","31","98","5","5.44","112"
"Federal Deposit Insurance Corporation","Agency Overall","2016","11","28","6","6.23","30"
"Commission of Fine Arts","Agency Overall","2016","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2016","20","15","1","9.69","27"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2016","383","3408","1","11.5","2834"
"Department of Transportation","Agency Overall","2016","15","215","1","3.97","221"
"Council on Environmental Quality","Agency Overall","2016","1","7","5","10","7"
"Department of Health and Human Services","Agency Overall","2016","52","656","6","7.74","654"
"All agencies","Agency Overall","2016","1487","9058","N/A","N/A","8591"
