"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Office of Government Ethics","Agency Overall","2016","6","4","6","4"
"Export-Import Bank of the U.S.","Agency Overall","2016","4","9","6","9"
"Department of Justice","Agency Overall","2016","3926","3342","4109","3460"
"Federal Financial Institutions Examination Council","Agency Overall","2016","1","0","1","0"
"Department of Energy","Agency Overall","2016","76","71","75","70"
"U.S. Department of State","Agency Overall","2016","243","148","118","42"
"Consumer Product Safety Commission","Agency Overall","2016","19","13","16","13"
"Social Security Administration","Agency Overall","2016","252","325","272","323"
"National Council on Disability","Agency Overall","2016","0","0","0","0"
"General Services Administration","Agency Overall","2016","37","25","37","24"
"Administrative Conference of the United States","Agency Overall","2016","3","0","3","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0","0","0"
"Farm Credit Administration","Agency Overall","2016","1","0","1","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","0","2","0","2"
"U.S. Election Assistance Commission","Agency Overall","2016","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","0","4","0","3"
"Office of the Director of National Intelligence","Agency Overall","2016","17","26","21","33"
"National Endowment for the Arts","Agency Overall","2016","0","1","0","1"
"Tennessee Valley Authority","Agency Overall","2016","6","9","7","9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","1","0","1"
"Federal Energy Regulatory Commission","Agency Overall","2016","13","6","12","7"
"Millennium Challenge Corporation","Agency Overall","2016","0","0","0","0"
"Small Business Administration","Agency Overall","2016","23","47","18","51"
"Federal Reserve System","Agency Overall","2016","19","17","18","15"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","24","26","24","27"
"Department of the Treasury","Agency Overall","2016","332","258","312","271"
"Peace Corps","Agency Overall","2016","8","11","9","11"
"National Railroad Passenger Corporation","Agency Overall","2016","6","4","3","1"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","20","21","18","22"
"Federal Election Commission","Agency Overall","2016","4","5","4","3"
"Department of Commerce","Agency Overall","2016","86","111","64","122"
"Federal Deposit Insurance Corporation","Agency Overall","2016","19","8","21","7"
"Commission of Fine Arts","Agency Overall","2016","0","0","0","0"
"Office of Special Counsel","Agency Overall","2016","3","9","7","12"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","2","3","2","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","0","0","0"
"Department of Homeland Security","Agency Overall","2016","4679","5608","4634","5691"
"Department of Transportation","Agency Overall","2016","164","146","155","107"
"Council on Environmental Quality","Agency Overall","2016","1","1","1","1"
"Department of Health and Human Services","Agency Overall","2016","312","262","282","332"
"All agencies","Agency Overall","2016","14439","15095","14047","14800"
