"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"National Endowment for the Humanities","Agency Overall","2016","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2016","59","5","5","9","78"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2016","1","1","0","0","2"
"National Science Foundation","Agency Overall","2016","2","2","0","0","4"
"Department of Agriculture","Agency Overall","2016","36","63","37","56","192"
"American Battle Monuments Commission","Agency Overall","2016","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2016","0","1","0","0","1"
"Presidio Trust","Agency Overall","2016","0","0","0","0","0"
"Department of Labor","Agency Overall","2016","16","6","100","215","337"
"Federal Labor Relations Authority","Agency Overall","2016","2","0","0","0","2"
"Federal Open Market Committee","Agency Overall","2016","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2016","2","1","1","0","4"
"National Aeronautics and Space Administration","Agency Overall","2016","11","4","2","4","21"
"Consumer Financial Protection Bureau","Agency Overall","2016","32","16","9","1","58"
"Institute of Museum and Library Services","Agency Overall","2016","0","0","0","1","1"
"Office of Science and Technology Policy","Agency Overall","2016","1","0","2","0","3"
"Office of Government Ethics","Agency Overall","2016","2","1","0","1","4"
"Export-Import Bank of the U.S.","Agency Overall","2016","8","1","0","0","9"
"Department of Justice","Agency Overall","2016","1978","186","358","938","3460"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","0","0","0","0"
"Department of Energy","Agency Overall","2016","32","6","4","28","70"
"U.S. Department of State","Agency Overall","2016","5","13","13","11","42"
"Consumer Product Safety Commission","Agency Overall","2016","5","6","1","1","13"
"Social Security Administration","Agency Overall","2016","138","40","145","0","323"
"National Council on Disability","Agency Overall","2016","0","0","0","0","0"
"General Services Administration","Agency Overall","2016","12","5","4","3","24"
"Administrative Conference of the United States","Agency Overall","2016","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2016","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","0","1","1","0","2"
"U.S. Election Assistance Commission","Agency Overall","2016","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","3","0","0","0","3"
"Office of the Director of National Intelligence","Agency Overall","2016","5","4","2","22","33"
"National Endowment for the Arts","Agency Overall","2016","0","1","0","0","1"
"Tennessee Valley Authority","Agency Overall","2016","6","2","0","1","9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","1","0","0","0","1"
"Federal Energy Regulatory Commission","Agency Overall","2016","4","1","0","2","7"
"Millennium Challenge Corporation","Agency Overall","2016","0","0","0","0","0"
"Small Business Administration","Agency Overall","2016","6","12","8","25","51"
"Federal Reserve System","Agency Overall","2016","4","5","0","6","15"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","14","8","1","4","27"
"Department of the Treasury","Agency Overall","2016","249","8","4","10","271"
"Peace Corps","Agency Overall","2016","11","0","0","0","11"
"National Railroad Passenger Corporation","Agency Overall","2016","0","0","1","0","1"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","13","1","3","5","22"
"Federal Election Commission","Agency Overall","2016","1","0","0","2","3"
"Department of Commerce","Agency Overall","2016","55","37","16","14","122"
"Federal Deposit Insurance Corporation","Agency Overall","2016","6","0","0","1","7"
"Commission of Fine Arts","Agency Overall","2016","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2016","9","3","0","0","12"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","2","1","0","0","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2016","1948","1530","1329","884","5691"
"Department of Transportation","Agency Overall","2016","40","24","38","5","107"
"Council on Environmental Quality","Agency Overall","2016","1","0","0","0","1"
"Department of Health and Human Services","Agency Overall","2016","50","12","8","262","332"
"All agencies","Agency Overall","2016","6252","2545","2676","3327","14800"
