"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Surface Transportation Board","Agency Overall","2016","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","1"
"Armed Forces Retirement Home","Agency Overall","2016","N/A","N/A","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","N/A","N/A","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","N/A","0","0"
"Securities and Exchange Commission","Agency Overall","2016","15 U.S.C. § 78q(h)(5)","N","Associated persons of broker-dealers, government securities brokers or dealers, or municipal securities dealers.","7"
"Securities and Exchange Commission","Agency Overall","2016","15 U.S.C. § 78x(d)","N","Foreign Securities Authorities","2"
"Securities and Exchange Commission","Agency Overall","2016","15 U.S.C. § 78u-6","N","Information that could identify a whistleblower","64"
"Securities and Exchange Commission","Agency Overall","2016","42 U.S.C. § 247d-6b(d)","N","Information identifying the location at which materials in the stockpile under subsection (a) of this section are stored","2"
"Securities and Exchange Commission","Agency Overall","2016","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. 4702)","N","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Securities and Exchange Commission","Agency Overall","2016","15 U.S.C. § 77f (e)(2)","N","Certain information contained in or filed with a securities registration statement","2"
"Securities and Exchange Commission","Agency Overall","2016","15 U.S. C. § 80b4","N","Reports by Investment Adviser","3"
"Securities and Exchange Commission","Agency Overall","2016","5 U.S.C. app. § 107(a) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2nd 106 (D.D.C. 2010); Glascoe v. DOJ, No. 04-0486, 2005 WL 1139269, at *1 (d.D.C. May 15, 2005)","Financial disclosure information pertaining to certain government employees","1"
"Securities and Exchange Commission","Agency Overall","2016","26 U.S.C. §§ 6103¸ 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","1"
"United States Copyright Office","Agency Overall","2016","N/A","N/A","N/A","0"
"Environmental Protection Agency","Agency Overall","2016","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012)","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","3"
"Environmental Protection Agency","Agency Overall","2016","42 U.S.C. 300i-2(a)(3) (Terrorist and Other Intentional Acts)","N/A","Information related to vulnerability assessments provided to the Administrator","2"
"Environmental Protection Agency","Agency Overall","2016","42 U.S.C. § 7412 (r)(7)(H)(iii)  (Clean Air Act)","N/A","Certain off-site consequence analysis information, and any ranking of stationary sources derived from the information","3"
"Environmental Protection Agency","Agency Overall","2016","5 U.S.C. app. § 107(a)(2) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2d 106 (D.D.C. 2010); Glascoe v. DOJ, No. 04-0486, 2005 WL 1139269, at *1 (D.D.C. May 15, 2005).","Financial disclosure information pertaining to certain government employees","3"
"Environmental Protection Agency","Agency Overall","2016","7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","21"
"Federal Housing Finance Agency","Agency Overall","2016","18 U.S.C. § 3153","N/A","Information regarding pre-trial services","3"
"Federal Housing Finance Agency","Agency Overall","2016","31 U.S.C. §5319","Ortiz v. DOJ, No. 12-1674, 2014 WL 4449686, at *4 (D.D.C. Sept. 9, 2014); Rosenberg v. ICE, 13 F. Supp. 3d 92, 114-15 (D.D.C. 2014); Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Council on Am.-Islamic Relations, Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F.","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","2"
"Federal Housing Finance Agency","Agency Overall","2016","Fed. R. Crim. P. 6(e)¸ enacted by Act of July 30¸ 1977¸ Pub. L. No. 95-78¸ 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","4"
"Federal Housing Finance Agency","Agency Overall","2016","31 U.S.C. §§ 3729 and 3730","N/A","Certain false claims investigation information","4"
"Federal Housing Finance Agency","Agency Overall","2016","26 U.S.C. § 6103","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information and certain tax convention information","1"
"Denali Commission","Agency Overall","2016","N/A","N/A","N/A","0"
"U.S. Agency for International Development","Agency Overall","2016","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. New. Mar. 31, 2011);Hornbostel v. U.S. De'pt of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","11"
"Occupational Safety and Health Review Commission","Agency Overall","2016","N/A","N/A","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","N/A","N/A","N/A","0"
"Social Security Advisory Board","Agency Overall","2016","N/A","N/A","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2016","7 U.S.C. § 12 (CEA)","Hunt v. CFTC, 484 F. Supp. 47, 49 (D.D.C. 1979)","[D]ata and information that would separately disclose the business transactions of any person and trade secrets or names of customers gathered in the course of the Commission's investigations under the Commodity Exchange Act.","19"
"Commodity Futures Trading Commission","Agency Overall","2016","7 U.S.C. § 26(h)(2)(A) (CEA)","","""[A]ny information, including information provided by a whistleblower to the Commission, which could reasonably be expected to reveal the identity of a whistleblower, . . . unless and until required to be disclosed to a defendant or respondent in connection with a public proceeding instituted by the Commission or any entity described in subparagraph (C).""","7"
"National Mediation Board","Agency Overall","2016","N/A","N/A","N/A","0"
"Federal Maritime Commission","Agency Overall","2016","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x 438, 440 (9th Cir. 2010) (unpublished dispostion) (26 U.S.C §§ 6103, 6105); Leonard v. U.S. Dept. of Treasury, No. 10-6625, 2013 WL 4517912, at *2 (D.N.J. Aug. 26, 2013) (26 U.S.C. § 6103; Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)","Certain tax return information, to inlcude taxpayer identification numbers of third parties, and certain tax convention information","3"
"Federal Maritime Commission","Agency Overall","2016","46 U.S.C. § 40306","","Agreement information and documents filed with the Commission (other than Agreements)","1"
"Federal Maritime Commission","Agency Overall","2016","5 U.S.C. § 574(j)","","Dispute resolution communications","1"
"United States African Development Foundation","Agency Overall","2016","N/A","N/A","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","45 U.S.C. § 362(d) (Railroad Unemployment Insurance Act)","Ass'n. of Retired Railroad Workers v. U.S. Railroad Retirement Board, 830 F.2d 331, 334 (D.C. Cir. 1987); Nat'l. Ass'n. of Retired & Veteran Ry. Employees v. R.R. Ret. Bd., 87-117, slip op. at 5 (N.D. Ohio Feb. 20, 1991).","Information obtained by the Railroad Retirement Board that reveals, in any manner, an employee's identity","16"
"National Indian Gaming Commission","Agency Overall","2016","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 347-48 (D.D.C. 2008).","""[C]onfidential dispute resolution communications""","1"
"Department of Education","Agency Overall","2016","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, NO. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Department of Education","Agency Overall","2016","44 U.S.C. § 3501 Note.","N/A","Records concerning information security controls and programs that support federal operations.","2"
"Department of Education","Agency Overall","2016","31 U.S.C. § 3730","N/A","Records pertaining to civil actions for false claims against the United States Government","1"
"Department of Education","Agency Overall","2016","20 U.S.C. § 1232g","N/A","Identities of students and parents identified in data collected by representatives of the Comptroller General, the Secretary of Education, or State educational authorities in connection with the audit, evaluation, or enforcement of a Federally-supported education program.","4"
"Department of Education","Agency Overall","2016","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection","3"
"Department of Education","Agency Overall","2016","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 347-48 (D.D.C. 2008)","Confidential dispute resolution communications","4"
"Department of Education","Agency Overall","2016","20 U.S.C. § 1099c-1(b)(8)","Bagwell v. Dep't of Educ., No. 15-334, 2016 WL 1664808, at *12  (D.D.C. Apr. 26, 2016)","Prohibits the release of program review reports until they had met the release provision in the statute.  This prohibition requires the Department to keep confidential the institution response until a Final Program Review Determination is issued by the department.","3"
"Department of Education","Agency Overall","2016","5 U.S.C. § 574(j)","N/A","Dispute resolution communication between a neutral and a third party.","1"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","N/A","N/A","N/A","0"
"National Transportation Safety Board","Agency Overall","2016","49 U.S.C. § 1114(f)","N/A","Records or information relating to the NTSB's participation in foreign aircraft accident investigations.","1"
"National Transportation Safety Board","Agency Overall","2016","49 U.S.C. § 1114(c) (Transportation Safety Act of 1974)","McGilvra v. NTSB, 840 F. Supp. 100, 102 (D. Colo. 1993).","Certain ""cockpit voice or video recorder recording[s] or transcript[s] of communications by and between flight crew members and ground stations pertaining to [] incident[s] investigated by the [National Transportation Safety] Board""","2"
"United States Postal Service","Agency Overall","2016","39 U.S.C. § 410(c)(1)","N/A","Records relating to names and addresses of postal customers","445"
"United States Postal Service","Agency Overall","2016","39 U.S.C. § 410(c)(2) (Postal Reorganization Act)","Wickwire Gavin, P.C. v. USPS, 356 F.3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFLCIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-294, 2006 WL 1876682, at *5-9 (S.D. Ill. July 5, 2006); Robinett v. USPS, No. 02- 1094, 2002 WL 1728582, at *5 (E.D. La. July 24, 2002).","Commercial information which would not be disclosed under good business practice","149"
"United States Postal Service","Agency Overall","2016","39 U.S.C. § 410(c)(5)","N/A","Reports or memoranda of consultants or independent contractors, except to the extent that they would be required to be disclosed if prepared within the Postal Service.","4"
"United States Postal Service","Agency Overall","2016","39 U.S.C. § 410(c)(6)","N/A","Investigatory files, whether or not considered closed, compiled for law enforcement purposes except to the extent available by law to a party other than the Postal Service.","3"
"United States Postal Service","Agency Overall","2016","39 U.S.C. § 412","N/A","Records containing lists of postal customers.","14"
"United States Postal Service","Agency Overall","2016","18 U.S.C. § 1461","N/A","Obscene materials/records concerning non-mailable matter","3"
"United States Postal Service","Agency Overall","2016","18 U.S.C. §§ 2510-20 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07- 5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","4"
"United States Postal Service","Agency Overall","2016","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843,2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa 2008).","Certain records pertaining to grand jury proceedings.","7"
"United States Postal Service","Agency Overall","2016","Pub. L. No. 95-452, 92 Stat. 1101","N/A","Identities of employees that have submitted complaints and or provided information during the course of an OIG investigation.","9"
"United States Postal Service","Agency Overall","2016","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS. 484 U.S. 9, 15 (1987) (26 U.S.C. 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. 6103, 6105); Leonard v. U.S. Dep't of Treasury, No. 10-6625, 2013 WL 4517912, at *2 (D.N.J. Aug. 26, 2013) (26 U.S.C. 6103); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. 6105)","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information.","1"
"United States International Trade Commission","Agency Overall","2016","19 U.S.C. § 1677f (Tariff Act)","Mudge Rose Guthrie Alexander & Ferdon v. U.S. International Trade Commssion, 846 F.2d 1527, 1530 (D.C. Cir. 1988)","Certain ""information submitted to the administering authority or the [United States International Trade] Commission is designated as proprietary by the person submitting the information""","3"
"Federal Mediation and Conciliation Service","Agency Overall","2016","N/A","N/A","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2016","42 U.S.C. 2167","Va. Sunshine Alliance v. NRC, 509 F. Supp. 863 (D.D.C.1981), aff'd, 669 F.2d 788 (D.C. Cir. 1981)","Certain Safeguards Information","4"
"Nuclear Regulatory Commission","Agency Overall","2016","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Nuclear Regulatory Commission","Agency Overall","2016","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","1"
"United States Trade and Development Agency","Agency Overall","2016","N/A","N/A","N/A","0"
"Appraisal Subcommittee","Agency Overall","2016","N/A","N/A","N/A","0"
"Federal Communications Commission","Agency Overall","2016","N/A","N/A","N/A","0"
"Inter-American Foundation","Agency Overall","2016","N/A","N/A","N/A","0"
"National Archives and Records Administration","Agency Overall","2016","8 U.S.C. § 1202(f) (Immigration and Nationality Act)","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep't of State, No. 12-1111, 2014 WL 4704840, at *6 (S.D.N.Y. Sept. 19, 2014); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States","1"
"National Archives and Records Administration","Agency Overall","2016","10 U.S.C. § 130","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 165 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","2"
"National Archives and Records Administration","Agency Overall","2016","10 U.S.C. § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence  Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","24"
"National Archives and Records Administration","Agency Overall","2016","18 U.S.C. §§ 2510-20 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","4"
"National Archives and Records Administration","Agency Overall","2016","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Leonard v. U.S. Dep't of Treasury, No. 10-6625, 2013 WL 4517912, at *2 (D.N.J. Aug. 26, 2013) (26 U.S.C. § 6103); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","12"
"National Archives and Records Administration","Agency Overall","2016","42 U.S.C. § 2162 (Atomic Energy Act)","Meeropol v. Smith, No. 75- 1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom., Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","""Restricted Data"" pertaining to atomic weapons and special nuclear material","12"
"National Archives and Records Administration","Agency Overall","2016","42 U.S.C. § 2168(a)(1)(C)","N/A","Restricted and formerly restricted data concerning atomic energy","46"
"National Archives and Records Administration","Agency Overall","2016","50 U.S.C. § 402 note (National Security Agency Act of 1959)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009);  Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","3"
"National Archives and Records Administration","Agency Overall","2016","50 U.S.C. § 403-1(i)(1) (currently at 50 U.S.C. § 3024(i)(1)) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007).","Intelligence sources and methods","87"
"National Archives and Records Administration","Agency Overall","2016","50 U.S.C. § 403g (currently at 50 U.S.C. § 3507) (Central Intelligence Agency Act of 1949)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","220"
"National Archives and Records Administration","Agency Overall","2016","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","23"
"National Archives and Records Administration","Agency Overall","2016","50 U.S.C. § 421","N/A","Identities of certain United States undercover intelligence officers, agents, informants, and sources","1"
