"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Office of Personnel Management","Agency Overall","2014","5561","2730","49","83","4","11","5","1","7","5","4","3","8463"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","6","1","0","0","6","0","0","3","0","0","0","0","16"
"Institute of Museum and Library Services","Agency Overall","2014","24","13","0","10","0","2","0","0","0","0","0","2","51"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","5","11","4","5","1","3","0","0","1","0","1","0","31"
"Department of Education","Agency Overall","2014","471","926","210","169","42","67","23","14","16","118","61","30","2147"
"Export-Import Bank of the U.S.","Agency Overall","2014","20","21","3","8","0","3","4","0","1","0","0","0","60"
"National Credit Union Administration","Agency Overall","2014","41","36","8","13","1","3","0","2","0","0","4","0","108"
"Small Business Administration","Agency Overall","2014","980","162","18","100","7","11","0","8","5","12","9","0","1312"
"U.S. Railroad Retirement Board","Agency Overall","2014","120","1","2","20","2","0","4","0","0","0","0","0","149"
"Federal Labor Relations Authority","Agency Overall","2014","45","13","0","35","0","4","0","6","2","0","1","0","106"
"Department of Labor","Agency Overall","2014","1807","7142","1910","3492","560","495","200","54","209","242","581","23","16715"
"Farm Credit System Insurance Corporation","Agency Overall","2014","6","1","0","4","0","0","0","0","0","0","0","0","11"
"U.S. Agency for Global Media","Agency Overall","2014","21","14","2","99","0","0","2","2","4","0","1","0","145"
"Office of Management and Budget","Agency Overall","2014","45","36","8","82","1","4","0","0","0","0","4","0","180"
"United States Postal Service","Agency Overall","2014","435","542","434","385","160","111","47","84","193","73","24","1","2489"
"Federal Maritime Commission","Agency Overall","2014","9","20","0","9","0","3","1","0","1","0","0","0","43"
"Farm Credit Administration","Agency Overall","2014","23","5","0","8","1","5","0","0","1","0","0","1","44"
"Federal Energy Regulatory Commission","Agency Overall","2014","14","43","23","19","0","10","0","0","0","0","0","0","109"
"National Endowment for the Arts","Agency Overall","2014","19","32","0","18","0","1","0","1","2","0","0","0","73"
"Department of Housing and Urban Development","Agency Overall","2014","610","390","95","330","407","218","34","17","58","14","51","0","2224"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","26","21","0","11","0","6","0","0","0","2","0","0","66"
"Postal Regulatory Commission","Agency Overall","2014","12","0","1","0","17","1","0","0","0","0","0","0","31"
"Inter-American Foundation","Agency Overall","2014","3","0","0","5","0","0","0","0","0","0","0","0","8"
"Department of Homeland Security","Agency Overall","2014","16651","128603","6212","30689","3612","1160","194","610","15766","11565","20578","2391","238031"
"Federal Mediation and Conciliation Service","Agency Overall","2014","48","19","2","30","0","10","0","0","23","3","2","0","137"
"United States Copyright Office","Agency Overall","2014","7","4","0","6","8","0","0","3","10","4","1","0","43"
"Office of Special Counsel","Agency Overall","2014","16","17","9","7","0","10","0","0","1","29","2","0","91"
"United States International Trade Commission","Agency Overall","2014","14","6","2","14","0","1","0","0","0","2","0","0","39"
"Environmental Protection Agency","Agency Overall","2014","4757","614","67","3286","21","775","101","140","37","19","313","0","10130"
"Federal Open Market Committee","Agency Overall","2014","11","6","0","2","6","0","0","3","1","0","0","0","29"
"Securities and Exchange Commission","Agency Overall","2014","2488","464","939","9871","64","149","89","171","39","65","82","336","14757"
"Millennium Challenge Corporation","Agency Overall","2014","9","3","0","2","0","0","0","0","0","0","0","0","14"
"Legal Services Corporation","Agency Overall","2014","21","16","6","9","1","0","0","1","0","0","0","0","54"
"Federal Communications Commission","Agency Overall","2014","110","255","20","127","1","45","26","1","4","17","5","62","673"
"Federal Trade Commission","Agency Overall","2014","427","561","40","263","0","69","22","16","13","2","12","0","1425"
"Department of the Interior","Agency Overall","2014","2384","1312","190","685","62","241","96","54","77","32","94","420","5647"
"National Science Foundation","Agency Overall","2014","34","203","7","39","1","21","0","0","0","1","0","0","306"
"Court Services and Offender Supervision Agency","Agency Overall","2014","88","598","1","14","0","40","6","0","23","0","0","0","770"
"Overseas Private Investment Corporation","Agency Overall","2014","11","21","0","9","0","1","1","3","0","0","0","0","46"
"Equal Employment Opportunity Commission","Agency Overall","2014","553","11940","2081","728","180","144","15","31","389","24","472","757","17314"
"Department of Agriculture","Agency Overall","2014","15042","2034","284","681","314","317","96","49","59","74","111","182","19243"
"National Railroad Passenger Corporation","Agency Overall","2014","51","42","19","24","0","11","27","2","11","7","6","0","200"
"Consumer Product Safety Commission","Agency Overall","2014","753","279","32","118","1","29","8","0","0","0","27","2","1249"
"Commodity Futures Trading Commission","Agency Overall","2014","30","58","12","35","0","6","5","0","1","2","0","2","151"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","8","12","0","11","8","3","0","0","0","0","0","0","42"
"Department of Justice","Agency Overall","2014","28141","9226","2068","10346","305","607","1054","3262","4717","577","1490","1233","63026"
"Office of the United States Trade Representative","Agency Overall","2014","30","6","0","31","0","0","0","4","0","0","0","0","71"
"U.S. Agency for International Development","Agency Overall","2014","37","89","8","51","1","83","0","9","14","12","5","6","315"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","2","18","3","7","1","1","0","0","0","0","0","0","32"
"U.S. Department of State","Agency Overall","2014","2645","3709","6627","499","335","413","46","2378","694","645","103","0","18094"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","3","0","1","0","2","0","0","0","0","0","0","6"
"National Mediation Board","Agency Overall","2014","23","1","0","14","0","0","0","0","0","0","0","0","38"
"Nuclear Regulatory Commission","Agency Overall","2014","101","183","25","68","1","45","11","0","1","2","1","47","485"
"United States Trade and Development Agency","Agency Overall","2014","15","4","0","4","1","0","0","0","0","0","0","0","24"
"Department of Veterans Affairs","Agency Overall","2014","12494","8342","5147","1239","10","312","144","90","0","11","187","6","27982"
"National Aeronautics and Space Administration","Agency Overall","2014","166","196","36","69","8","43","38","63","71","38","61","1","790"
"Federal Election Commission","Agency Overall","2014","18","30","3","25","1","4","0","0","4","2","0","0","87"
"Federal Housing Finance Agency","Agency Overall","2014","29","54","15","46","2","16","7","0","1","0","1","0","171"
"Office of Science and Technology Policy","Agency Overall","2014","8","26","3","47","0","3","0","2","0","0","0","0","89"
"Merit Systems Protection Board","Agency Overall","2014","103","40","4","43","8","9","0","2","3","0","0","0","212"
"Federal Deposit Insurance Corporation","Agency Overall","2014","186","144","48","51","1","56","27","33","17","78","12","3","656"
"Selective Service System","Agency Overall","2014","45","0","4","0","0","0","0","0","0","0","0","0","49"
"Social Security Administration","Agency Overall","2014","23208","1234","178","20","1","23","0","25","0","0","0","0","24689"
"U.S. Commission on Civil Rights","Agency Overall","2014","16","5","0","8","1","0","0","1","2","10","0","0","43"
"General Services Administration","Agency Overall","2014","573","380","34","90","69","76","36","31","57","64","98","0","1508"
"Office of Government Ethics","Agency Overall","2014","4","14","2","8","1","0","0","1","0","0","0","0","30"
"Tennessee Valley Authority","Agency Overall","2014","54","62","7","39","0","3","8","0","0","2","0","0","175"
"Department of Defense","Agency Overall","2014","20888","13577","3267","5758","5426","1665","746","581","1134","1111","1818","3350","59321"
"Office of the Director of National Intelligence","Agency Overall","2014","46","150","48","81","22","4","0","1","1","0","2","39","394"
"National Indian Gaming Commission","Agency Overall","2014","12","33","3","16","1","10","0","0","0","0","0","0","75"
"Consumer Financial Protection Bureau","Agency Overall","2014","60","94","35","40","2","30","3","0","1","15","2","0","282"
"Administrative Conference of the United States","Agency Overall","2014","3","2","0","12","0","0","0","0","0","0","0","0","17"
"American Battle Monuments Commission","Agency Overall","2014","1","3","0","6","0","0","0","0","0","0","0","0","10"
"Occupational Safety and Health Review Commission","Agency Overall","2014","32","12","1","9","0","5","0","0","3","0","0","0","62"
"Department of Transportation","Agency Overall","2014","5919","2473","100","1593","26","605","129","29","75","44","96","124","11213"
"Central Intelligence Agency","Agency Overall","2014","470","1006","1317","149","109","6","11","152","310","6","84","175","3795"
"Council on Environmental Quality","Agency Overall","2014","3","6","0","9","0","3","0","0","0","6","1","2","30"
"National Archives and Records Administration","Agency Overall","2014","821","692","33","16988","87","230","4","75","358","84","48","56","19476"
"National Transportation Safety Board","Agency Overall","2014","29","45","188","67","0","24","0","0","15","34","7","0","409"
"Federal Financial Institutions Examination Council","Agency Overall","2014","3","5","0","3","0","0","0","0","0","7","0","0","18"
"Department of Health and Human Services","Agency Overall","2014","18843","5502","5858","5475","1372","1933","469","291","942","519","585","504","42293"
"All agencies","Agency Overall","2014","180977","211907","38674","96324","13912","11152","4061","9014","27581","15920","27745","9875","647142"
