"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Consumer Financial Protection Bureau","Agency Overall","2014","1","0","6","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2014","18","0","13","0","0","5","0","2","2","0","3"
"Central Intelligence Agency","Agency Overall","2014","0","0","0","0","0","10","1","7","64","0","12"
"Council on Environmental Quality","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2014","10","1","0","3","2","5","2","0","0","0","14"
"National Transportation Safety Board","Agency Overall","2014","1","0","3","0","2","0","0","1","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2014","31","3","62","4","0","0","3","3","1","17","36"
"All agencies","Agency Overall","2014","1399","67","282","172","39","768","47","272","161","114","1228"
