"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Legal Services Corporation","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2014","57","15","27.91","6","151","134.33","4","5.5","7.75"
"Federal Trade Commission","Agency Overall","2014","1","4","4","25","13","34.68","0","N/A","N/A"
"Department of the Interior","Agency Overall","2014","6","11","21","862","48","122","4","239","216"
"National Science Foundation","Agency Overall","2014","18","16","28","162","110","108","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2014","58","8","16","0","N/A","N/A","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2014","5","13","38.6","0","N/A","N/A","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2014","971","16","20.971","0","N/A","N/A","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2014","1431","113","183","311","97","234","1","14","14"
"National Railroad Passenger Corporation","Agency Overall","2014","1","6","6","24","94.5","128","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2014","24","63","105","214","84","161","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2014","8","45.5","63","25","115","118","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","3","55","62","2","153","153","0","N/A","N/A"
"Department of Justice","Agency Overall","2014","5075","29","91.45","7074","160","224.57","141","166","267.58"
"Office of the United States Trade Representative","Agency Overall","2014","3","23","73","20","275","384","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2014","2","28","28","288","191.5","265","5","107","95.2"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","N/A","N/A","2","66","67","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2014","1341","252","370","9220","332.6","510","13","173.8","332.5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","1","161","161","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2014","9","7","8","110","21","42","1","8","8"
"United States Trade and Development Agency","Agency Overall","2014","0","N/A","N/A","9","26","31","1","1084","1084"
"Department of Veterans Affairs","Agency Overall","2014","1049","14","46","1350","53","104","8","95","93"
"National Aeronautics and Space Administration","Agency Overall","2014","7","10","8","49","26","43","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2014","16","183.5","167.5","17","95","180.5","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2014","6","16","15","8","49","132","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2014","4","14.5","18.75","1","224","224","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2014","13","14","10.4","8","82.5","86","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2014","10","5","5","5","12","13","0","N/A","N/A"
"Selective Service System","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Social Security Administration","Agency Overall","2014","2454","18","34","50","46","51","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","N/A","N/A","1","41","41","0","N/A","N/A"
"General Services Administration","Agency Overall","2014","9","30","41","167","41","90.86","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2014","3","16","146","0","N/A","N/A","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2014","7","8","9","9","51","143","0","N/A","N/A"
"Department of Defense","Agency Overall","2014","2631","N/A","111","7038","N/A","408","38","N/A","189"
"Office of the Director of National Intelligence","Agency Overall","2014","188","120","201.14","40","304.5","450.28","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2014","4","109","158.25","6","141","156.33","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2014","16","5.5","6","1","12","12","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2014","1","20","20","1","30","30","0","N/A","N/A"
"Department of Transportation","Agency Overall","2014","1503","40","94.522","991","71","180.97","30","226","242.47"
"Central Intelligence Agency","Agency Overall","2014","207","19","255.99","763","180","316.41","1","834","834"
"Council on Environmental Quality","Agency Overall","2014","14","332.5","312","10","140","200.1","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2014","2859","39","254.05","2907","782","1307.4","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2014","6","151","197","512","210","237","2","30.5","30"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2014","4967","71","142","4332","148","234","56","52","110"
"All agencies","Agency Overall","2014","91397","N/A","N/A","94909","N/A","N/A","404","N/A","N/A"
