"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","1","2"
"National Mediation Board","Agency Overall","2014","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","21","2"
"United States Trade and Development Agency","Agency Overall","2014","6","0"
"Department of Veterans Affairs","Agency Overall","2014","1343","268"
"National Aeronautics and Space Administration","Agency Overall","2014","11","0"
"Federal Election Commission","Agency Overall","2014","30","4"
"Federal Housing Finance Agency","Agency Overall","2014","7","0"
"Office of Science and Technology Policy","Agency Overall","2014","2","0"
"Merit Systems Protection Board","Agency Overall","2014","10","1"
"Federal Deposit Insurance Corporation","Agency Overall","2014","0","0"
"Selective Service System","Agency Overall","2014","0","0"
"Social Security Administration","Agency Overall","2014","84","30"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","0"
"General Services Administration","Agency Overall","2014","84","2"
"Office of Government Ethics","Agency Overall","2014","1","0"
"Tennessee Valley Authority","Agency Overall","2014","9","0"
"Department of Defense","Agency Overall","2014","8444","730"
"Office of the Director of National Intelligence","Agency Overall","2014","210","26"
"National Indian Gaming Commission","Agency Overall","2014","8","0"
"Consumer Financial Protection Bureau","Agency Overall","2014","0","0"
"Administrative Conference of the United States","Agency Overall","2014","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","0"
"Department of Transportation","Agency Overall","2014","1624","28"
"Central Intelligence Agency","Agency Overall","2014","672","142"
"Council on Environmental Quality","Agency Overall","2014","35","0"
"National Archives and Records Administration","Agency Overall","2014","9361","28"
"National Transportation Safety Board","Agency Overall","2014","288","2"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0"
"Department of Health and Human Services","Agency Overall","2014","7195","408"
"All agencies","Agency Overall","2014","159741","NaN"
