"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"National Credit Union Administration","Agency Overall","2014","4","7.34","<1","34","27","39.17","4","128","25","25","20","30"
"Small Business Administration","Agency Overall","2014","7.5","16","<1","67","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2014","24","77.175","1","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2014","7.5","9.81","<1","33","N/A","N/A","N/A","N/A","9","9","7","11"
"Department of Labor","Agency Overall","2014","11","21.9","1","686","14","27.9","1","1108","10","30.8","1","550"
"Farm Credit System Insurance Corporation","Agency Overall","2014","10.5","10.5","6","15","N/A","N/A","N/A","N/A","7","8.67","6","13"
"U.S. Agency for Global Media","Agency Overall","2014","N/A","N/A","N/A","N/A","50","85","12","354","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2014","48","73","1","514","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2014","14","22.32","1","312","28","55.75","1","673","17","17","1","33"
"Federal Maritime Commission","Agency Overall","2014","11","10.8","2","19","51","67.3","5","421","11.5","14","9","24"
"Farm Credit Administration","Agency Overall","2014","14","12.82","3","20","N/A","N/A","N/A","N/A","15.5","13.17","5","20"
"Federal Energy Regulatory Commission","Agency Overall","2014","28","26","4","73","30","87","11","652","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2014","14.5","14","2","30","33","146","18","511","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2014","17","22.35","<1","218","62.5","97.98","2","577","9","9","1","17"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","7.5","10.4","1","53","32","86.3","4","497","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2014","15","19","2","21","N/A","N/A","N/A","N/A","19","19","19","19"
"Inter-American Foundation","Agency Overall","2014","29","35","15","61","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2014","9","22.04","1","550","55","115.77","1","1820","28.77","168.9","1","855"
"Federal Mediation and Conciliation Service","Agency Overall","2014","4","8.9","<1","59","37","51.8","2","135","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2014","17","21.7","8","59","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2014","35","52.53","1","128","309","359.55","39","885","20","120.67","<1","342"
"United States International Trade Commission","Agency Overall","2014","17","14","2","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2014","15","13.67","<1","20","36","75.01","<1","1407","33","339","<1","1790"
"Federal Open Market Committee","Agency Overall","2014","14","13.3","2","20","61","149","33","552","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2014","19","30.5","<1","754","768","813.5","498","1220","50","50","50","50"
"Millennium Challenge Corporation","Agency Overall","2014","19","22.8","<1","117","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2014","17","15.9","5","34","N/A","N/A","N/A","N/A","12","12","12","12"
"Federal Communications Commission","Agency Overall","2014","20","24.89","1","278","556","422.87","6","626","20","39.07","2","148"
"Federal Trade Commission","Agency Overall","2014","4","5.2","<1","51","20","34.35","1","524","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2014","1","3","<1","36","18","42","<1","1316","40","196","<1","819"
"National Science Foundation","Agency Overall","2014","14","29","4","184","37","79","1","1053","28","28","28","28"
"Court Services and Offender Supervision Agency","Agency Overall","2014","14","16.35","1","202","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2014","11","18.5","<1","191","N/A","N/A","N/A","N/A","184","184","184","184"
"Equal Employment Opportunity Commission","Agency Overall","2014","14","17.85","1","316","N/A","N/A","N/A","N/A","1","1.87","1","10"
"Department of Agriculture","Agency Overall","2014","1","19.2","1","1448","25","87.08","1","1055","28.5","56.06","1","188"
"National Railroad Passenger Corporation","Agency Overall","2014","3","9.96","1","62","39","49.21","1","312","46","46","46","46"
"Consumer Product Safety Commission","Agency Overall","2014","11","27","1","255","57","87","1","729","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2014","28","37","2","126","73.5","130.89","3","566","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","49","55","11","228","148","148","148","148","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2014","20","35.98","<1","662","107","150.13","<1","1243","54","160.9","<1","830"
"Office of the United States Trade Representative","Agency Overall","2014","40","39","1","82","12","231","36","814","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2014","13","32.56","<1","179","157","261.11","<1","1192","71","73.4","56","103"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","20","20","1","30","65","38","30","161","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2014","90","120","2","1576","367","578.8","11.4","2237","93.3","396.7","45.6","1482"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","14","14","14","14","30","30","16","44","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2014","2","4.6","<1","37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2014","13","16","<1","72","65","161","<1","779","758","709","493","784"
"United States Trade and Development Agency","Agency Overall","2014","N/A","N/A","N/A","N/A","32","46","11","342","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2014","4","13.34","<1","822","11","41.62","<1","998","20","39.23","<1","287"
"National Aeronautics and Space Administration","Agency Overall","2014","4","7.94","<1","48","25","33.24","<1","350","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2014","20.5","28.9","2","125","29","162.6","23","511","14","14","14","14"
"Federal Housing Finance Agency","Agency Overall","2014","16","25.76","1","215","52","76.33","20","208","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2014","17","24.9","<1","85","53.5","53.5","18","162","162","162","162","162"
"Merit Systems Protection Board","Agency Overall","2014","9","11.4","<1","37","40.5","41.32","17","94","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2014","5","7.65","<1","40","23","24.33","1","95","12","11.72","1","24"
"Selective Service System","Agency Overall","2014","6","4.5","1","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2014","12","19","1","23","57","72","2","194","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2014","1","2","1","4","4","10","4","20","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2014","14","16.02","<1","39","23","47.44","2","346","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2014","18","16.4","1","41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2014","15","14","1","30","57","102","32","516","29","28","26","30"
"Department of Defense","Agency Overall","2014","N/A","13","<1","1338","N/A","97","<1","4060","N/A","35","<1","630"
"Office of the Director of National Intelligence","Agency Overall","2014","7","20.54","N/A","232","216","354.99","N/A","1949","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2014","77","167","1","730","351.5","411","56","836","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2014","11","12.62","<1","46","20","27","5","68","11","11","11","11"
"Administrative Conference of the United States","Agency Overall","2014","1","1","<1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2014","9","7","2","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2014","10","10.88","<1","28","32","32","29","35","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2014","17","27.5459","<1","1969","44","76.1206","<1","1380","13","38.3448","<1","563"
"Central Intelligence Agency","Agency Overall","2014","15","64.33","<1","1361","49","119.79","1","2327","1303","1303","1193","1413"
"Council on Environmental Quality","Agency Overall","2014","25","42.4","18","80","81","127.66","54","81","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2014","14","73.7","<1","3894","637.5","971","<1","5223","6","17.75","6","29"
"National Transportation Safety Board","Agency Overall","2014","3","4.8","<1","12","326.5","315.87","<1","1343","271","268.89","263","272"
"Federal Financial Institutions Examination Council","Agency Overall","2014","5","7.5","1","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2014","14","25","<1","1167","33","95","1","1561","59","93","5","871"
