"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Consumer Product Safety Commission","Agency Overall","2014","0","0","9","7","8","2","1","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2014","0","0","2","2","1","2","0","0","1","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","0","1","0","0","4","4","1","0","1","1","2","0","0","0"
"Department of Justice","Agency Overall","2014","52","0","131","5","99","368","116","2","623","158","558","150","0","0"
"Office of the United States Trade Representative","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2014","0","0","1","6","5","9","0","0","2","1","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","1","1","1","0","1","1","0","1","1","1","0","0","0"
"U.S. Department of State","Agency Overall","2014","55","15","164","9","22","51","2","0","13","2","9","1","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","0","0","0","0","1","0","2","0","8","2","4","6","0","0"
"United States Trade and Development Agency","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2014","0","0","11","5","25","62","1","0","14","0","2","1","0","0"
"National Aeronautics and Space Administration","Agency Overall","2014","0","1","2","5","6","8","0","0","1","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2014","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2014","0","0","0","7","4","2","0","0","3","0","1","0","5","0"
"Office of Science and Technology Policy","Agency Overall","2014","1","0","0","0","2","1","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2014","0","0","0","2","4","6","0","0","0","0","0","0","1","0"
"Selective Service System","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2014","0","0","0","1","5","160","0","0","2","7","5","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2014","0","0","0","2","3","2","0","0","0","0","0","1","0","0"
"Office of Government Ethics","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2014","0","1","2","0","4","2","0","0","1","0","0","1","0","0"
"Department of Defense","Agency Overall","2014","183","1","167","19","76","197","13","0","66","6","12","1","0","0"
"Office of the Director of National Intelligence","Agency Overall","2014","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2014","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2014","0","0","0","4","8","6","3","0","0","0","0","0","1","0"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2014","0","1","0","12","25","8","0","0","1","0","0","1","0","0"
"Central Intelligence Agency","Agency Overall","2014","117","0","110","1","9","14","4","0","2","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2014","7","0","11","1","2","12","1","0","5","5","3","2","0","0"
"National Transportation Safety Board","Agency Overall","2014","0","0","2","2","4","1","1","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2014","0","1","7","16","18","41","4","0","18","0","0","0","0","0"
"All agencies","Agency Overall","2014","419","47","1080","199","1145","2313","447","3","2348","201","1993","173","32","0"
