"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","11.5","16.5","10","13"
"National Mediation Board","Agency Overall","2014","13.5","13.5","10","17"
"Nuclear Regulatory Commission","Agency Overall","2014","19","47","2","231"
"United States Trade and Development Agency","Agency Overall","2014","21","21","21","21"
"Department of Veterans Affairs","Agency Overall","2014","166","210.97","3","840"
"National Aeronautics and Space Administration","Agency Overall","2014","28","30.07","9","77"
"Federal Election Commission","Agency Overall","2014","142","108.3","20","163"
"Federal Housing Finance Agency","Agency Overall","2014","24.5","22.82","8","31"
"Office of Science and Technology Policy","Agency Overall","2014","18.5","15","<1","23"
"Merit Systems Protection Board","Agency Overall","2014","4","9.44","<1","20"
"Federal Deposit Insurance Corporation","Agency Overall","2014","19","18.5","7","39"
"Selective Service System","Agency Overall","2014","5","5","5","5"
"Social Security Administration","Agency Overall","2014","24","40","3","413"
"U.S. Commission on Civil Rights","Agency Overall","2014","26","26","26","26"
"General Services Administration","Agency Overall","2014","20","46.39","2","346"
"Office of Government Ethics","Agency Overall","2014","16","16","16","16"
"Tennessee Valley Authority","Agency Overall","2014","19","18","12","20"
"Department of Defense","Agency Overall","2014","N/A","402","<1","3186"
"Office of the Director of National Intelligence","Agency Overall","2014","59","193.56","4","841"
"National Indian Gaming Commission","Agency Overall","2014","20","20","20","20"
"Consumer Financial Protection Bureau","Agency Overall","2014","20","25.48","3","104"
"Administrative Conference of the United States","Agency Overall","2014","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2014","7","7","7","7"
"Department of Transportation","Agency Overall","2014","80","163","<1","806"
"Central Intelligence Agency","Agency Overall","2014","113.5","281.3","N/A","3491"
"Council on Environmental Quality","Agency Overall","2014","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2014","24","64.27","7","475"
"National Transportation Safety Board","Agency Overall","2014","41","53.26","<1","342"
"Federal Financial Institutions Examination Council","Agency Overall","2014","32","32","32","32"
"Department of Health and Human Services","Agency Overall","2014","150","314","<1","1574"
