"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Consumer Product Safety Commission","Agency Overall","2014","127","99","92","63","43","31","17","25","13","8","28","9","12","567"
"Commodity Futures Trading Commission","Agency Overall","2014","21","22","9","14","5","5","2","5","2","3","6","5","4","103"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","0","0","0","0","0","1","0","1","0","0","0","1","1","4"
"Department of Justice","Agency Overall","2014","1602","1055","707","680","577","466","410","363","307","299","1030","515","509","8520"
"Office of the United States Trade Representative","Agency Overall","2014","17","22","8","4","0","0","0","0","0","0","0","0","0","51"
"U.S. Agency for International Development","Agency Overall","2014","62","25","18","23","13","12","10","6","6","7","19","12","51","264"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","4","2","1","1","0","1","1","0","1","0","0","0","0","11"
"U.S. Department of State","Agency Overall","2014","11","58","48","46","60","57","76","139","93","112","464","319","1063","2546"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","1","0","1","0","0","0","0","0","0","0","0","0","0","2"
"National Mediation Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","130","49","18","12","17","6","4","9","11","1","19","9","21","306"
"United States Trade and Development Agency","Agency Overall","2014","9","5","6","3","0","0","0","0","0","0","0","1","0","24"
"Department of Veterans Affairs","Agency Overall","2014","7244","1986","517","276","226","194","119","107","121","105","382","72","56","11405"
"National Aeronautics and Space Administration","Agency Overall","2014","274","81","35","25","10","2","1","0","0","0","0","1","0","429"
"Federal Election Commission","Agency Overall","2014","3","0","0","0","0","0","0","0","0","0","1","0","1","5"
"Federal Housing Finance Agency","Agency Overall","2014","6","5","9","1","1","3","0","0","0","0","2","0","0","27"
"Office of Science and Technology Policy","Agency Overall","2014","2","1","0","1","0","0","0","0","1","0","0","0","0","5"
"Merit Systems Protection Board","Agency Overall","2014","1","19","10","3","1","0","0","0","0","0","0","0","0","34"
"Federal Deposit Insurance Corporation","Agency Overall","2014","98","53","8","2","1","0","0","0","0","0","0","0","0","162"
"Selective Service System","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2014","146","195","84","69","40","15","10","15","4","30","0","0","0","608"
"U.S. Commission on Civil Rights","Agency Overall","2014","15","0","0","0","0","0","0","0","0","0","0","0","0","15"
"General Services Administration","Agency Overall","2014","246","138","191","141","96","51","36","32","15","13","46","9","6","1020"
"Office of Government Ethics","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2014","0","8","20","7","4","2","3","3","2","1","4","0","3","57"
"Department of Defense","Agency Overall","2014","8111","4547","1756","1015","739","496","454","363","251","188","573","469","978","19940"
"Office of the Director of National Intelligence","Agency Overall","2014","30","9","13","4","5","1","4","2","4","3","10","7","35","127"
"National Indian Gaming Commission","Agency Overall","2014","0","0","2","2","0","0","1","0","1","0","2","0","4","12"
"Consumer Financial Protection Bureau","Agency Overall","2014","10","5","1","1","0","0","0","0","0","0","0","0","0","17"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"Department of Transportation","Agency Overall","2014","451","570","379","308","171","77","40","36","33","27","58","35","52","2237"
"Central Intelligence Agency","Agency Overall","2014","297","377","247","145","86","52","62","34","29","17","62","38","125","1571"
"Council on Environmental Quality","Agency Overall","2014","0","0","1","0","1","0","0","0","1","0","1","0","0","4"
"National Archives and Records Administration","Agency Overall","2014","263","78","16","8","6","8","10","10","4","15","34","41","704","1197"
"National Transportation Safety Board","Agency Overall","2014","124","24","9","12","13","4","8","4","3","4","15","16","42","278"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2014","5426","936","588","448","397","334","365","289","318","223","1203","515","958","12000"
"All agencies","Agency Overall","2014","80054","77173","27747","7329","4925","3915","3398","3313","3278","3515","12229","11355","12955","251186"
