"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Commodity Futures Trading Commission","Agency Overall","2014","0","0","10","33","16","28","7","0","15","0","6","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","0","0","0","0","7","9","2","0","3","2","2","0","0","0"
"Department of Justice","Agency Overall","2014","487","150","1343","302","1082","6909","862","44","8230","2145","3611","1919","1","0"
"Office of the United States Trade Representative","Agency Overall","2014","0","1","0","0","3","3","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2014","0","1","6","47","10","78","4","1","13","5","3","2","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","1","0","0","2","0","16","3","0","4","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2014","389","27","9227","72","260","2629","45","10","180","21","254","24","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","1","0","1","0","2","2","0","0","1","0","0","0","0","0"
"National Mediation Board","Agency Overall","2014","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","16","17","5","38","57","83","27","0","105","35","44","49","0","0"
"United States Trade and Development Agency","Agency Overall","2014","0","0","1","1","2","1","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2014","0","6","2634","250","208","10776","104","29","3380","7","31","12","0","0"
"National Aeronautics and Space Administration","Agency Overall","2014","2","3","26","133","28","85","10","0","22","6","7","5","0","0"
"Federal Election Commission","Agency Overall","2014","0","0","5","3","12","13","4","0","4","0","3","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2014","0","4","0","23","27","35","6","0","22","0","11","0","10","0"
"Office of Science and Technology Policy","Agency Overall","2014","3","0","1","1","19","23","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2014","0","0","1","0","6","30","0","1","1","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2014","0","11","1","97","59","147","4","0","9","2","7","0","55","0"
"Selective Service System","Agency Overall","2014","0","2","0","0","4","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2014","0","0","47","22","126","850","3","0","38","11","19","5","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2014","2","8","10","205","119","281","10","4","17","3","1","68","0","0"
"Office of Government Ethics","Agency Overall","2014","0","0","2","0","5","8","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2014","0","2","3","7","17","53","0","0","6","0","0","3","0","0"
"Department of Defense","Agency Overall","2014","2625","165","3384","1018","3331","11179","753","38","5954","382","2079","108","1","4"
"Office of the Director of National Intelligence","Agency Overall","2014","67","0","186","6","29","69","3","1","5","4","25","1","0","0"
"National Indian Gaming Commission","Agency Overall","2014","0","0","1","18","15","16","1","0","14","0","5","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2014","0","1","4","34","48","81","28","0","0","10","21","0","22","0"
"Administrative Conference of the United States","Agency Overall","2014","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","0","0","3","1","9","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2014","0","8","176","214","354","1623","85","2","519","99","8","7","0","0"
"Central Intelligence Agency","Agency Overall","2014","1974","2","2224","9","82","176","2","0","9","12","9","3","0","0"
"Council on Environmental Quality","Agency Overall","2014","0","0","0","0","6","6","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2014","360","19","254","8","24","254","5","0","111","182","0","1","1","0"
"National Transportation Safety Board","Agency Overall","2014","0","0","10","19","205","37","176","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0","0","1","1","3","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2014","0","11","206","821","363","8000","241","1","941","99","94","18","0","0"
"All agencies","Agency Overall","2014","6021","1257","35679","10034","71005","148485","8316","1215","145963","6091","118090","2517","265","31"
