"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"U.S. Agency for Global Media","Agency Overall","2014","8","104","8","10"
"Office of Management and Budget","Agency Overall","2014","3","0","20","20"
"United States Postal Service","Agency Overall","2014","3","6","1","2.44"
"Federal Maritime Commission","Agency Overall","2014","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2014","0","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2014","0","7","19","20"
"National Endowment for the Arts","Agency Overall","2014","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2014","9","47","7","4.04"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","2","0","2","2"
"Postal Regulatory Commission","Agency Overall","2014","9","0","12","9"
"Inter-American Foundation","Agency Overall","2014","0","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2014","232","784","3.5","28.55"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2014","0","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2014","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2014","0","1","2","2"
"Environmental Protection Agency","Agency Overall","2014","214","452","6","8.3"
"Federal Open Market Committee","Agency Overall","2014","6","0","16","14"
"Securities and Exchange Commission","Agency Overall","2014","20","128","1","2.16"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2014","0","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2014","2","10","4","6.7"
"Federal Trade Commission","Agency Overall","2014","12","9","11","14.95"
"Department of the Interior","Agency Overall","2014","550","30","2","12"
"National Science Foundation","Agency Overall","2014","0","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2014","1","0","2","2"
"Equal Employment Opportunity Commission","Agency Overall","2014","0","8","N/A","N/A"
"Department of Agriculture","Agency Overall","2014","1043","64","1","1"
"National Railroad Passenger Corporation","Agency Overall","2014","12","4","1","1"
"Consumer Product Safety Commission","Agency Overall","2014","1","0","1","1"
"Commodity Futures Trading Commission","Agency Overall","2014","1","7","3","2.75"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","0","0","N/A","N/A"
"Department of Justice","Agency Overall","2014","107","439","2","14.01"
"Office of the United States Trade Representative","Agency Overall","2014","15","1","9","8"
"U.S. Agency for International Development","Agency Overall","2014","27","7","2","3.24"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2014","406","275","1","7"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","0","N/A","N/A"
"National Mediation Board","Agency Overall","2014","0","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2014","110","25","1","1"
"United States Trade and Development Agency","Agency Overall","2014","0","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2014","300","50","1","4.99"
"National Aeronautics and Space Administration","Agency Overall","2014","2","10","1","5.58"
"Federal Election Commission","Agency Overall","2014","28","0","1","1"
"Federal Housing Finance Agency","Agency Overall","2014","7","30","N/A","0.51"
"Office of Science and Technology Policy","Agency Overall","2014","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2014","0","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2014","4","24","1","3.11"
"Selective Service System","Agency Overall","2014","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2014","0","4","9","21"
"U.S. Commission on Civil Rights","Agency Overall","2014","10","0","4","4"
"General Services Administration","Agency Overall","2014","4","3","7","3.5"
"Office of Government Ethics","Agency Overall","2014","0","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2014","13","1","20","20"
"Department of Defense","Agency Overall","2014","954","783","N/A","15"
"Office of the Director of National Intelligence","Agency Overall","2014","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2014","0","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2014","1","3","1","2"
"Administrative Conference of the United States","Agency Overall","2014","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2014","0","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","0","N/A","N/A"
"Department of Transportation","Agency Overall","2014","94","86","1","4.27559"
"Central Intelligence Agency","Agency Overall","2014","8","10","2.46","11.31"
"Council on Environmental Quality","Agency Overall","2014","15","0","5","13.625"
"National Archives and Records Administration","Agency Overall","2014","36","31","6","12.16"
"National Transportation Safety Board","Agency Overall","2014","0","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2014","746","57","14","28"
"All agencies","Agency Overall","2014","5944","4673","N/A","N/A"
