"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Administrative Conference of the United States","Agency Overall","2014","28328.00","0.00","28328.00","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2014","1750.00","0.00","1750.00","0.00","0.0000"
"Occupational Safety and Health Review Commission","Agency Overall","2014","166211.37","0.00","166211.37","258.60","0.1600"
"Department of Transportation","Agency Overall","2014","12300648.28","393065.45","12693713.73","81513.25","0.6600"
"Central Intelligence Agency","Agency Overall","2014","10860000.00","2100000.00","12960000.00","7841.90","0.0700"
"Council on Environmental Quality","Agency Overall","2014","48000.00","0.00","48000.00","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2014","6229429.00","0.00","6229429.00","522.80","0.0100"
"National Transportation Safety Board","Agency Overall","2014","606903.93","3565.05","610468.98","119.80","0.0200"
"Federal Financial Institutions Examination Council","Agency Overall","2014","8080.00","0.00","8080.00","0.00","0.0000"
"Department of Health and Human Services","Agency Overall","2014","47683193.39","1034548.33","48717741.72","669244.77","1.4000"
"All agencies","Agency Overall","2014","433651422.60","27833951.08","461485373.68","4210247.75","N/A"
