"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","10","452","432","30"
"Millennium Challenge Corporation","Agency Overall","2014","1","1","2","0"
"Legal Services Corporation","Agency Overall","2014","0","5","5","0"
"Federal Communications Commission","Agency Overall","2014","30","24","48","6"
"Federal Trade Commission","Agency Overall","2014","3","15","16","2"
"Department of the Interior","Agency Overall","2014","197","165","90","272"
"National Science Foundation","Agency Overall","2014","6","9","14","1"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","1","1","0"
"Overseas Private Investment Corporation","Agency Overall","2014","0","4","4","0"
"Equal Employment Opportunity Commission","Agency Overall","2014","15","296","295","16"
"Department of Agriculture","Agency Overall","2014","231","242","169","304"
"National Railroad Passenger Corporation","Agency Overall","2014","3","6","4","5"
"Consumer Product Safety Commission","Agency Overall","2014","0","14","14","0"
"Commodity Futures Trading Commission","Agency Overall","2014","4","8","6","6"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","2","8","10","0"
"Department of Justice","Agency Overall","2014","594","3209","3100","703"
"Office of the United States Trade Representative","Agency Overall","2014","1","0","1","0"
"U.S. Agency for International Development","Agency Overall","2014","20","16","18","18"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","1","1","0"
"U.S. Department of State","Agency Overall","2014","296","356","382","270"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","4","2","2"
"National Mediation Board","Agency Overall","2014","0","2","2","0"
"Nuclear Regulatory Commission","Agency Overall","2014","8","37","42","3"
"United States Trade and Development Agency","Agency Overall","2014","0","1","1","0"
"Department of Veterans Affairs","Agency Overall","2014","245","299","252","292"
"National Aeronautics and Space Administration","Agency Overall","2014","5","18","22","1"
"Federal Election Commission","Agency Overall","2014","3","4","3","4"
"Federal Housing Finance Agency","Agency Overall","2014","0","15","14","1"
"Office of Science and Technology Policy","Agency Overall","2014","0","4","4","0"
"Merit Systems Protection Board","Agency Overall","2014","1","10","9","2"
"Federal Deposit Insurance Corporation","Agency Overall","2014","1","26","25","2"
"Selective Service System","Agency Overall","2014","0","2","2","0"
"Social Security Administration","Agency Overall","2014","30","285","255","60"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","1","1","0"
"General Services Administration","Agency Overall","2014","6","12","16","2"
"Office of Government Ethics","Agency Overall","2014","0","1","1","0"
"Tennessee Valley Authority","Agency Overall","2014","0","7","6","1"
"Department of Defense","Agency Overall","2014","702","1059","961","800"
"Office of the Director of National Intelligence","Agency Overall","2014","22","14","10","26"
"National Indian Gaming Commission","Agency Overall","2014","0","2","1","1"
"Consumer Financial Protection Bureau","Agency Overall","2014","0","28","25","3"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","1","1","0"
"Department of Transportation","Agency Overall","2014","50","99","120","29"
"Central Intelligence Agency","Agency Overall","2014","191","294","324","161"
"Council on Environmental Quality","Agency Overall","2014","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2014","14","81","67","28"
"National Transportation Safety Board","Agency Overall","2014","3","11","12","2"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","1","1","0"
"Department of Health and Human Services","Agency Overall","2014","341","325","246","420"
"All agencies","Agency Overall","2014","3883","12698","11902","4644"
