"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","143","452","149","432"
"Millennium Challenge Corporation","Agency Overall","2014","2","1","1","2"
"Legal Services Corporation","Agency Overall","2014","0","5","1","5"
"Federal Communications Commission","Agency Overall","2014","28","24","16","48"
"Federal Trade Commission","Agency Overall","2014","29","15","26","16"
"Department of the Interior","Agency Overall","2014","177","165","177","90"
"National Science Foundation","Agency Overall","2014","10","9","4","14"
"Court Services and Offender Supervision Agency","Agency Overall","2014","2","1","2","1"
"Overseas Private Investment Corporation","Agency Overall","2014","1","4","1","4"
"Equal Employment Opportunity Commission","Agency Overall","2014","291","296","291","295"
"Department of Agriculture","Agency Overall","2014","229","242","196","169"
"National Railroad Passenger Corporation","Agency Overall","2014","4","6","2","4"
"Consumer Product Safety Commission","Agency Overall","2014","12","14","12","14"
"Commodity Futures Trading Commission","Agency Overall","2014","5","8","6","6"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","3","8","3","10"
"Department of Justice","Agency Overall","2014","3327","3209","3398","3100"
"Office of the United States Trade Representative","Agency Overall","2014","4","0","3","1"
"U.S. Agency for International Development","Agency Overall","2014","9","16","25","18"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","1","0","1"
"U.S. Department of State","Agency Overall","2014","282","356","370","382"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","4","0","2"
"National Mediation Board","Agency Overall","2014","0","2","0","2"
"Nuclear Regulatory Commission","Agency Overall","2014","23","37","15","42"
"United States Trade and Development Agency","Agency Overall","2014","1","1","1","1"
"Department of Veterans Affairs","Agency Overall","2014","321","299","266","252"
"National Aeronautics and Space Administration","Agency Overall","2014","19","18","16","22"
"Federal Election Commission","Agency Overall","2014","3","4","1","3"
"Federal Housing Finance Agency","Agency Overall","2014","12","15","13","14"
"Office of Science and Technology Policy","Agency Overall","2014","5","4","5","4"
"Merit Systems Protection Board","Agency Overall","2014","18","10","18","9"
"Federal Deposit Insurance Corporation","Agency Overall","2014","29","26","34","25"
"Selective Service System","Agency Overall","2014","0","2","0","2"
"Social Security Administration","Agency Overall","2014","452","285","459","255"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","1","0","1"
"General Services Administration","Agency Overall","2014","21","12","23","16"
"Office of Government Ethics","Agency Overall","2014","2","1","2","1"
"Tennessee Valley Authority","Agency Overall","2014","9","7","9","6"
"Department of Defense","Agency Overall","2014","1111","1059","1145","961"
"Office of the Director of National Intelligence","Agency Overall","2014","26","14","23","10"
"National Indian Gaming Commission","Agency Overall","2014","3","2","3","1"
"Consumer Financial Protection Bureau","Agency Overall","2014","16","28","20","25"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","1","0","1"
"Department of Transportation","Agency Overall","2014","130","99","130","120"
"Central Intelligence Agency","Agency Overall","2014","338","294","360","324"
"Council on Environmental Quality","Agency Overall","2014","1","0","1","0"
"National Archives and Records Administration","Agency Overall","2014","70","81","63","67"
"National Transportation Safety Board","Agency Overall","2014","7","11","4","12"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","1","0","1"
"Department of Health and Human Services","Agency Overall","2014","328","325","451","246"
"All agencies","Agency Overall","2014","12070","12754","12238","11957"
