"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"National Mediation Board","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2017","0","N/A","N/A","1","101","101","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2017","11","10","7","4","15.5","20","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2017","1667","73","272.53","1560","700","1222.42","7","118","192.71"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","1","3","3","1","88","88","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2017","16","5","6","41","14","23.1","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2017","47","137","235.2","166","127","196.9","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2017","3","7","6","2","7","52","0","N/A","N/A"
"United States Postal Service","Agency Overall","2017","86","8","23","54","31.5","206","0","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2017","2","10","10","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2017","49","251","224","289","266","324","4","698","624"
"National Credit Union Administration","Agency Overall","2017","1","2","2","6","10","12.29","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","10","26","66","0","N/A","N/A","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Small Business Administration","Agency Overall","2017","24","10","18.8","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","N/A","N/A","3","346","374","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2017","3363","50","61","43","23","43","0","N/A","N/A"
"Department of Transportation","Agency Overall","2017","3416","126","214.78","2062","302","337.76","16","129","348.63"
"United States Trade and Development Agency","Agency Overall","2017","0","N/A","N/A","26","337","384","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2017","52","7","10.73","10","31","68.7","17","15","32.47"
"Tennessee Valley Authority","Agency Overall","2017","10","3","5","6","52","91.6","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2017","0","N/A","N/A","5","15","100","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2017","1653","36","82.7","881","139","285.19","143","82","192.41"
"Nuclear Regulatory Commission","Agency Overall","2017","28","70.5","81","51","109","127","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of the Interior","Agency Overall","2017","10","8","12","2089","64","117","34","25","56"
"U.S. Election Assistance Commission","Agency Overall","2017","15","54","135.7","0","N/A","N/A","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","4","55","61.5","5","45","77.8","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2017","34","131","147","177","395","439","5","267","426"
"United States Copyright Office","Agency Overall","2017","9","9","35.3","0","N/A","N/A","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2017","747","62","77.99","0","N/A","N/A","20","15","29"
"Department of Health and Human Services","Agency Overall","2017","1225","88","103.53","4780","118","208.36","96","282","421.79"
"United States Institute of Peace","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2017","463","29","78.65","249","136","181.75","2","80.5","80.5"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2017","19","12","39","8","73","177","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2017","1","88","88","3","333","328.7","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2017","2","19","19","1","29","29","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2017","5","10","8.8","1","16","16","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","4","7","9","28","298","313","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2017","64","206","248.72","12","104","157","2","579.5","579.5"
"Department of Defense","Agency Overall","2017","2835","29.31","42.06","9460","163.09","242.56","77","48.59","57.88"
"Federal Energy Regulatory Commission","Agency Overall","2017","17","22","120","13","228","364","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2017","2354","114","176.16","440","93","181.05","8","151.5","141.38"
"Social Security Administration","Agency Overall","2017","548","5","6","45","203","196","3","12","24"
"Federal Reserve System","Agency Overall","2017","0","N/A","N/A","48","69","82","1","21","21"
"Commission of Fine Arts","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2017","11","36","70","36","130","234","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2017","13","52","49","29","95","133","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2017","0","N/A","N/A","2","52.5","52.5","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2017","2869","145.5","192","891","68","205","22","121.5","178"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2017","393","296","352.39","9","924","823","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2017","96","25.5","44","0","N/A","N/A","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2017","1","11","11","0","N/A","N/A","0","N/A","N/A"
"United States Access Board","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2017","13","10","294.8","59","302","458.3","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2017","8","972","707","0","N/A","N/A","0","N/A","N/A"
"Department of Commerce","Agency Overall","2017","149","23","114.37","284","60","115.31","22","45.5","60.91"
"United States International Boundary and Water Commission","Agency Overall","2017","4","165","109","0","N/A","N/A","0","N/A","N/A"
"Department of Justice","Agency Overall","2017","10164","29","107.86","8180","188","305.97","331","119","183.24"
"National Indian Gaming Commission","Agency Overall","2017","10","48","50.3","10","198","229.3","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2017","9","20","18","6","114","282","0","N/A","N/A"
"National Council on Disability","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Presidio Trust","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2017","8436","15.76","46.58","48479","58.91","85.98","185","127.71","107.8"
"Federal Housing Finance Agency","Agency Overall","2017","15","6","21.13","19","45","187.47","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2017","23","35","64","231","83","146","0","N/A","N/A"
"Denali Commission","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2017","1","6","6","4","37.5","38.25","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2017","12","328","285","119","143","230","9","612","524"
"Social Security Advisory Board","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2017","0","N/A","N/A","2","15","15","0","N/A","N/A"
"Department of Energy","Agency Overall","2017","274","35","110.8","196","114","254.7","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2017","1","20","20","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2017","31","12","33.13","8","320","324.25","1","412","412"
"Office of Government Ethics","Agency Overall","2017","138","64","80.5","0","N/A","N/A","5","69","103"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2017","174","105.5","150","722","482","502","1","34","34"
"Peace Corps","Agency Overall","2017","13","113","131","28","154","274","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2017","5","6.5","8.4","0","N/A","N/A","0","N/A","N/A"
"All agencies","Agency Overall","2017","45211","N/A","N/A","98713","N/A","N/A","1235","N/A","N/A"
