"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Defense","Agency Overall","2017","237","40","24","13","13","2","7","2","2","3","15","7","15","380"
"Federal Energy Regulatory Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2017","20","2","0","0","1","1","0","1","0","0","0","0","0","25"
"Social Security Administration","Agency Overall","2017","0","1","1","0","0","0","0","0","0","0","0","0","0","2"
"Federal Reserve System","Agency Overall","2017","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Commission of Fine Arts","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Export-Import Bank of the U.S.","Agency Overall","2017","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Council on Environmental Quality","Agency Overall","2017","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"American Battle Monuments Commission","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Surface Transportation Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Veterans Affairs","Agency Overall","2017","36","8","6","3","2","1","4","0","3","1","3","4","0","71"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2017","16","0","5","0","2","1","0","1","0","0","0","1","1","27"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2017","65","53","15","10","12","13","26","13","4","11","9","16","17","264"
"National Indian Gaming Commission","Agency Overall","2017","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Office of the United States Trade Representative","Agency Overall","2017","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","161","129","37","32","22","4","7","10","5","8","4","5","4","428"
"Federal Housing Finance Agency","Agency Overall","2017","1","2","0","0","0","0","0","0","0","0","0","0","0","3"
"Consumer Product Safety Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"National Railroad Passenger Corporation","Agency Overall","2017","0","0","2","0","0","0","0","0","0","0","0","1","6","9"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Postal Regulatory Commission","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of Science and Technology Policy","Agency Overall","2017","1","1","0","0","0","0","0","0","2","2","0","0","0","6"
"Office of Government Ethics","Agency Overall","2017","11","1","0","1","0","0","0","0","0","0","0","0","0","13"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Peace Corps","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2017","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"All agencies","Agency Overall","2017","995","393","164","108","82","51","59","46","47","42","57","78","214","2336"
