"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Presidio Trust","Agency Overall","2017","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","1685","1359","1498","804","5346"
"Federal Housing Finance Agency","Agency Overall","2017","4","0","0","2","6"
"Consumer Product Safety Commission","Agency Overall","2017","2","8","1","1","12"
"Denali Commission","Agency Overall","2017","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2017","3","0","2","5","10"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0","0"
"Department of Energy","Agency Overall","2017","17","7","3","15","42"
"Farm Credit Administration","Agency Overall","2017","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2017","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2017","1","1","0","0","2"
"Office of Government Ethics","Agency Overall","2017","8","6","2","0","16"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","11","1","2","11","25"
"Peace Corps","Agency Overall","2017","4","0","0","0","4"
"Federal Labor Relations Authority","Agency Overall","2017","2","0","0","0","2"
"All agencies","Agency Overall","2017","6017","2300","2757","3639","14713"
