"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Veterans Affairs","Agency Overall","2017","1733","559","280","300","178","135","147","127","134","122","260","51","32","4058"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of the Director of National Intelligence","Agency Overall","2017","7","19","9","4","7","2","4","2","6","3","3","2","21","89"
"Court Services and Offender Supervision Agency","Agency Overall","2017","1","2","1","0","0","1","0","0","0","1","0","0","0","6"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2017","6","13","5","3","4","1","1","1","1","0","0","2","3","40"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2017","167","86","51","48","29","22","23","18","13","13","37","12","50","569"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2017","2864","1786","1226","848","720","544","404","457","469","474","1613","750","1496","13651"
"National Indian Gaming Commission","Agency Overall","2017","0","0","1","2","0","1","1","1","1","1","3","3","5","19"
"Office of the United States Trade Representative","Agency Overall","2017","0","7","1","3","5","3","1","0","1","0","5","2","3","31"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","39162","5897","2517","1125","828","44938","52676","3375","699","377","1139","571","1042","154346"
"Federal Housing Finance Agency","Agency Overall","2017","11","5","5","2","1","2","0","0","0","0","0","0","5","31"
"Consumer Product Safety Commission","Agency Overall","2017","148","112","73","34","25","18","14","12","10","7","15","8","8","484"
"Denali Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","12","6","4","4","0","0","0","0","0","0","0","0","0","26"
"National Railroad Passenger Corporation","Agency Overall","2017","62","17","13","4","7","6","3","3","4","0","6","11","16","152"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2017","97","69","45","29","24","11","8","12","11","8","19","8","42","383"
"Farm Credit Administration","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2017","3","0","1","0","0","0","0","0","0","0","2","1","4","11"
"Office of Government Ethics","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","10","9","6","5","2","4","2","2","1","1","11","10","87","150"
"Peace Corps","Agency Overall","2017","0","0","0","2","0","6","6","8","2","4","0","0","51","79"
"Federal Labor Relations Authority","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2017","82905","22098","10795","5857","4342","47696","54856","5414","3256","2869","10161","6546","9748","266543"
