"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","0","5"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","0","2"
"United States International Trade Commission","Agency Overall","2017","0","58"
"National Endowment for the Humanities","Agency Overall","2017","35","32"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","4"
"Merit Systems Protection Board","Agency Overall","2017","7","239"
"Department of Defense","Agency Overall","2017","12840","16917"
"Federal Energy Regulatory Commission","Agency Overall","2017","1","150"
"Department of Agriculture","Agency Overall","2017","471","17938"
"Social Security Administration","Agency Overall","2017","17","0"
"Federal Reserve System","Agency Overall","2017","0","14"
"Commission of Fine Arts","Agency Overall","2017","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","24","0"
"Council on Environmental Quality","Agency Overall","2017","20","0"
"American Battle Monuments Commission","Agency Overall","2017","0","0"
"Surface Transportation Board","Agency Overall","2017","4","22"
"Department of Veterans Affairs","Agency Overall","2017","759","326"
"Federal Financial Institutions Examination Council","Agency Overall","2017","2","14"
"Office of the Director of National Intelligence","Agency Overall","2017","18","166"
"Court Services and Offender Supervision Agency","Agency Overall","2017","6","2"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","81"
"United States Access Board","Agency Overall","2017","0","0"
"Federal Election Commission","Agency Overall","2017","364","287"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0"
"Department of Commerce","Agency Overall","2017","1296353","27"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0"
"Department of Justice","Agency Overall","2017","490","5175"
"National Indian Gaming Commission","Agency Overall","2017","3","0"
"Office of the United States Trade Representative","Agency Overall","2017","7","12"
"National Council on Disability","Agency Overall","2017","9","24"
"Presidio Trust","Agency Overall","2017","0","14"
"Department of Homeland Security","Agency Overall","2017","887","0"
"Federal Housing Finance Agency","Agency Overall","2017","3","2"
"Consumer Product Safety Commission","Agency Overall","2017","35","0"
"Denali Commission","Agency Overall","2017","0","0"
"Federal Maritime Commission","Agency Overall","2017","6","54"
"National Railroad Passenger Corporation","Agency Overall","2017","335","0"
"Social Security Advisory Board","Agency Overall","2017","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","124"
"Department of Energy","Agency Overall","2017","64","7715"
"Farm Credit Administration","Agency Overall","2017","7","7"
"Postal Regulatory Commission","Agency Overall","2017","0","3516"
"Office of Science and Technology Policy","Agency Overall","2017","69","0"
"Office of Government Ethics","Agency Overall","2017","188","76"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0"
"National Transportation Safety Board","Agency Overall","2017","1245","235"
"Peace Corps","Agency Overall","2017","0","0"
"Federal Labor Relations Authority","Agency Overall","2017","6","181"
"All agencies","Agency Overall","2017","1507193","38787075"
