"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Consumer Financial Protection Bureau","Agency Overall","2017","35","426","48","9","0","0","0","0","0","0","0","0","0","518"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","73","1","0","0","0","0","0","0","0","0","0","0","0","74"
"Office of Management and Budget","Agency Overall","2017","108","56","29","7","7","4","1","6","2","1","5","6","16","248"
"Department of Labor","Agency Overall","2017","4425","758","206","83","40","17","9","6","4","7","49","43","59","5706"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","457","8","0","0","0","0","0","0","0","0","0","0","0","465"
"National Mediation Board","Agency Overall","2017","18","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Federal Open Market Committee","Agency Overall","2017","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Federal Deposit Insurance Corporation","Agency Overall","2017","217","11","1","1","0","0","0","0","0","0","0","0","0","230"
"National Archives and Records Administration","Agency Overall","2017","56542","1068","254","78","36","27","21","11","10","9","16","17","485","58574"
"Farm Credit System Insurance Corporation","Agency Overall","2017","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","39","2","3","0","0","0","0","0","0","0","0","0","0","44"
"Federal Trade Commission","Agency Overall","2017","873","22","3","0","1","0","0","0","0","0","0","0","0","899"
"Office of Personnel Management","Agency Overall","2017","7100","46","20","6","8","8","3","3","1","2","5","1","9","7212"
"National Endowment for the Arts","Agency Overall","2017","68","3","0","0","0","0","0","0","0","0","0","0","0","71"
"United States Postal Service","Agency Overall","2017","2267","245","39","7","2","1","1","2","0","1","1","0","1","2567"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"United States African Development Foundation","Agency Overall","2017","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"U.S. Agency for International Development","Agency Overall","2017","8","1","0","0","0","0","0","0","0","0","0","0","0","9"
"National Credit Union Administration","Agency Overall","2017","41","0","0","0","0","0","0","0","0","0","0","0","0","41"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","12","7","4","6","0","3","0","0","0","0","2","0","0","34"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Small Business Administration","Agency Overall","2017","1143","167","58","36","22","9","9","8","0","0","5","3","0","1460"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Equal Employment Opportunity Commission","Agency Overall","2017","8256","4404","1618","764","403","372","382","231","274","53","31","1","1","16790"
"Department of Transportation","Agency Overall","2017","8745","1102","374","89","53","42","37","26","21","91","1146","128","228","12082"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","518","100","15","6","1","0","0","2","0","0","2","0","0","644"
"Tennessee Valley Authority","Agency Overall","2017","134","0","0","0","0","0","0","0","0","0","0","0","0","134"
"U.S. Agency for Global Media","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2017","5886","1747","143","83","35","42","19","15","13","7","36","14","2","8042"
"Nuclear Regulatory Commission","Agency Overall","2017","394","80","16","9","7","9","2","2","1","0","0","0","0","520"
"Administrative Conference of the United States","Agency Overall","2017","15","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Department of the Interior","Agency Overall","2017","467","28","5","4","3","0","0","0","0","0","0","1","0","508"
"U.S. Election Assistance Commission","Agency Overall","2017","5","6","4","2","4","1","0","0","0","0","0","0","0","22"
"Armed Forces Retirement Home","Agency Overall","2017","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Appraisal Subcommittee","Agency Overall","2017","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","23","1","0","1","0","0","0","0","0","0","0","0","0","25"
"Office of Special Counsel","Agency Overall","2017","20","5","1","2","4","4","3","1","1","1","2","0","1","45"
"United States Copyright Office","Agency Overall","2017","21","11","1","0","0","0","0","0","0","0","0","0","0","33"
"National Labor Relations Board","Agency Overall","2017","1004","492","219","118","71","37","27","16","20","10","17","3","1","2035"
"Department of Health and Human Services","Agency Overall","2017","6850","928","576","499","459","652","517","584","535","465","1407","95","126","13693"
"United States Institute of Peace","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Housing and Urban Development","Agency Overall","2017","742","248","82","50","33","30","26","14","9","5","29","7","18","1293"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Commodity Futures Trading Commission","Agency Overall","2017","116","29","8","4","1","0","0","0","0","2","0","0","1","161"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","3","3","0","0","0","0","0","0","0","0","0","0","0","6"
"Overseas Private Investment Corporation","Agency Overall","2017","36","8","1","1","0","0","0","0","0","0","0","0","0","46"
"United States International Trade Commission","Agency Overall","2017","42","3","0","0","0","0","0","0","0","0","0","0","0","45"
"National Endowment for the Humanities","Agency Overall","2017","48","1","0","0","0","0","0","0","0","0","0","0","0","49"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","5","2","0","0","0","0","0","0","0","0","0","0","0","7"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","25","7","0","3","0","0","0","0","0","0","0","0","0","35"
"Merit Systems Protection Board","Agency Overall","2017","77","10","6","9","5","3","5","3","4","1","5","8","6","142"
"Department of Defense","Agency Overall","2017","27408","1066","361","151","99","73","52","35","26","32","103","47","164","29617"
"Federal Energy Regulatory Commission","Agency Overall","2017","34","38","1","1","1","1","1","2","0","1","0","0","0","80"
"Department of Agriculture","Agency Overall","2017","20106","863","365","208","145","96","85","52","44","39","132","46","95","22276"
"Social Security Administration","Agency Overall","2017","19707","827","75","8","6","2","0","0","0","0","0","0","0","20625"
"Federal Reserve System","Agency Overall","2017","315","16","6","1","0","1","2","0","0","0","0","0","0","341"
"Commission of Fine Arts","Agency Overall","2017","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Export-Import Bank of the U.S.","Agency Overall","2017","61","11","0","0","1","0","0","0","0","0","0","0","0","73"
"Council on Environmental Quality","Agency Overall","2017","42","15","14","8","4","2","1","0","1","2","2","1","7","99"
"American Battle Monuments Commission","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Surface Transportation Board","Agency Overall","2017","38","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Department of Veterans Affairs","Agency Overall","2017","12474","3870","1527","472","360","340","234","180","260","264","598","95","40","20714"
"Federal Financial Institutions Examination Council","Agency Overall","2017","30","0","0","0","0","0","0","0","0","0","0","0","0","30"
"Office of the Director of National Intelligence","Agency Overall","2017","263","9","0","0","2","0","1","0","1","0","0","2","4","282"
"Court Services and Offender Supervision Agency","Agency Overall","2017","226","109","40","44","10","7","8","3","0","0","0","0","0","447"
"Occupational Safety and Health Review Commission","Agency Overall","2017","64","0","0","0","0","0","0","0","0","0","0","0","0","64"
"United States Access Board","Agency Overall","2017","12","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Federal Election Commission","Agency Overall","2017","75","16","1","1","0","0","0","0","0","0","0","0","0","93"
"U.S. Railroad Retirement Board","Agency Overall","2017","74","18","3","0","0","0","0","0","0","0","0","0","5","100"
"Department of Commerce","Agency Overall","2017","971","169","37","7","0","0","1","0","0","0","0","0","0","1185"
"United States International Boundary and Water Commission","Agency Overall","2017","37","11","2","1","0","0","0","0","0","0","0","0","0","51"
"Department of Justice","Agency Overall","2017","28174","17485","3923","1634","885","535","538","631","264","115","273","58","50","54565"
"National Indian Gaming Commission","Agency Overall","2017","13","4","3","3","8","2","4","2","0","1","6","5","2","53"
"Office of the United States Trade Representative","Agency Overall","2017","73","16","2","2","1","0","0","0","0","0","0","0","0","94"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Department of Homeland Security","Agency Overall","2017","77158","36809","28065","20287","8126","5462","2135","1352","1343","1264","1598","184","90","183873"
"Federal Housing Finance Agency","Agency Overall","2017","17","90","10","5","0","0","0","1","0","0","0","0","0","123"
"Consumer Product Safety Commission","Agency Overall","2017","93","16","10","3","3","3","1","1","0","2","0","0","1","133"
"Denali Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"National Railroad Passenger Corporation","Agency Overall","2017","23","3","3","0","0","1","0","1","0","0","1","1","2","35"
"Social Security Advisory Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Marine Mammal Commission","Agency Overall","2017","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Department of Energy","Agency Overall","2017","846","275","155","96","77","75","60","31","18","17","42","7","14","1713"
"Farm Credit Administration","Agency Overall","2017","26","1","0","0","0","0","0","0","0","0","0","0","0","27"
"Postal Regulatory Commission","Agency Overall","2017","34","1","0","0","0","0","0","0","0","0","0","0","0","35"
"Office of Science and Technology Policy","Agency Overall","2017","70","9","6","3","0","0","1","2","0","1","0","0","0","92"
"Office of Government Ethics","Agency Overall","2017","235","61","10","2","0","4","1","0","0","0","0","0","0","313"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","104","0","0","0","0","0","0","0","0","0","0","0","0","104"
"National Transportation Safety Board","Agency Overall","2017","53","26","14","7","8","9","2","2","6","1","2","8","62","200"
"Peace Corps","Agency Overall","2017","25","12","16","10","2","2","6","8","2","4","22","8","1","118"
"Federal Labor Relations Authority","Agency Overall","2017","87","1","0","0","0","0","0","0","0","0","0","0","0","88"
"All agencies","Agency Overall","2017","312587","76057","38920","25148","11162","8056","4356","3369","3004","2542","6100","1041","2502","494844"
