"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Department of the Treasury","Agency Overall","2017","7","0","0","0","0","0","1","1","0","2","12"
"Consumer Financial Protection Bureau","Agency Overall","2017","5","0","1","0","0","1","0","0","0","1","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","1","1"
"Office of Management and Budget","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2017","35","0","73","5","1","47","1","7","4","0","12"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","7","0","4","0","0","4","0","0","0","0","0"
"National Mediation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","1","0","0","0","1","1","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2017","14","1","2","1","0","3","0","2","5","1","4"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","1"
"Federal Trade Commission","Agency Overall","2017","4","0","1","7","0","1","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2017","3","0","0","0","0","5","2","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2017","10","0","0","0","1","3","0","3","0","0","6"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2017","1","0","0","0","0","0","1","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2017","1","1","1","1","0","0","0","1","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2017","6","1","24","2","6","44","1","30","0","0","25"
"Department of Transportation","Agency Overall","2017","10","0","19","0","0","4","0","1","0","2","0"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","0","0","11","1","0","3","0","0","0","4","0"
"Tennessee Valley Authority","Agency Overall","2017","1","0","0","0","1","2","0","0","0","2","0"
"U.S. Agency for Global Media","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2017","5","1","24","16","10","6","0","14","4","4","30"
"Nuclear Regulatory Commission","Agency Overall","2017","3","0","0","5","3","13","1","13","0","0","1"
"Administrative Conference of the United States","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2017","2","0","1","1","0","0","0","6","12","2","28"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","3","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2017","1","0","0","0","0","1","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2017","0","0","0","0","0","1","0","0","0","0","1"
"National Labor Relations Board","Agency Overall","2017","0","0","2","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2017","7","41","121","0","6","9","1","15","3","5","1"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","4","2","7","1","0","3","0","2","0","2","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","1","0","0","1","0","1","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2017","1","1","0","0","1","0","1","1","0","1","2"
"Department of Defense","Agency Overall","2017","97","2","116","15","3","71","12","36","26","14","172"
"Federal Energy Regulatory Commission","Agency Overall","2017","0","0","1","0","0","0","0","0","0","0","1"
"Department of Agriculture","Agency Overall","2017","21","1","24","0","2","4","0","7","2","1","81"
"Social Security Administration","Agency Overall","2017","28","4","4","3","16","1","1","19","44","0","0"
"Federal Reserve System","Agency Overall","2017","5","0","0","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","1"
"Department of Veterans Affairs","Agency Overall","2017","49","23","11","16","4","18","1","2","14","142","0"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","0","0","0","0","0","0","0","0","36","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","0","1","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2017","7","3","7","10","0","3","1","4","0","7","0"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2017","580","33","3","55","81","119","38","138","58","70","1103"
"National Indian Gaming Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2017","3","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","329","76","30","7","21","495","28","56","8","3","79"
"Federal Housing Finance Agency","Agency Overall","2017","0","0","0","0","0","2","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2017","0","0","0","0","0","0","0","3","0","0","0"
"Denali Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2017","0","0","5","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2017","4","1","8","7","0","6","0","0","0","4","4"
"Farm Credit Administration","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","0","0","5","0","0","4","0","2","0","0","0"
"Peace Corps","Agency Overall","2017","1","0","0","0","0","3","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2017","1314","197","525","154","159","885","91","367","340","270","1584"
