"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"National Aeronautics and Space Administration","Agency Overall","2017","41 U.S.C. § 2102","Legal & Safety Employer Research, Inc. V U.S. Dept of the Army, No, Civ. S001748, 2001 UL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)","Contractor bid or proposal information; source selection information","3"
"Legal Services Corporation","Agency Overall","2017","N/A","N/A","N/A","0"
"Selective Service System","Agency Overall","2017","N/A","N/A","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","N/A","N/A","N/A","0"
"National Capital Planning Commission","Agency Overall","2017","N/A","N/A","N/A","0"
"General Services Administration","Agency Overall","2017","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb.22, 2012): Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. New Mar 31, 2011).","Certain contractor proposals","1"
"General Services Administration","Agency Overall","2017","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information.","4"
"General Services Administration","Agency Overall","2017","31 U.S.C. § 3730","N/A","Records pertaining to civil actions for false claims against the United States Government.","5"
"General Services Administration","Agency Overall","2017","39 U.S.C. § 410(c)(2) (Postal Reorganization Act)","Wickwire Gavin, P.C. v. USPS, 356 F.3d, 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CLO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010) etc.","Commercial information which would not be disclosed under good business practice.","1"
"General Services Administration","Agency Overall","2017","41 U.S.C. § 2102 (amending 41 U.S.C. § 423 (a)(1))*(Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information.","12"
"General Services Administration","Agency Overall","2017","41 U.S.C. § 253b(m)(l) (currently at 41 U.S.C. § 4702)","Margolin v. NASA, No. 09CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contacts.","11"
"Inter-American Foundation","Agency Overall","2017","N/A","N/A","N/A","0"
"National Science Foundation","Agency Overall","2017","35 U.S.C. § 122 (Patent Act)","Irons & Sears v. Dann, 606 F.2d 1215, 1219-21 (D.C. Cir. 1979).","Applications for patents; certain information pertaining to applications for patents","1"
"National Science Foundation","Agency Overall","2017","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","N/A","N/A","N/A","0"
"Department of Education","Agency Overall","2017","41 U.S.C. § 253b(m)","Sinkfield v. HUD, NO. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the posession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","5"
"Department of Education","Agency Overall","2017","5 U.S.C. app. § 107(a) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgement granted, 699 F. Supp. 2d 106 (D.D.C. 2010); Glascoe v. DOJ, No. 04-0486, 2005 WL 1139269, at *1 (D.D.C. May 15, 2005).","Financial disclosure information pertaining to certain government employees","1"
"Department of Education","Agency Overall","2017","44 U.S.C. § 3501 Note","N/A","Data or information acquired under a pledge of confidentiality for exclusively statistical purposes","2"
"Department of Education","Agency Overall","2017","31 U.S.C. § 3730","N/A","Records pertaining to civil actions for false claims against the United States Government","1"
"Department of Education","Agency Overall","2017","20 U.S.C. § 1232g","N/A","Identities of students and parents identified in data collected by representatives of the Comptroller General, the Secretary of Education, or State educational authorities in connection with the audit, evaluation, or enforcement of a Federally-supported education program.","1"
"Department of Education","Agency Overall","2017","41 U.S.C. § 2102 (amending 41 U.S.C § 423(a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection","4"
"Department of Education","Agency Overall","2017","49 U.S.C. § 114","Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006, aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title","1"
"Department of Education","Agency Overall","2017","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 347-48 (D.D.C. 2008)","Confidential dispute resolution communications","3"
"Department of Education","Agency Overall","2017","20 U.S.C. § 1099c-1 (Higher Education Act)","Bagwell v. U.S. Dep't of Educ., 183 F. Supp. 3d 109, 126-27 (D.D.C. 2016).","Certain program review reports and institutional responses until the Department of Education issues a final program review determination.","5"
"Department of Education","Agency Overall","2017","5 U.S.C. § 574(j)","N/A","Dispute resolution communication between a neutral and a third party.","2"
"Department of Education","Agency Overall","2017","20 U.S.C. § 9573","N/A","Certain individually identifiable information that has been collected or retained under the Education Sciences Reform Act (ESRA).","1"
"Millennium Challenge Corporation","Agency Overall","2017","15 U.S.C. § 3710a(c)","N/A","""[T]rade secrets or commercial or financial information that is privileged or confidential, under the meaning of section 552(b)(4) of Title 5, which is obtained in the conduct of research or as a result of activities under this chapter,"" which pertains to cooperative research and development agreements for the purpose of technological and industrial innovation.","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","N/A","N/A","N/A","0"
"U.S. Department of State","Agency Overall","2017","8 U.S.C. § 1202(f) (Immigration and Nationality Act)","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep't of State, No. 12-1111, 2014 WL 4704840, at *6 (S.D.N.Y. Sept. 19, 2014); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995); JanXin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States","5677"
"U.S. Department of State","Agency Overall","2017","10 U.S.C. § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National GeospatialIntelligence Agency","2"
"U.S. Department of State","Agency Overall","2017","22 U.S.C. §§ 1461, 1461-1a (Foreign Affairs Reform and Restructuring Act)","Essential Info., Inc. v. USIA, 134 F.3d 1165, 1168 (D.C. Cir. 1998).","Certain program information prepared by the United States Information Agency","3"
"U.S. Department of State","Agency Overall","2017","22 U.S.C. § 2778(e) (Arms Export Control Act)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","1"
"U.S. Department of State","Agency Overall","2017","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"U.S. Department of State","Agency Overall","2017","50 U.S.C. § 402 note (National Security Agency Act of 1959)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009); Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","3"
"U.S. Department of State","Agency Overall","2017","50 U.S.C. § 403g (currently at 50 U.S.C. § 3507) (Central Intelligence Agency Act of 1949)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","20"
"Department of the Treasury","Agency Overall","2017","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002)  (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","2322"
"Department of the Treasury","Agency Overall","2017","31 U.S.C. § 5319 (Bank Secrecy Act)","Ortiz v. DOJ, No. 12-1674, 2014 WL 4449686, at *4 (D.D.C. Sept. 9, 2014); Rosenberg v. ICE, 13 F. Supp. 3d 92, 114-15 (D.D.C. 2014); Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Council on Am.-Islamic Relations, Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","1345"
"Department of the Treasury","Agency Overall","2017","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","24"
"Department of the Treasury","Agency Overall","2017","21 U.S.C. § 1904(e)(3)","N/A","Information related to foreign narcotics traffickers","34"
"Department of the Treasury","Agency Overall","2017","10 U.S.C. § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","5"
"Department of the Treasury","Agency Overall","2017","50 U.S.C. § 4565(c)","N/A","Information or documentary material filed with the Committee on Foreign Investment in the United States","8"
"Department of the Treasury","Agency Overall","2017","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","6"
"Department of the Treasury","Agency Overall","2017","15 U.S.C. § 6801 (Gramm-Leach-Bliley Act)","Hodes v. HUD, 532 F. Supp. 2d 108, 117 (D.D.C. 2008).","Nonpublic personal information of customers of financial institutions","3"
"Department of the Treasury","Agency Overall","2017","18 U.S.C. § 701","Jones v. IRS, No. 06-CV-322, 2008 WL 1901208, at *3-4 (W.D. Mich. Apr. 25, 2008).","Likeness of any badge, identification card, or other insignia, of the design prescribed by the head of any department or agency of the United States for use by any officer or employee thereof, or any colorable imitation therof","1"
"Consumer Financial Protection Bureau","Agency Overall","2017","41 U.S.C. § 253b(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 10 U.S.C 2305 (g)","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","39 USC § 410(C)(2)","Wickwire Gavin, P.C. v. USPS, 356 F.3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-294, 2006 WL 1876682, at *5-9 (S.D. Ill. July 5, 2006); Robinett v. USPS, No. 02-1094, 2002 WL 1728582, at *5 (E.D. La. July 24, 2002).","Commercial information which would not be disclosed under good business practice","1"
"Office of Management and Budget","Agency Overall","2017","0","N/A","0","0"
"Department of Labor","Agency Overall","2017","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","3"
"Department of Labor","Agency Overall","2017","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","4"
"Department of Labor","Agency Overall","2017","44 U.S.C. § 3501 note","N/A","Data or information acquired under a pledge of confidentiality for exclusively statistical purposes","4"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","29 U.S.C. § 1343 (f)","N/A","Any information or documentary material submitted to the [agency] pursuant to . . . section [1343 of title 29 of the United States Code]","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","9"
"National Mediation Board","Agency Overall","2017","0","N/A","0","0"
"Federal Open Market Committee","Agency Overall","2017","N/A","N/A","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","31 U.S.C. § 5319","Ortiz v. DOJ, No. 12-1674, 2014 WL 4449686, at *4 (D.D.C. Sept. 9, 2014); Rosenberg v. ICE, 13 F. Supp. 3d 92, 114-15 (D.D.C. 2014); Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Council on Am.-Islamic Relations, Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","2"
"Federal Deposit Insurance Corporation","Agency Overall","2017","15 U.S.C. § 6801","Hodes v. HUD, 532 F. Supp. 2d 108, 117 (D.D.C. 2008).","Nonpublic personal information of customers of financial institutions","1"
"Federal Deposit Insurance Corporation","Agency Overall","2017","41 U.S.C. § 253b(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar, 31, 2011); Hornbostel v. U.S. Dept. of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Federal Deposit Insurance Corporation","Agency Overall","2017","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F. 3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dept. of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","1"
"National Archives and Records Administration","Agency Overall","2017","5 U.S.C. § 571(j)","N/A","Dispute resolution communications","1"
"National Archives and Records Administration","Agency Overall","2017","10 U.S.C. § 130","Newport Aeronautical Sales v Dep't of the Air Force, 684 F.3d 160, 165 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14,1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain ""technical data with military or space application in the possession of, or under the control of, the Department fo Defense""","2"
"National Archives and Records Administration","Agency Overall","2017","10 U.S.C. § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence  Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","11"
"National Archives and Records Administration","Agency Overall","2017","18 U.S.C. §§ 2510-20 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","2"
"National Archives and Records Administration","Agency Overall","2017","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Leonard v. U.S. Dep't of Treasury, No. 10-6625, 2013 WL 4517912, at *2 (D.N.J. Aug. 26, 2013) (26 U.S.C. § 6103); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","3"
"National Archives and Records Administration","Agency Overall","2017","42 U.S.C. § 2162 (Atomic Energy Act)","Meeropol v. Smith, No. 75- 1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom., Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","""Restricted Data"" pertaining to atomic weapons and special nuclear material","5"
"National Archives and Records Administration","Agency Overall","2017","42 U.S.C. § 2168(a)(1)(C)","N/A","Restricted and formerly restricted data concerning atomic energy","21"
"National Archives and Records Administration","Agency Overall","2017","50 U.S.C. § 402 note (National Security Agency Act of 1959)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009);  Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","6"
"National Archives and Records Administration","Agency Overall","2017","50 U.S.C. § 403-1(i)(1) (currently at 50 U.S.C. § 3024(i)(1)) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007).","Intelligence sources and methods","126"
