"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","1","1","0"
"Commodity Futures Trading Commission","Agency Overall","2017","17","186","176","27"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","6","6","0"
"Overseas Private Investment Corporation","Agency Overall","2017","9","56","59","6"
"United States International Trade Commission","Agency Overall","2017","0","49","46","3"
"National Endowment for the Humanities","Agency Overall","2017","5","58","57","6"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","7","7","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","20","58","46","32"
"Merit Systems Protection Board","Agency Overall","2017","92","176","190","78"
"Department of Defense","Agency Overall","2017","13467","55198","53760","14905"
"Federal Energy Regulatory Commission","Agency Overall","2017","22","115","107","30"
"Department of Agriculture","Agency Overall","2017","4100","25461","24006","5555"
"Social Security Administration","Agency Overall","2017","787","21560","21619","728"
"Federal Reserve System","Agency Overall","2017","69","656","676","49"
"Commission of Fine Arts","Agency Overall","2017","0","6","6","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","40","143","132","51"
"Council on Environmental Quality","Agency Overall","2017","69","189","216","42"
"American Battle Monuments Commission","Agency Overall","2017","0","36","34","2"
"Surface Transportation Board","Agency Overall","2017","1","51","52","0"
"Department of Veterans Affairs","Agency Overall","2017","5123","24176","25237","4062"
"Federal Financial Institutions Examination Council","Agency Overall","2017","1","35","36","0"
"Office of the Director of National Intelligence","Agency Overall","2017","322","456","376","402"
"Court Services and Offender Supervision Agency","Agency Overall","2017","41","510","455","96"
"Occupational Safety and Health Review Commission","Agency Overall","2017","2","63","64","1"
"United States Access Board","Agency Overall","2017","0","18","18","0"
"Federal Election Commission","Agency Overall","2017","56","150","134","72"
"U.S. Railroad Retirement Board","Agency Overall","2017","11","99","102","8"
"Department of Commerce","Agency Overall","2017","470","2209","2106","573"
"United States International Boundary and Water Commission","Agency Overall","2017","3","53","52","4"
"Department of Justice","Agency Overall","2017","16232","82088","79390","18930"
"National Indian Gaming Commission","Agency Overall","2017","44","51","75","20"
"Office of the United States Trade Representative","Agency Overall","2017","32","140","156","16"
"National Council on Disability","Agency Overall","2017","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","8","8","0"
"Department of Homeland Security","Agency Overall","2017","64328","366036","367545","62819"
"Federal Housing Finance Agency","Agency Overall","2017","19","172","157","34"
"Consumer Product Safety Commission","Agency Overall","2017","213","664","617","260"
"Denali Commission","Agency Overall","2017","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","3","35","33","5"
"National Railroad Passenger Corporation","Agency Overall","2017","120","224","203","141"
"Social Security Advisory Board","Agency Overall","2017","0","1","1","0"
"Marine Mammal Commission","Agency Overall","2017","0","10","8","2"
"Department of Energy","Agency Overall","2017","396","2215","2127","484"
"Farm Credit Administration","Agency Overall","2017","1","26","27","0"
"Postal Regulatory Commission","Agency Overall","2017","0","38","37","1"
"Office of Science and Technology Policy","Agency Overall","2017","17","132","109","40"
"Office of Government Ethics","Agency Overall","2017","1","471","329","143"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","104","104","0"
"National Transportation Safety Board","Agency Overall","2017","862","437","370","929"
"Peace Corps","Agency Overall","2017","87","152","197","42"
"Federal Labor Relations Authority","Agency Overall","2017","0","102","97","5"
"All agencies","Agency Overall","2017","163586","818272","823223","158635"
