"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Armed Forces Retirement Home","Agency Overall","2017","4","0","0","3","0","0","0","0","0","0","0","0","7"
"Appraisal Subcommittee","Agency Overall","2017","4","1","0","0","0","0","0","0","0","0","0","0","5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","5","7","5","10","0","0","0","0","0","0","0","0","27"
"Office of Special Counsel","Agency Overall","2017","22","54","11","23","2","15","0","1","23","5","0","0","156"
"United States Copyright Office","Agency Overall","2017","8","3","1","6","11","1","0","0","2","3","0","0","35"
"National Labor Relations Board","Agency Overall","2017","347","1331","64","73","1","164","31","27","13","0","54","0","2105"
"Department of Health and Human Services","Agency Overall","2017","13872","4364","6431","3495","615","2582","241","217","1130","869","671","60","34547"
"United States Institute of Peace","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Housing and Urban Development","Agency Overall","2017","447","383","71","321","265","211","29","23","41","16","81","2","1890"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Commodity Futures Trading Commission","Agency Overall","2017","27","46","11","72","0","11","2","0","0","0","0","7","176"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","4","0","0","2","0","0","0","0","0","0","0","0","6"
"Overseas Private Investment Corporation","Agency Overall","2017","11","28","1","14","0","5","0","0","0","0","0","0","59"
"United States International Trade Commission","Agency Overall","2017","11","7","4","21","0","3","0","0","0","0","0","0","46"
"National Endowment for the Humanities","Agency Overall","2017","19","22","0","13","0","0","0","0","0","1","2","0","57"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","7","0","0","0","0","0","0","0","0","0","0","0","7"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","6","11","13","14","0","2","0","0","0","0","0","0","46"
"Merit Systems Protection Board","Agency Overall","2017","53","69","2","32","1","7","0","10","8","1","6","1","190"
"Department of Defense","Agency Overall","2017","19613","15307","2617","6410","2052","2013","380","494","1044","1368","1637","825","53760"
"Federal Energy Regulatory Commission","Agency Overall","2017","15","44","25","16","5","2","0","0","0","0","0","0","107"
"Department of Agriculture","Agency Overall","2017","19049","2446","399","836","291","367","49","29","98","63","151","228","24006"
"Social Security Administration","Agency Overall","2017","13111","3381","1884","493","132","42","269","540","295","68","308","1096","21619"
"Federal Reserve System","Agency Overall","2017","384","62","29","62","1","28","1","34","39","4","3","29","676"
"Commission of Fine Arts","Agency Overall","2017","5","1","0","0","0","0","0","0","0","0","0","0","6"
"Export-Import Bank of the U.S.","Agency Overall","2017","39","42","12","24","1","4","1","7","2","0","0","0","132"
"Council on Environmental Quality","Agency Overall","2017","38","11","2","69","2","46","0","4","28","6","6","4","216"
"American Battle Monuments Commission","Agency Overall","2017","3","8","2","16","1","0","0","3","0","1","0","0","34"
"Surface Transportation Board","Agency Overall","2017","17","2","3","12","0","5","9","3","1","0","0","0","52"
"Department of Veterans Affairs","Agency Overall","2017","5547","10756","5808","1525","687","210","82","72","323","63","164","0","25237"
"Federal Financial Institutions Examination Council","Agency Overall","2017","3","3","6","11","0","0","0","0","5","8","0","0","36"
"Office of the Director of National Intelligence","Agency Overall","2017","56","141","34","61","22","25","0","0","5","17","0","15","376"
"Court Services and Offender Supervision Agency","Agency Overall","2017","36","288","0","9","0","120","0","0","2","0","0","0","455"
"Occupational Safety and Health Review Commission","Agency Overall","2017","27","12","0","12","0","13","0","0","0","0","0","0","64"
"United States Access Board","Agency Overall","2017","7","0","0","5","0","0","0","0","6","0","0","0","18"
"Federal Election Commission","Agency Overall","2017","39","38","7","45","2","2","0","0","0","0","0","1","134"
"U.S. Railroad Retirement Board","Agency Overall","2017","81","2","1","7","2","0","1","0","2","3","2","1","102"
"Department of Commerce","Agency Overall","2017","500","398","80","328","13","208","141","35","68","82","146","107","2106"
"United States International Boundary and Water Commission","Agency Overall","2017","20","19","1","4","2","4","1","0","1","0","0","0","52"
"Department of Justice","Agency Overall","2017","34977","10065","3149","15693","356","1428","525","575","10191","260","1054","1117","79390"
"National Indian Gaming Commission","Agency Overall","2017","15","36","2","11","1","10","0","0","0","0","0","0","75"
"Office of the United States Trade Representative","Agency Overall","2017","31","47","2","47","1","1","0","21","0","0","0","6","156"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","2","1","0","1","0","1","0","0","3","0","0","0","8"
"Department of Homeland Security","Agency Overall","2017","28966","209057","5107","69869","913","1486","38","2169","21040","4893","23503","504","367545"
"Federal Housing Finance Agency","Agency Overall","2017","15","53","10","49","2","20","3","0","0","5","0","0","157"
"Consumer Product Safety Commission","Agency Overall","2017","193","281","22","71","4","26","4","0","4","0","12","0","617"
"Denali Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","11","5","3","10","0","4","0","0","0","0","0","0","33"
"National Railroad Passenger Corporation","Agency Overall","2017","46","39","13","25","0","52","14","0","7","2","5","0","203"
"Social Security Advisory Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Marine Mammal Commission","Agency Overall","2017","5","0","0","3","0","0","0","0","0","0","0","0","8"
"Department of Energy","Agency Overall","2017","572","442","12","421","228","314","27","14","17","57","23","0","2127"
"Farm Credit Administration","Agency Overall","2017","10","5","4","6","0","2","0","0","0","0","0","0","27"
"Postal Regulatory Commission","Agency Overall","2017","11","3","0","0","15","8","0","0","0","0","0","0","37"
"Office of Science and Technology Policy","Agency Overall","2017","16","21","0","63","0","1","0","0","0","0","0","8","109"
"Office of Government Ethics","Agency Overall","2017","48","184","16","63","1","12","0","3","0","1","1","0","329"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","73","31","0","0","0","0","0","0","0","0","0","0","104"
"National Transportation Safety Board","Agency Overall","2017","30","29","92","41","0","110","0","0","19","23","26","0","370"
"Peace Corps","Agency Overall","2017","101","56","14","20","3","2","0","0","0","0","1","0","197"
"Federal Labor Relations Authority","Agency Overall","2017","28","15","0","47","0","3","0","1","0","1","2","0","97"
"All agencies","Agency Overall","2017","180106","302658","38749","180924","7647","15938","2860","8458","40059","9865","30644","5315","823223"
