"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2017","0","0","1","0","4","5","2","0","1","0","2","0","0","0"
"Office of Personnel Management","Agency Overall","2017","0","0","0","3","1","2","0","1","1","1","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2017","0","0","14","2","10","2","0","0","10","0","2","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","0","0","2","3","3","3","0","0","1","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2017","0","0","0","1","1","0","0","0","0","0","0","0","2","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2017","0","0","1","4","3","3","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2017","0","0","35","0","39","11","43","46","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2017","0","1","0","5","16","29","5","0","10","1","3","2","0","0"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","0","0","0","1","3","3","0","0","2","0","2","0","0","0"
"Tennessee Valley Authority","Agency Overall","2017","0","0","0","2","3","1","0","0","1","1","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2017","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2017","0","0","0","0","10","9","1","0","5","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2017","2","3","4","4","17","22","4","0","15","0","9","7","0","0"
"Administrative Conference of the United States","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2017","0","0","0","2","4","2","0","0","3","0","1","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","3","1","0","0","3","1","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2017","0","0","0","0","3","2","0","0","6","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2017","0","0","0","0","2","5","1","0","5","2","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2017","0","0","1","5","11","13","0","0","7","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","0","0","1","1","4","2","1","0","2","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","0","0","1","2","2","1","1","0","0","1","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2017","0","0","0","0","4","7","1","0","1","1","4","0","0","0"
"Department of Defense","Agency Overall","2017","310","8","241","8","57","130","12","2","63","7","14","5","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2017","0","0","0","4","2","2","0","0","0","0","0","1","0","0"
"Department of Agriculture","Agency Overall","2017","0","0","21","13","50","94","2","0","50","10","28","1","0","1"
"Social Security Administration","Agency Overall","2017","0","0","0","0","0","36","0","0","0","0","1","0","0","0"
"Federal Reserve System","Agency Overall","2017","0","0","0","4","3","2","0","0","0","0","0","0","7","0"
"Commission of Fine Arts","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2017","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2017","0","0","11","3","41","126","2","0","25","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2017","0","0","1","0","3","3","1","0","2","0","1","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2017","0","0","3","1","12","4","1","0","3","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2017","44","1","117","4","116","577","139","0","649","152","483","153","0","0"
"National Indian Gaming Commission","Agency Overall","2017","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","0","28","288","10","377","1835","15","176","2063","2","1900","4","0","0"
"Federal Housing Finance Agency","Agency Overall","2017","0","0","0","1","0","0","1","0","2","0","2","0","1","0"
"Consumer Product Safety Commission","Agency Overall","2017","0","0","8","5","7","2","0","0","0","0","1","0","0","0"
"Denali Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2017","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2017","1","0","0","2","1","4","0","0","2","0","1","0","0","0"
"Farm Credit Administration","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2017","0","0","2","1","11","10","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","0","0","0","1","9","1","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2017","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2017","497","52","1072","129","1006","3120","648","225","3038","195","2495","177","20","1"
