"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"National Indian Gaming Commission","Agency Overall","2017","0","5","7","10.4","3"
"Office of the United States Trade Representative","Agency Overall","2017","10","10","7","6","19"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","582","3356","1","13.05","2953"
"Federal Housing Finance Agency","Agency Overall","2017","3","6","1","1.22","9"
"Consumer Product Safety Commission","Agency Overall","2017","0","0","0","0","0"
"Denali Commission","Agency Overall","2017","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","1","2","2","3","3"
"National Railroad Passenger Corporation","Agency Overall","2017","4","1","2","2.4","5"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0","0"
"Department of Energy","Agency Overall","2017","0","69","2","7.47","62"
"Farm Credit Administration","Agency Overall","2017","1","0","3","3","1"
"Postal Regulatory Commission","Agency Overall","2017","1","0","8","8","1"
"Office of Science and Technology Policy","Agency Overall","2017","3","1","5","6.25","3"
"Office of Government Ethics","Agency Overall","2017","18","3","11","10.9","10"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","1","2","2","21.33","2"
"Peace Corps","Agency Overall","2017","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2017","6","13","4.5","5.95","20"
"All agencies","Agency Overall","2017","2612","11268","N/A","N/A","11515"
