"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","36","42","38","34"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","3","3","3","3"
"Small Business Administration","Agency Overall","2017","1116","1430","1075","1500"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","1","5","1","4"
"Equal Employment Opportunity Commission","Agency Overall","2017","17680","19002","17068","17560"
"Department of Transportation","Agency Overall","2017","13800","15164","11929","14539"
"United States Trade and Development Agency","Agency Overall","2017","24","30","30","20"
"Federal Communications Commission","Agency Overall","2017","836","902","893","867"
"Tennessee Valley Authority","Agency Overall","2017","212","199","213","201"
"U.S. Agency for Global Media","Agency Overall","2017","54","62","48","72"
"Environmental Protection Agency","Agency Overall","2017","10403","11518","10498","10802"
"Nuclear Regulatory Commission","Agency Overall","2017","785","701","753","687"
"Administrative Conference of the United States","Agency Overall","2017","25","16","25","16"
"Department of the Interior","Agency Overall","2017","6448","8005","6461","6733"
"U.S. Election Assistance Commission","Agency Overall","2017","18","34","15","22"
"Armed Forces Retirement Home","Agency Overall","2017","15","7","15","7"
"Appraisal Subcommittee","Agency Overall","2017","0","5","0","5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","8","35","9","27"
"Office of Special Counsel","Agency Overall","2017","144","179","183","156"
"United States Copyright Office","Agency Overall","2017","23","43","27","35"
"National Labor Relations Board","Agency Overall","2017","2679","2218","2819","2105"
"Department of Health and Human Services","Agency Overall","2017","34225","34978","36188","34547"
"United States Institute of Peace","Agency Overall","2017","0","1","0","1"
"Department of Housing and Urban Development","Agency Overall","2017","2340","2296","2278","1890"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","1","0","1"
"Commodity Futures Trading Commission","Agency Overall","2017","126","186","168","176"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","6","0","6"
"Overseas Private Investment Corporation","Agency Overall","2017","52","56","52","59"
"United States International Trade Commission","Agency Overall","2017","27","49","29","46"
"National Endowment for the Humanities","Agency Overall","2017","47","58","46","57"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","7","0","7"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","45","58","48","46"
"Merit Systems Protection Board","Agency Overall","2017","206","176","168","190"
"Department of Defense","Agency Overall","2017","53491","55198","52355","53760"
"Federal Energy Regulatory Commission","Agency Overall","2017","93","115","92","107"
"Department of Agriculture","Agency Overall","2017","23870","25461","23134","24006"
"Social Security Administration","Agency Overall","2017","29631","21560","31634","21619"
"Federal Reserve System","Agency Overall","2017","728","656","701","676"
"Commission of Fine Arts","Agency Overall","2017","6","6","6","6"
"Export-Import Bank of the U.S.","Agency Overall","2017","124","143","121","132"
"Council on Environmental Quality","Agency Overall","2017","104","189","82","216"
"American Battle Monuments Commission","Agency Overall","2017","17","36","17","34"
"Surface Transportation Board","Agency Overall","2017","35","51","34","52"
"Department of Veterans Affairs","Agency Overall","2017","33475","24176","35232","25237"
"Federal Financial Institutions Examination Council","Agency Overall","2017","33","35","32","36"
"Office of the Director of National Intelligence","Agency Overall","2017","382","456","363","376"
"Court Services and Offender Supervision Agency","Agency Overall","2017","627","510","651","455"
"Occupational Safety and Health Review Commission","Agency Overall","2017","69","63","67","64"
"United States Access Board","Agency Overall","2017","13","18","13","18"
"Federal Election Commission","Agency Overall","2017","129","150","116","134"
"U.S. Railroad Retirement Board","Agency Overall","2017","98","99","97","102"
"Department of Commerce","Agency Overall","2017","2026","2209","2148","2106"
"United States International Boundary and Water Commission","Agency Overall","2017","34","53","32","52"
"Department of Justice","Agency Overall","2017","73106","82088","71857","79390"
"National Indian Gaming Commission","Agency Overall","2017","50","51","26","75"
"Office of the United States Trade Representative","Agency Overall","2017","118","140","118","156"
"National Council on Disability","Agency Overall","2017","1","0","1","0"
"Presidio Trust","Agency Overall","2017","12","8","12","8"
"Department of Homeland Security","Agency Overall","2017","325780","366036","310487","367545"
"Federal Housing Finance Agency","Agency Overall","2017","179","172","182","157"
"Consumer Product Safety Commission","Agency Overall","2017","702","664","697","617"
"Denali Commission","Agency Overall","2017","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","27","35","36","33"
"National Railroad Passenger Corporation","Agency Overall","2017","234","224","216","203"
"Social Security Advisory Board","Agency Overall","2017","0","1","0","1"
"Marine Mammal Commission","Agency Overall","2017","0","10","0","8"
"Department of Energy","Agency Overall","2017","1974","2215","2008","2127"
"Farm Credit Administration","Agency Overall","2017","21","26","21","27"
"Postal Regulatory Commission","Agency Overall","2017","31","38","31","37"
"Office of Science and Technology Policy","Agency Overall","2017","71","132","64","109"
"Office of Government Ethics","Agency Overall","2017","84","471","87","329"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","69","104","69","104"
"National Transportation Safety Board","Agency Overall","2017","471","437","299","370"
"Peace Corps","Agency Overall","2017","181","152","257","197"
"Federal Labor Relations Authority","Agency Overall","2017","78","102","80","97"
"All agencies","Agency Overall","2017","788014","818272","761923","823223"
