"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Consumer Product Safety Commission","Agency Overall","2017","13","15","13","12"
"Denali Commission","Agency Overall","2017","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2017","4","5","1","10"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0"
"Department of Energy","Agency Overall","2017","71","42","70","42"
"Farm Credit Administration","Agency Overall","2017","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2017","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2017","3","2","3","2"
"Office of Government Ethics","Agency Overall","2017","4","16","4","16"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","7","26","5","25"
"Peace Corps","Agency Overall","2017","11","4","11","4"
"Federal Labor Relations Authority","Agency Overall","2017","2","2","2","2"
"All agencies","Agency Overall","2017","15079","14549","14843","14714"
