"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Commodity Futures Trading Commission","Agency Overall","2017","16","15"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","8","4"
"United States International Trade Commission","Agency Overall","2017","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","20","24"
"Merit Systems Protection Board","Agency Overall","2017","69","70"
"Department of Defense","Agency Overall","2017","9146","10383"
"Federal Energy Regulatory Commission","Agency Overall","2017","9","17"
"Department of Agriculture","Agency Overall","2017","1493","2371"
"Social Security Administration","Agency Overall","2017","119","169"
"Federal Reserve System","Agency Overall","2017","42","34"
"Commission of Fine Arts","Agency Overall","2017","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","33","43"
"Council on Environmental Quality","Agency Overall","2017","67","39"
"American Battle Monuments Commission","Agency Overall","2017","0","2"
"Surface Transportation Board","Agency Overall","2017","0","0"
"Department of Veterans Affairs","Agency Overall","2017","3755","2916"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","289","359"
"Court Services and Offender Supervision Agency","Agency Overall","2017","1","52"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0"
"United States Access Board","Agency Overall","2017","0","0"
"Federal Election Commission","Agency Overall","2017","46","60"
"U.S. Railroad Retirement Board","Agency Overall","2017","11","8"
"Department of Commerce","Agency Overall","2017","274","304"
"United States International Boundary and Water Commission","Agency Overall","2017","0","3"
"Department of Justice","Agency Overall","2017","10644","12863"
"National Indian Gaming Commission","Agency Overall","2017","39","15"
"Office of the United States Trade Representative","Agency Overall","2017","23","5"
"National Council on Disability","Agency Overall","2017","0","0"
"Presidio Trust","Agency Overall","2017","0","0"
"Department of Homeland Security","Agency Overall","2017","46788","44117"
"Federal Housing Finance Agency","Agency Overall","2017","12","16"
"Consumer Product Safety Commission","Agency Overall","2017","171","185"
"Denali Commission","Agency Overall","2017","0","0"
"Federal Maritime Commission","Agency Overall","2017","2","2"
"National Railroad Passenger Corporation","Agency Overall","2017","76","68"
"Social Security Advisory Board","Agency Overall","2017","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","1"
"Department of Energy","Agency Overall","2017","230","287"
"Farm Credit Administration","Agency Overall","2017","0","0"
"Postal Regulatory Commission","Agency Overall","2017","0","1"
"Office of Science and Technology Policy","Agency Overall","2017","17","22"
"Office of Government Ethics","Agency Overall","2017","0","128"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0"
"National Transportation Safety Board","Agency Overall","2017","610","819"
"Peace Corps","Agency Overall","2017","87","42"
"Federal Labor Relations Authority","Agency Overall","2017","0","0"
"All agencies","Agency Overall","2017","115462","111344"
