"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Office of Special Counsel","Agency Overall","2017","2","0","24.5","24.5"
"United States Copyright Office","Agency Overall","2017","2","1","N/A","N/A"
"National Labor Relations Board","Agency Overall","2017","10","23","9","11.85"
"Department of Health and Human Services","Agency Overall","2017","75","215","2","12.11"
"United States Institute of Peace","Agency Overall","2017","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2017","39","78","1.5","5.15"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2017","4","10","2","4.86"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2017","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2017","0","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2017","0","1","20","20"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","1","0","5","5"
"Merit Systems Protection Board","Agency Overall","2017","4","0","55.5","50"
"Department of Defense","Agency Overall","2017","1912","779","2.5","8.41"
"Federal Energy Regulatory Commission","Agency Overall","2017","0","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2017","1312","114","1","8.28"
"Social Security Administration","Agency Overall","2017","11","75","9","11.71"
"Federal Reserve System","Agency Overall","2017","0","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2017","5","0","1","1"
"Export-Import Bank of the U.S.","Agency Overall","2017","25","12","1","1"
"Council on Environmental Quality","Agency Overall","2017","16","2","3","5"
"American Battle Monuments Commission","Agency Overall","2017","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2017","1","1","8.5","8.5"
"Department of Veterans Affairs","Agency Overall","2017","298","67","1","6"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2017","0","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2017","1","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","N/A","N/A"
"United States Access Board","Agency Overall","2017","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2017","2","0","46.5","46.5"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","N/A","N/A"
"Department of Commerce","Agency Overall","2017","206","137","9","24.64"
"United States International Boundary and Water Commission","Agency Overall","2017","7","0","1","1"
"Department of Justice","Agency Overall","2017","157","1328","2","6.71"
"National Indian Gaming Commission","Agency Overall","2017","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2017","0","0","N/A","N/A"
"National Council on Disability","Agency Overall","2017","0","0","N/A","N/A"
"Presidio Trust","Agency Overall","2017","0","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2017","1258","578","1","20.28"
"Federal Housing Finance Agency","Agency Overall","2017","7","8","1","0.47"
"Consumer Product Safety Commission","Agency Overall","2017","0","0","N/A","N/A"
"Denali Commission","Agency Overall","2017","0","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2017","0","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2017","4","0","1.5","2"
"Social Security Advisory Board","Agency Overall","2017","0","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2017","0","0","N/A","N/A"
"Department of Energy","Agency Overall","2017","159","13","8.5","8.37"
"Farm Credit Administration","Agency Overall","2017","3","0","19","19"
"Postal Regulatory Commission","Agency Overall","2017","2","0","11","11"
"Office of Science and Technology Policy","Agency Overall","2017","1","0","1","1"
"Office of Government Ethics","Agency Overall","2017","0","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2017","2","0","1","1"
"Peace Corps","Agency Overall","2017","0","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2017","3","13","4","6.06"
"All agencies","Agency Overall","2017","9023","7038","N/A","N/A"
