"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","330","20","5707","75","218","665","36","2","135","20","72","10","0","0"
"Department of the Treasury","Agency Overall","2017","49","41","3603","473","970","1604","482","3","1271","78","1509","10","71","0"
"Consumer Financial Protection Bureau","Agency Overall","2017","0","6","1","109","125","224","27","0","4","54","84","5","93","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","1","1","1","2","8","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2017","0","2","0","0","52","28","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2017","0","27","11","3686","2530","2259","1955","30","5481","2481","1155","1","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","0","10","44","19","410","0","0","2","0","0","0","0","0"
"National Mediation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","0","14","6","66","31","87","0","0","6","0","7","0","29","0"
"National Archives and Records Administration","Agency Overall","2017","332","10","310","8","41","377","1","1","184","346","54","1","2","0"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","0","1","1","0","0","0","0","0","0","1","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","0","0","1","0","7","17","0","0","6","0","0","5","0","0"
"Federal Trade Commission","Agency Overall","2017","0","5","228","82","104","537","64","0","29","11","19","0","0","0"
"Office of Personnel Management","Agency Overall","2017","0","4","2337","28","39","2013","3","0","1921","103","443","3","0","0"
"National Endowment for the Arts","Agency Overall","2017","0","1","1","22","5","30","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2017","0","17","679","119","91","801","54","0","259","38","63","12","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","1","1","14","54","24","103","4","1","17","8","7","1","0","0"
"National Credit Union Administration","Agency Overall","2017","0","0","0","13","11","20","0","0","6","1","4","0","24","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","1","0","4","4","15","0","0","0","0","3","1","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2017","0","2","13","36","76","83","0","0","9","0","1","0","5","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2017","0","0","1458","39","12150","4235","1999","0","6707","44","6","4","0","0"
"Department of Transportation","Agency Overall","2017","2","18","150","254","563","1878","102","0","560","63","26","23","0","1"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0","0","12","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","14","2","2","88","79","351","20","1","14","2","22","1","0","0"
"Tennessee Valley Authority","Agency Overall","2017","0","7","1","19","33","66","0","0","5","1","1","7","0","0"
"U.S. Agency for Global Media","Agency Overall","2017","0","0","0","6","14","24","0","0","0","0","0","1","0","0"
"Environmental Protection Agency","Agency Overall","2017","1","0","19","179","228","447","72","1","72","2","17","7","0","39"
"Nuclear Regulatory Commission","Agency Overall","2017","3","7","3","29","59","88","20","0","74","0","28","35","0","0"
"Administrative Conference of the United States","Agency Overall","2017","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2017","0","20","87","181","532","1280","162","0","575","14","43","29","0","8"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0","2","11","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","5","0","0","0","8","7","0","0","0","0","1","0","0","0"
"Office of Special Counsel","Agency Overall","2017","0","0","1","1","42","40","3","0","54","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2017","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2017","0","1","0","20","72","1122","164","0","1117","95","2","0","0","0"
"Department of Health and Human Services","Agency Overall","2017","0","6","143","1264","497","9081","402","38","1689","172","56","81","0","0"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","1","2","18","52","59","256","37","0","66","0","25","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","0","0","6","23","21","32","4","0","3","4","6","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","0","0","1","17","10","21","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2017","0","1","2","3","6","2","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0","0","7","5","20","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","1","1","5","3","3","12","0","0","0","1","1","0","0"
"Merit Systems Protection Board","Agency Overall","2017","0","3","8","0","16","66","1","0","5","0","16","0","0","0"
"Department of Defense","Agency Overall","2017","1432","275","3449","989","3706","12510","892","204","6620","254","2455","510","1","5"
"Federal Energy Regulatory Commission","Agency Overall","2017","0","1","17","23","17","34","1","0","0","0","0","3","0","0"
"Department of Agriculture","Agency Overall","2017","0","87","551","438","669","2073","94","6","851","85","355","46","3","5"
"Social Security Administration","Agency Overall","2017","0","7","6","3","11","1835","3","0","9","0","9","1","0","0"
"Federal Reserve System","Agency Overall","2017","0","0","0","40","36","37","5","0","4","0","8","0","33","0"
"Commission of Fine Arts","Agency Overall","2017","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","0","0","5","29","27","31","6","0","7","0","3","0","0","0"
"Council on Environmental Quality","Agency Overall","2017","0","45","0","1","448","357","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2017","0","0","0","0","4","6","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2017","0","0","2","1","1","2","0","0","0","0","1","0","0","0"
"Department of Veterans Affairs","Agency Overall","2017","1","7","4629","293","2438","13646","133","18","2462","19","26","15","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0","0","0","6","2","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","24","0","94","1","13","20","14","0","3","0","1","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","9","0","2","123","286","1","0","284","16","2","22","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","3","1","12","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2017","0","0","19","2","21","26","4","0","10","0","9","1","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","1","22","0","0","4","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2017","3","10","98","89","144","275","18","0","91","1","19","2","0","0"
"United States International Boundary and Water Commission","Agency Overall","2017","1","8","1","3","10","6","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2017","660","381","1884","346","1761","9239","1366","38","9286","2535","4809","2693","3","2"
"National Indian Gaming Commission","Agency Overall","2017","0","0","0","21","17","19","0","0","12","2","8","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2017","3","0","2","1","20","43","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","27","773","36517","466","35928","151586","278","15203","156168","18523","157567","182","8","0"
"Federal Housing Finance Agency","Agency Overall","2017","0","0","5","18","15","21","6","0","34","0","26","0","3","0"
"Consumer Product Safety Commission","Agency Overall","2017","0","0","265","103","182","195","14","0","1","40","6","0","0","0"
"Denali Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","0","0","2","1","3","4","0","0","0","0","3","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2017","0","0","0","7","14","30","3","0","21","0","0","2","0","0"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2017","5","5","67","85","126","325","8","0","58","4","18","15","0","1"
"Farm Credit Administration","Agency Overall","2017","0","0","0","0","3","4","1","0","1","0","0","0","5","0"
"Postal Regulatory Commission","Agency Overall","2017","0","0","0","0","1","3","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2017","0","4","0","0","10","19","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2017","0","0","27","3","117","173","0","0","2","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0","28","3","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","0","1","4","4","98","27","85","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2017","0","0","0","9","25","36","3","0","6","2","4","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2017","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"All agencies","Agency Overall","2017","3942","1853","63749","10962","65565","223353","9535","15559","197087","25070","169127","3865","340","61"
