"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Securities and Exchange Commission","Agency Overall","2011","1941","333","441","7866","44","78","82","27","128","143","121","358","11562"
"Department of Justice","Agency Overall","2011","28719","7576","2093","12177","688","683","1619","2199","4710","700","2438","390","63992"
"U.S. Commission on Civil Rights","Agency Overall","2011","17","14","0","25","0","1","0","0","0","6","0","0","63"
"Armed Forces Retirement Home","Agency Overall","2011","1","3","0","0","0","0","0","0","0","0","0","0","4"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","6","1","0","7","4","0","0","0","0","0","0","1","19"
"Office of Management and Budget","Agency Overall","2011","57","31","15","70","0","0","0","0","0","0","0","0","173"
"U.S. Agency for International Development","Agency Overall","2011","74","145","16","40","2","32","5","1","5","1","10","11","342"
"Federal Energy Regulatory Commission","Agency Overall","2011","15","32","23","12","0","8","2","0","0","0","0","0","92"
"Court Services and Offender Supervision Agency","Agency Overall","2011","32","654","1","12","0","38","1","0","0","1","12","15","766"
"National Capital Planning Commission","Agency Overall","2011","12","0","1","4","0","0","0","0","0","0","0","0","17"
"Legal Services Corporation","Agency Overall","2011","33","12","2","7","0","4","0","0","3","5","0","0","66"
"Office of Special Counsel","Agency Overall","2011","26","13","11","24","0","1","3","1","0","0","0","8","87"
"Merit Systems Protection Board","Agency Overall","2011","103","9","1","0","0","0","0","0","0","0","0","0","113"
"National Endowment for the Arts","Agency Overall","2011","30","95","5","4","0","2","0","0","0","1","0","3","140"
"Federal Mediation and Conciliation Service","Agency Overall","2011","53","8","0","24","0","3","1","0","0","17","4","1","111"
"Millennium Challenge Corporation","Agency Overall","2011","7","13","0","4","0","0","0","0","0","2","0","0","26"
"Department of Defense","Agency Overall","2011","30923","14868","2267","9276","6782","2258","1012","757","2002","1224","1129","3150","75648"
"Inter-American Foundation","Agency Overall","2011","7","4","0","5","0","0","0","0","0","0","0","0","16"
"Farm Credit Administration","Agency Overall","2011","18","3","0","10","1","2","0","0","0","1","0","0","35"
"American Battle Monuments Commission","Agency Overall","2011","8","2","0","13","0","1","0","0","1","0","0","0","25"
"National Credit Union Administration","Agency Overall","2011","51","71","14","14","0","5","1","1","2","0","1","0","160"
"Federal Labor Relations Authority","Agency Overall","2011","32","26","4","16","7","0","0","1","0","0","0","0","86"
"National Archives and Records Administration","Agency Overall","2011","395","175","6","16201","61","28","5","54","47","9","20","181","17182"
"Department of Energy","Agency Overall","2011","714","515","27","307","361","125","73","15","19","49","17","0","2222"
"Office of Personnel Management","Agency Overall","2011","4094","3384","15","97","3","3","","","","32","1","14","7643"
"Department of Commerce","Agency Overall","2011","732","415","105","251","79","129","161","36","99","119","7","76","2209"
"Department of Agriculture","Agency Overall","2011","17748","2075","477","1194","593","307","143","70","104","51","98","79","22939"
"Federal Reserve System","Agency Overall","2011","522","81","28","63","34","71","15","15","3","0","6","10","848"
"Office of Government Ethics","Agency Overall","2011","22","31","8","9","2","0","0","0","0","0","0","0","72"
"Small Business Administration","Agency Overall","2011","2489","251","40","162","4","34","6","69","5","20","1","51","3132"
"General Services Administration","Agency Overall","2011","931","343","53","158","13","119","0","5","1","30","24","0","1677"
"National Mediation Board","Agency Overall","2011","7","6","1","9","0","0","0","1","1","0","0","0","25"
"Federal Election Commission","Agency Overall","2011","35","30","1","13","1","2","0","0","0","0","0","0","82"
"Peace Corps","Agency Overall","2011","75","30","11","33","1","4","2","3","3","0","2","4","168"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","120","0","0","0","0","0","0","0","0","0","0","0","120"
"National Indian Gaming Commission","Agency Overall","2011","19","12","4","19","3","7","1","0","0","0","1","0","66"
"Administrative Conference of the United States","Agency Overall","2011","3","0","0","3","0","0","0","0","0","1","0","0","7"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","173","0","0","5","0","4","0","0","0","0","0","0","182"
"Commodity Futures Trading Commission","Agency Overall","2011","44","28","17","26","0","10","0","0","3","2","0","15","145"
"National Labor Relations Board","Agency Overall","2011","4535","482","432","13","252","134","3","","","5","","4","5860"
"Federal Deposit Insurance Corporation","Agency Overall","2011","366","198","89","191","3","62","127","115","47","181","12","18","1409"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","6","14","10","13","0","5","0","0","0","1","0","0","49"
"National Endowment for the Humanities","Agency Overall","2011","12","27","1","5","0","1","0","0","0","0","1","2","49"
"Federal Trade Commission","Agency Overall","2011","732","440","27","228","0","25","15","13","9","8","16","14","1527"
"United States African Development Foundation","Agency Overall","2011","3","4","0","2","0","0","0","0","0","0","0","0","9"
"Nuclear Regulatory Commission","Agency Overall","2011","112","92","8","49","0","21","6","0","0","1","2","29","320"
"Postal Regulatory Commission","Agency Overall","2011","9","1","1","7","12","0","0","0","0","0","0","0","30"
"Recovery Accountability and Transparency Board","Agency Overall","2011","2","1","1","8","6","0","0","0","1","0","0","0","19"
"Office of the Director of National Intelligence","Agency Overall","2011","30","237","41","27","14","0","0","1","0","0","1","54","405"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","1","13","6","0","0","0","0","0","0","0","0","0","20"
"Environmental Protection Agency","Agency Overall","2011","5463","676","94","3167","210","616","37","34","25","4","99","10","10435"
"Social Security Administration","Agency Overall","2011","30498","1622","125","95","0","4","37","43","6","10","5","0","32445"
"Department of Labor","Agency Overall","2011","3737","6864","1390","3522","245","414","208","160","116","264","454","755","18129"
"Federal Open Market Committee","Agency Overall","2011","16","4","1","3","9","1","0","1","0","0","0","0","35"
"Department of the Interior","Agency Overall","2011","2990","1147","139","583","124","171","110","54","51","36","54","450","5909"
"National Science Foundation","Agency Overall","2011","59","333","19","51","1","30","2","1","0","10","13","0","519"
"United States Copyright Office","Agency Overall","2011","9","8","0","8","1","4","6","1","0","1","0","2","40"
"Consumer Product Safety Commission","Agency Overall","2011","1751","470","55","117","69","32","11","1","1","5","30","18","2560"
"United States International Boundary and Water Commission","Agency Overall","2011","5","3","1","14","0","0","0","0","0","0","0","0","23"
"All agencies","Agency Overall","2011","236474","171795","30369","87577","19272","11128","6522","6482","31772","9449","9939","10653","631432"
