"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Energy Regulatory Commission","Agency Overall","2011","24","16","0","0","0","0","0","0","0","0","0","0","0","40"
"Court Services and Offender Supervision Agency","Agency Overall","2011","243","413","74","17","7","4","1","1","4","2","0","0","0","766"
"National Capital Planning Commission","Agency Overall","2011","17","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Legal Services Corporation","Agency Overall","2011","10","3","4","1","1","1","0","1","1","2","6","3","12","45"
"Office of Special Counsel","Agency Overall","2011","23","1","0","0","0","0","0","0","0","0","0","0","0","24"
"Merit Systems Protection Board","Agency Overall","2011","97","13","0","0","0","0","0","0","0","0","0","0","0","110"
"National Endowment for the Arts","Agency Overall","2011","100","9","4","1","0","0","0","0","0","0","0","0","4","118"
"Federal Mediation and Conciliation Service","Agency Overall","2011","64","1","0","0","0","0","0","0","0","0","0","0","0","65"
"Millennium Challenge Corporation","Agency Overall","2011","25","1","0","0","0","0","0","0","0","0","0","0","0","26"
"Department of Defense","Agency Overall","2011","37934","3580","1178","596","297","186","132","95","81","60","248","169","241","44797"
"Inter-American Foundation","Agency Overall","2011","14","2","0","0","0","0","0","0","0","0","0","0","0","16"
"Farm Credit Administration","Agency Overall","2011","35","0","0","0","0","0","0","0","0","0","0","0","0","35"
"American Battle Monuments Commission","Agency Overall","2011","25","0","0","0","0","0","0","0","0","0","0","0","0","25"
"National Credit Union Administration","Agency Overall","2011","102","17","6","0","1","0","0","0","0","0","0","0","0","126"
"Federal Labor Relations Authority","Agency Overall","2011","80","5","0","1","0","0","0","0","0","0","0","0","0","86"
"National Archives and Records Administration","Agency Overall","2011","15590","543","150","54","29","17","16","13","9","7","17","13","111","16569"
"Department of Energy","Agency Overall","2011","1138","279","81","64","36","23","17","20","12","5","24","11","12","1722"
"Office of Personnel Management","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2011","1041","655","144","70","21","21","10","5","2","5","18","9","13","2014"
"Department of Agriculture","Agency Overall","2011","15446","839","250","108","65","41","31","24","24","18","55","20","27","16948"
"Federal Reserve System","Agency Overall","2011","305","8","0","0","0","0","0","0","0","0","0","0","0","313"
"Office of Government Ethics","Agency Overall","2011","60","11","1","0","0","0","0","0","0","0","0","0","0","72"
"Small Business Administration","Agency Overall","2011","2992","102","14","6","2","0","1","0","0","0","4","0","1","3122"
"General Services Administration","Agency Overall","2011","502","654","321","80","45","27","26","6","4","6","2","2","2","1677"
"National Mediation Board","Agency Overall","2011","5","7","6","3","0","0","0","1","0","0","0","0","0","22"
"Federal Election Commission","Agency Overall","2011","29","25","7","1","3","3","0","1","1","0","2","1","0","73"
"Peace Corps","Agency Overall","2011","65","37","28","12","7","4","2","1","1","0","0","0","0","157"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","120","0","0","0","0","0","0","0","0","0","0","0","0","120"
"National Indian Gaming Commission","Agency Overall","2011","35","12","5","7","1","1","0","0","0","0","1","0","0","62"
"Administrative Conference of the United States","Agency Overall","2011","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","174","4","0","0","0","0","0","0","0","0","0","0","0","178"
"Commodity Futures Trading Commission","Agency Overall","2011","71","16","8","8","4","2","4","1","0","0","0","0","0","114"
"National Labor Relations Board","Agency Overall","2011","5620","217","18","2","2","0","0","1","0","0","0","0","0","5860"
"Federal Deposit Insurance Corporation","Agency Overall","2011","1019","178","36","13","3","2","1","0","0","0","0","0","0","1252"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","21","0","0","0","0","0","0","0","0","0","0","0","0","21"
"National Endowment for the Humanities","Agency Overall","2011","24","8","0","0","0","0","0","0","0","0","0","0","0","32"
"Federal Trade Commission","Agency Overall","2011","1169","26","5","5","3","1","1","0","0","0","0","0","0","1210"
"United States African Development Foundation","Agency Overall","2011","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Nuclear Regulatory Commission","Agency Overall","2011","220","12","4","1","0","0","0","0","0","0","0","0","0","237"
"Postal Regulatory Commission","Agency Overall","2011","24","4","2","0","0","0","0","0","0","0","0","0","0","30"
"Recovery Accountability and Transparency Board","Agency Overall","2011","15","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Office of the Director of National Intelligence","Agency Overall","2011","261","7","6","1","2","2","2","6","3","4","3","24","14","335"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","14","3","2","1","0","0","0","0","0","0","0","0","0","20"
"Environmental Protection Agency","Agency Overall","2011","5311","2401","640","366","222","174","358","249","91","37","123","151","91","10214"
"Social Security Administration","Agency Overall","2011","28616","2226","412","205","200","135","1","1","0","0","0","0","0","31796"
"Department of Labor","Agency Overall","2011","7172","982","300","155","76","36","15","13","17","18","25","3","10","8822"
"Federal Open Market Committee","Agency Overall","2011","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Department of the Interior","Agency Overall","2011","599","9","3","0","0","0","0","0","0","0","0","0","0","611"
"National Science Foundation","Agency Overall","2011","343","131","18","7","4","3","7","0","2","1","3","0","0","519"
"United States Copyright Office","Agency Overall","2011","30","10","0","0","0","0","0","0","0","0","0","0","0","40"
"Consumer Product Safety Commission","Agency Overall","2011","1701","24","16","21","11","8","3","0","0","2","4","6","5","1801"
"United States International Boundary and Water Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2011","287243","42700","16771","10101","6964","7267","6905","3747","2197","1998","7151","1211","2519","396774"
