"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"United States Trade and Development Agency","Agency Overall","2011","N/A","N/A","N/A","N/A","48","155.3","1","539","62.5","62.5","16","109"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","16","18","3","77","22","29","8","125","8","16","6","33"
"Department of Transportation","Agency Overall","2011","16","26.73","<1","1296","33","62.55","<1","1121","22.5","28.67","<1","193"
"Farm Credit System Insurance Corporation","Agency Overall","2011","14.5","14.6","9","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2011","11","37.4","1","1182","68","78.31","1","1529","17","155.1","1","836"
"Office of National Drug Control Policy","Agency Overall","2011","10","11","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","14","14","3","20","62","62","62","62","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2011","9","14.74","1","173","52","107.5","7","303","6","11.8","3","29"
"United States International Trade Commission","Agency Overall","2011","15","16","1","34","N/A","N/A","N/A","N/A","6","6","6","6"
"Equal Employment Opportunity Commission","Agency Overall","2011","15","15.8739008090046","1","290","N/A","N/A","N/A","N/A","3","3","1","5"
"Federal Housing Finance Agency","Agency Overall","2011","7","10.57","1","63","52.5","81","10","228","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2011","11","23.9","<1","842","18","57.97","<1","846","227","227","227","227"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","20","16","3","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2011","N/A","N/A","N/A","N/A","12","18.82","<1","114","13.5","13.5","<1","21"
"Federal Financial Institutions Examination Council","Agency Overall","2011","7.5","7.45","N/A","14","17","17","17","17","1","1","1","1"
"Department of Education","Agency Overall","2011","18","30.83","1","496","83","103.24","2","613","4","6","1","19"
"Department of Veterans Affairs","Agency Overall","2011","<1","1.48","<1","8","5","16.29","<1","1748","1","4.07","<1","53"
"National Railroad Passenger Corporation","Agency Overall","2011","6","30","1","270","28","90","1","725","127","127","37","217"
"Institute of Museum and Library Services","Agency Overall","2011","9.5","9.3","1","22","77","58.5","40","77","3.5","3.5","3","4"
"Surface Transportation Board","Agency Overall","2011","8","9.1","1","31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2011","11.5","12","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2011","4","11","<1","427","1","164","<1","1242","8","36","4","138"
"Department of Justice","Agency Overall","2011","14","24.94","<1","694","41","106.76","<1","1886","60","127.92","1","697"
"U.S. Commission on Civil Rights","Agency Overall","2011","N/A","N/A","N/A","N/A","14","40","N/A","742","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2011","32","32","25","39","49","49","47","51","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","13","14","1","44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2011","66","82","5","284","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2011","83","147.66","<1","731","226","307.42","<1","1399","64","139.4","12","302"
"Federal Energy Regulatory Commission","Agency Overall","2011","20","20","2","35","30","39","7","289","20","20","20","20"
"Court Services and Offender Supervision Agency","Agency Overall","2011","27","29.92","<1","269","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2011","7","6","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2011","195","223","1","728","222","256","1","881","N/A","31","31","31"
"Office of Special Counsel","Agency Overall","2011","2","3","N/A","27","17","42","N/A","288","12","12","3","21"
"Merit Systems Protection Board","Agency Overall","2011","17","9","N/A","35","42","42","4","81","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2011","6","30.2","<1","815","36","130.4","3","368","10.5","19.9","6","79"
"Federal Mediation and Conciliation Service","Agency Overall","2011","6","7","1","21","11","13.5","3","42","2","1.7","1","6"
"Millennium Challenge Corporation","Agency Overall","2011","16","14","1","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2011","N/A","19","<1","3760","N/A","111","<1","4475","N/A","16","<1","1023"
"Inter-American Foundation","Agency Overall","2011","15","13.9","4","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2011","11","11.023","1","20","N/A","N/A","N/A","N/A","1.5","5.25","1","17"
"American Battle Monuments Commission","Agency Overall","2011","8","10","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2011","11","13.56","N/A","88","34","39.65","2","127","50","48","3","91"
"Federal Labor Relations Authority","Agency Overall","2011","12","11","1","69","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2011","4","10.5","N/A","1753","20","382","N/A","4327","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2011","11","32.31","<1","2674","51","117.08","<1","1092","221","169","18","268"
"Office of Personnel Management","Agency Overall","2011","N/A","N/A","N/A","N/A","34","44","N/A","N/A","42","41","N/A","N/A"
"Department of Commerce","Agency Overall","2011","22","34","1","1142","41","62","7","423","20","16","1","100"
"Department of Agriculture","Agency Overall","2011","10.5","19.2235","<1","969","22.75","56.8951","<1","1027","N/A","3.6305","1","94"
"Federal Reserve System","Agency Overall","2011","1","3","<1","33","21","47","<1","516","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2011","9.5","12.097","1","54","N/A","N/A","N/A","N/A","8","8","8","8"
"Small Business Administration","Agency Overall","2011","2","5.61","<1","424","47","35.5","<1","47","12.5","10.83","<1","15"
"General Services Administration","Agency Overall","2011","29","36","1","455","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2011","29.5","40.5","6","153","N/A","N/A","N/A","N/A","20","39.33","20","78"
"Federal Election Commission","Agency Overall","2011","27","44.4","N/A","330","144","309","115","931","17","14","8","17"
"Peace Corps","Agency Overall","2011","23","31","1","161","93","101","47","150","11","11","11","11"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","3","4.43","1","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2011","156","30.15","1","121","128","64","15","270","25","25","25","25"
"Administrative Conference of the United States","Agency Overall","2011","1","1.6","1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","1","3.3","<1","36","11","12.5","8","20","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2011","13.5","28.39","<1","145","79","119.26","1","473","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2011","3","5","N/A","N/A","N/A","N/A","N/A","N/A","4","8","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2011","6","11.42","<1","123","<1","21.29","<1","187","17","26.69","<1","72"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","20","18","9","20","283","429","35","1530","20","107","5","296"
"National Endowment for the Humanities","Agency Overall","2011","17.5","17.2","1","36","28","42.1","18","99","35.5","35.5","9","62"
"Federal Trade Commission","Agency Overall","2011","3","5.29","1","129","26.5","49.48","1","463","16","11.4","1","18"
"United States African Development Foundation","Agency Overall","2011","3","4","1","9","N/A","N/A","N/A","N/A","7","7","7","7"
"Nuclear Regulatory Commission","Agency Overall","2011","9","11","<1","63","32","46","1","290","6","6","6","6"
"Postal Regulatory Commission","Agency Overall","2011","15","11","N/A","57","N/A","N/A","N/A","N/A","10","10","8","12"
"Recovery Accountability and Transparency Board","Agency Overall","2011","1","3.3","1","19","9","11","7","19","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2011","4","41.87","N/A","1029","26.5","94","N/A","823","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","5","5","5","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2011","20","47.39","<1","1448","48","96.36","3","1326","19","27.11","6","116"
"Social Security Administration","Agency Overall","2011","17","22","3","159","47","56","3","248","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2011","5","37.7","1","2025","24.8","214.9","1","976","6.25","83.2","1","901"
"Federal Open Market Committee","Agency Overall","2011","8","10.4","2","19","19","21.4","19","27","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2011","2","3","<1","55","16","44","<1","2235","175","138","<1","265"
"National Science Foundation","Agency Overall","2011","18","23","1","254","N/A","N/A","N/A","N/A","25","25","25","25"
"United States Copyright Office","Agency Overall","2011","20","19.8","1","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2011","9","51","1","580","64","97","1","632","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2011","N/A","N/A","N/A","N/A","29","27.3","12","71","4","4.4","1","7"
