"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Institute of Museum and Library Services","Agency Overall","2011","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","86","16","36","24","162"
"Department of Justice","Agency Overall","2011","1965","185","429","783","3362"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","1","0","0","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","8","1","0","1","10"
"U.S. Agency for International Development","Agency Overall","2011","0","1","0","2","3"
"Federal Energy Regulatory Commission","Agency Overall","2011","4","2","4","4","14"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","0","1","0","1"
"Legal Services Corporation","Agency Overall","2011","1","1","0","0","2"
"Office of Special Counsel","Agency Overall","2011","4","3","0","0","7"
"Merit Systems Protection Board","Agency Overall","2011","3","4","1","0","8"
"National Endowment for the Arts","Agency Overall","2011","1","1","0","2","4"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","1","0","0","1"
"Department of Defense","Agency Overall","2011","248","83","105","471","907"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","7","3","0","0","10"
"Federal Labor Relations Authority","Agency Overall","2011","5","0","2","1","8"
"National Archives and Records Administration","Agency Overall","2011","35","9","11","9","64"
"Department of Energy","Agency Overall","2011","34","7","10","19","70"
"Office of Personnel Management","Agency Overall","2011","12","7","5","2","26"
"Department of Commerce","Agency Overall","2011","26","26","24","32","108"
"Department of Agriculture","Agency Overall","2011","63","51","18","60","192"
"Federal Reserve System","Agency Overall","2011","12","2","0","3","17"
"Office of Government Ethics","Agency Overall","2011","1","2","0","0","3"
"Small Business Administration","Agency Overall","2011","6","9","0","7","22"
"General Services Administration","Agency Overall","2011","19","0","0","2","21"
"National Mediation Board","Agency Overall","2011","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2011","1","2","0","0","3"
"Peace Corps","Agency Overall","2011","7","2","0","2","11"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","1","0","0","1","2"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","3","0","0","0","3"
"National Labor Relations Board","Agency Overall","2011","40","6","2","10","58"
"Federal Deposit Insurance Corporation","Agency Overall","2011","26","7","3","2","38"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","2","0","1","0","3"
"National Endowment for the Humanities","Agency Overall","2011","0","0","0","1","1"
"Federal Trade Commission","Agency Overall","2011","17","5","2","1","25"
"United States African Development Foundation","Agency Overall","2011","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","8","2","0","4","14"
"Postal Regulatory Commission","Agency Overall","2011","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","2","0","0","1","3"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","1","0","0","0","1"
"Environmental Protection Agency","Agency Overall","2011","77","27","49","55","208"
"Social Security Administration","Agency Overall","2011","27","7","66","0","100"
"Department of Labor","Agency Overall","2011","17","89","6","281","393"
"Federal Open Market Committee","Agency Overall","2011","1","0","0","0","1"
"Department of the Interior","Agency Overall","2011","28","11","44","147","230"
"National Science Foundation","Agency Overall","2011","15","2","2","2","21"
"United States Copyright Office","Agency Overall","2011","2","0","0","0","2"
"Consumer Product Safety Commission","Agency Overall","2011","12","2","1","6","21"
"United States International Boundary and Water Commission","Agency Overall","2011","1","1","0","0","2"
"All agencies","Agency Overall","2011","4640","1740","1516","2788","10684"
