"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Commodity Futures Trading Commission","Agency Overall","2011","13","29"
"National Labor Relations Board","Agency Overall","2011","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2011","109","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","41","41"
"National Endowment for the Humanities","Agency Overall","2011","4","3"
"Federal Trade Commission","Agency Overall","2011","20","7"
"United States African Development Foundation","Agency Overall","2011","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","6","44"
"Postal Regulatory Commission","Agency Overall","2011","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","129","102"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","4","2"
"Environmental Protection Agency","Agency Overall","2011","658","652"
"Social Security Administration","Agency Overall","2011","68","38"
"Department of Labor","Agency Overall","2011","503","596"
"Federal Open Market Committee","Agency Overall","2011","1","1"
"Department of the Interior","Agency Overall","2011","679","505"
"National Science Foundation","Agency Overall","2011","24","42"
"United States Copyright Office","Agency Overall","2011","1","2"
"Consumer Product Safety Commission","Agency Overall","2011","306","237"
"United States International Boundary and Water Commission","Agency Overall","2011","1","0"
"All agencies","Agency Overall","2011","69344","83816"
