"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Housing Finance Agency","Agency Overall","2011","0","3","0","27","30","21","2","1","3","0","1","0","16","0"
"National Aeronautics and Space Administration","Agency Overall","2011","","14","33","221","46","86","1","","26","1","9","5","",""
"Federal Retirement Thrift Investment Board","Agency Overall","2011","1","0","0","5","0","1","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","0","14","1","15","10","9","0","0","0","0","0","0","0","1"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2011","0","42","16","273","119","563","169","8","431","1","7","0","0","0"
"Department of Veterans Affairs","Agency Overall","2011","0","53","3447","279","170","9496","101","28","1501","21","19","15","0","0"
"National Railroad Passenger Corporation","Agency Overall","2011","0","1","3","5","7","25","6","0","16","1","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2011","0","0","0","16","2","2","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2011","0","2","0","0","1","1","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","2","2","8","2","0","1","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","0","16","10","101","118","205","394","1","168","11","6","5","57","0"
"Department of Justice","Agency Overall","2011","549","1699","1361","278","1500","5455","742","55","6941","2151","1636","1548","1","0"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0","0","9","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","0","0","1","0","2","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","0","8","1","4","42","12","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2011","3","6","69","106","20","85","3","0","3","3","2","2","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2011","0","2","3","23","18","14","4","0","0","2","2","4","0","3"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","654","1","0","49","645","0","0","645","95","30","86","0","0"
"National Capital Planning Commission","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2011","0","0","0","0","5","4","3","0","2","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2011","0","0","0","0","15","10","2","0","16","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2011","0","0","0","0","1","14","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2011","0","4","2","17","12","84","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0","0","2","4","1","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","0","4","1","7","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2011","1510","2163","2827","1870","1975","12238","824","62","5816","344","213","1005","3","11"
"Inter-American Foundation","Agency Overall","2011","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0","1","1","0","0","1","0","0","0","1","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","0","15","0","28","25","56","2","1","3","0","0","0","31","0"
"Federal Labor Relations Authority","Agency Overall","2011","0","1","0","1","16","5","0","0","4","2","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2011","86","24","73","16","47","103","9","0","23","5","26","0","0","0"
"Department of Energy","Agency Overall","2011","7","19","37","273","102","258","14","0","24","7","0","9","0","0"
"Office of Personnel Management","Agency Overall","2011","","25","901","14","","2691","","","2656","179","106","5","",""
"Department of Commerce","Agency Overall","2011","0","22","83","109","141","216","18","3","72","3","5","1","0","0"
"Department of Agriculture","Agency Overall","2011","7","110","479","387","296","1559","215","7","560","14","69","28","2","1"
"Federal Reserve System","Agency Overall","2011","0","2","3","67","51","43","1","1","1","1","0","0","39","0"
"Office of Government Ethics","Agency Overall","2011","0","2","6","3","8","17","1","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2011","0","0","8","104","72","80","0","0","1","0","0","0","0","0"
"General Services Administration","Agency Overall","2011","0","60","56","251","117","102","9","1","26","0","0","14","0","0"
"National Mediation Board","Agency Overall","2011","0","0","0","13","56","27","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2011","0","11","7","7","15","17","2","0","5","0","3","0","0","0"
"Peace Corps","Agency Overall","2011","0","6","0","0","10","24","5","0","12","7","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","0","1","0","10","4","9","0","0","2","0","2","0","0","0"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","0","2","16","16","22","12","11","0","1","0","8","0","1","0"
"National Labor Relations Board","Agency Overall","2011","","23","","4","121","227","226","","268","152","","","",""
"Federal Deposit Insurance Corporation","Agency Overall","2011","0","45","0","170","94","142","1","0","6","0","0","0","115","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","0","6","0","10","10","8","6","0","4","3","5","0","0","0"
"National Endowment for the Humanities","Agency Overall","2011","0","2","1","8","8","25","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2011","0","1","152","66","80","383","46","0","8","10","2","0","0","0"
"United States African Development Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","0","9","4","29","18","32","12","0","29","1","7","13","0","0"
"Postal Regulatory Commission","Agency Overall","2011","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","0","0","0","1","1","0","1","1","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","47","153","64","0","17","124","0","0","95","0","11","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","0","0","5","0","8","7","0","8","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2011","6","33","14","311","430","197","170","5","59","4","15","0","0","0"
"Social Security Administration","Agency Overall","2011","0","12","55","46","99","1241","12","4","17","1","4","0","0","0"
"Department of Labor","Agency Overall","2011","0","423","62","3474","3516","2108","1449","119","5492","2615","981","3","0","0"
"Federal Open Market Committee","Agency Overall","2011","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2011","2","76","53","178","348","840","105","6","354","14","38","15","0","10"
"National Science Foundation","Agency Overall","2011","0","2","14","145","58","325","4","0","66","0","1","0","0","0"
"United States Copyright Office","Agency Overall","2011","0","0","3","0","4","3","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2011","0","0","423","184","358","348","48","0","5","34","1","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2011","0","1","0","2","0","1","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2011","4333","24440","36098","11475","56267","115140","7611","357","102568","6170","56491","2876","462","26"
