"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Armed Forces Retirement Home","Agency Overall","2011","0","0","2","0","0","0","0","0","0","0","0","0","0","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2011","24","29","10","10","10","11","8","3","7","6","30","21","83","252"
"Federal Energy Regulatory Commission","Agency Overall","2011","16","26","5","1","0","0","0","1","1","0","1","0","0","51"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2011","3","3","1","1","0","1","0","0","0","0","3","2","6","20"
"Office of Special Counsel","Agency Overall","2011","45","7","4","0","0","0","0","0","0","0","1","0","0","57"
"Merit Systems Protection Board","Agency Overall","2011","2","6","2","0","1","0","0","0","0","0","0","0","0","11"
"National Endowment for the Arts","Agency Overall","2011","4","4","0","1","0","0","0","0","1","0","0","4","0","14"
"Federal Mediation and Conciliation Service","Agency Overall","2011","9","1","1","0","0","0","0","0","0","0","0","0","0","11"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2011","13781","4447","2046","1124","723","542","395","279","241","188","590","351","1785","26492"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","7","11","4","1","1","1","1","0","0","0","0","0","0","26"
"Federal Labor Relations Authority","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2011","261","47","12","8","3","6","3","5","4","2","17","20","225","613"
"Department of Energy","Agency Overall","2011","125","89","61","42","17","18","11","17","18","9","41","18","31","497"
"Office of Personnel Management","Agency Overall","2011","3361","880","1842","1131","234","96","3","2","4","3","1","0","8","7565"
"Department of Commerce","Agency Overall","2011","1","21","10","3","7","9","4","3","1","3","4","4","0","70"
"Department of Agriculture","Agency Overall","2011","904","380","117","73","72","49","37","26","54","77","73","64","82","2008"
"Federal Reserve System","Agency Overall","2011","265","112","51","41","9","4","6","4","5","7","13","12","6","535"
"Office of Government Ethics","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2011","1","0","3","0","0","0","0","0","0","0","0","0","0","4"
"General Services Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2011","0","0","0","0","0","1","2","1","0","0","0","1","1","6"
"Peace Corps","Agency Overall","2011","0","0","1","1","3","0","1","1","0","0","0","0","0","7"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","1","1","1","3","3","0","3","0","0","0","1","1","0","14"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Commodity Futures Trading Commission","Agency Overall","2011","2","6","4","4","3","2","2","1","0","1","4","0","2","31"
"National Labor Relations Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2011","91","11","12","7","8","4","3","4","0","1","0","0","0","141"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","0","3","3","0","0","0","0","2","0","1","4","2","10","25"
"National Endowment for the Humanities","Agency Overall","2011","2","8","1","2","2","0","0","0","0","0","0","0","0","15"
"Federal Trade Commission","Agency Overall","2011","133","53","43","20","16","15","10","5","4","5","6","1","1","312"
"United States African Development Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","13","36","13","8","3","1","2","2","0","0","1","0","0","79"
"Postal Regulatory Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Office of the Director of National Intelligence","Agency Overall","2011","31","15","3","1","2","0","1","2","1","2","6","0","6","70"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2011","11","60","47","25","11","9","6","3","4","2","7","2","7","194"
"Social Security Administration","Agency Overall","2011","422","75","75","26","26","7","8","3","4","2","1","0","0","649"
"Department of Labor","Agency Overall","2011","6147","1520","504","269","168","126","78","53","33","36","69","34","40","9077"
"Federal Open Market Committee","Agency Overall","2011","3","2","0","0","0","0","0","0","0","0","0","0","0","5"
"Department of the Interior","Agency Overall","2011","2535","714","258","156","92","57","62","34","25","42","127","35","134","4271"
"National Science Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2011","149","114","103","99","68","47","28","16","19","15","50","30","21","759"
"United States International Boundary and Water Commission","Agency Overall","2011","8","9","1","1","0","0","0","0","0","0","0","0","0","19"
"All agencies","Agency Overall","2011","83556","22013","17824","17562","7549","9034","11920","3349","1471","1283","5661","3172","10987","195381"
