"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Endowment for the Arts","Agency Overall","2011","146","139","153","140"
"Federal Mediation and Conciliation Service","Agency Overall","2011","142","110","141","111"
"Millennium Challenge Corporation","Agency Overall","2011","22","26","23","26"
"Department of Defense","Agency Overall","2011","73573","74117","74790","75648"
"Inter-American Foundation","Agency Overall","2011","9","16","9","16"
"Farm Credit Administration","Agency Overall","2011","27","36","26","35"
"American Battle Monuments Commission","Agency Overall","2011","17","26","18","25"
"National Credit Union Administration","Agency Overall","2011","163","165","167","160"
"Federal Labor Relations Authority","Agency Overall","2011","109","86","110","86"
"National Archives and Records Administration","Agency Overall","2011","15781","18129","15573","17182"
"Department of Energy","Agency Overall","2011","2206","2315","2149","2222"
"Office of Personnel Management","Agency Overall","2011","3009","7844","3056","7643"
"Department of Commerce","Agency Overall","2011","2113","2202","2021","2209"
"Department of Agriculture","Agency Overall","2011","20391","23065","20231","22939"
"Federal Reserve System","Agency Overall","2011","757","823","857","848"
"Office of Government Ethics","Agency Overall","2011","89","69","87","72"
"Small Business Administration","Agency Overall","2011","3162","3135","3166","3132"
"General Services Administration","Agency Overall","2011","1730","1564","1622","1677"
"National Mediation Board","Agency Overall","2011","28","29","27","25"
"Federal Election Commission","Agency Overall","2011","77","83","81","82"
"Peace Corps","Agency Overall","2011","198","182","190","168"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","122","117","123","120"
"National Indian Gaming Commission","Agency Overall","2011","70","76","72","66"
"Administrative Conference of the United States","Agency Overall","2011","2","7","2","7"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","98","185","98","182"
"Commodity Futures Trading Commission","Agency Overall","2011","158","168","139","145"
"National Labor Relations Board","Agency Overall","2011","5911","5875","5899","5860"
"Federal Deposit Insurance Corporation","Agency Overall","2011","1987","1250","2004","1409"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","36","48","22","49"
"National Endowment for the Humanities","Agency Overall","2011","52","48","53","49"
"Federal Trade Commission","Agency Overall","2011","1294","1523","1280","1527"
"United States African Development Foundation","Agency Overall","2011","0","9","0","9"
"Nuclear Regulatory Commission","Agency Overall","2011","342","365","342","320"
"Postal Regulatory Commission","Agency Overall","2011","30","29","30","30"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","19","0","19"
"Office of the Director of National Intelligence","Agency Overall","2011","221","387","152","405"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","4","18","0","20"
"Environmental Protection Agency","Agency Overall","2011","10409","10123","10071","10435"
"Social Security Administration","Agency Overall","2011","32997","32456","33012","32445"
"Department of Labor","Agency Overall","2011","17398","18012","17607","18129"
"Federal Open Market Committee","Agency Overall","2011","30","35","29","35"
"Department of the Interior","Agency Overall","2011","6147","5809","6026","5909"
"National Science Foundation","Agency Overall","2011","500","526","465","519"
"United States Copyright Office","Agency Overall","2011","36","44","44","40"
"Consumer Product Safety Commission","Agency Overall","2011","3220","2545","3195","2560"
"United States International Boundary and Water Commission","Agency Overall","2011","27","24","29","23"
"All agencies","Agency Overall","2011","598032","644165","601369","631424"
