"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","3","0","1","2","3"
"Federal Labor Relations Authority","Agency Overall","2011","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2011","6","12","5","5","18"
"Department of Energy","Agency Overall","2011","3","87","3","5.87","74"
"Office of Personnel Management","Agency Overall","2011","78","4","4","3","82"
"Department of Commerce","Agency Overall","2011","18","8","13","16","26"
"Department of Agriculture","Agency Overall","2011","45","477","0","2.276","516"
"Federal Reserve System","Agency Overall","2011","0","2","7","7","2"
"Office of Government Ethics","Agency Overall","2011","0","1","7","7","1"
"Small Business Administration","Agency Overall","2011","0","0","0","0","0"
"General Services Administration","Agency Overall","2011","0","0","0","0","0"
"National Mediation Board","Agency Overall","2011","3","0","15","14","1"
"Federal Election Commission","Agency Overall","2011","3","5","0","2.8","8"
"Peace Corps","Agency Overall","2011","1","3","6","7","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","1","0","1","1","1"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","0","5","1","20","4"
"National Labor Relations Board","Agency Overall","2011","16","4","2","3","17"
"Federal Deposit Insurance Corporation","Agency Overall","2011","16","82","1","1.91","87"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","3","0","10","14","2"
"National Endowment for the Humanities","Agency Overall","2011","2","2","5.5","9.8","3"
"Federal Trade Commission","Agency Overall","2011","2","12","8","10.465","8"
"United States African Development Foundation","Agency Overall","2011","1","0","7","7","1"
"Nuclear Regulatory Commission","Agency Overall","2011","12","37","0","0","49"
"Postal Regulatory Commission","Agency Overall","2011","2","0","10","10","1"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","N/A","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2011","1","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2011","25","204","3","4.66","199"
"Social Security Administration","Agency Overall","2011","0","0","0","0","0"
"Department of Labor","Agency Overall","2011","171","383","39","114.1","247"
"Federal Open Market Committee","Agency Overall","2011","0","0","0","0","0"
"Department of the Interior","Agency Overall","2011","48","42","7","13.8","83"
"National Science Foundation","Agency Overall","2011","1","2","15","11","1"
"United States Copyright Office","Agency Overall","2011","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2011","1","8","9","12","7"
"United States International Boundary and Water Commission","Agency Overall","2011","6","0","1","1","6"
"All agencies","Agency Overall","2011","1951","5717","N/A","N/A","6281"
