"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Federal Reserve System","Agency Overall","2011","5","0","0","0","0","1","0","0","0","0","3"
"Office of Government Ethics","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2011","0","0","2","0","0","0","1","0","0","0","1"
"General Services Administration","Agency Overall","2011","4","0","0","1","0","1","0","0","0","0","0"
"National Mediation Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2011","0","0","1","0","0","1","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","0","0","1","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2011","10","4","0","14","0","0","1","0","0","0","4"
"Federal Deposit Insurance Corporation","Agency Overall","2011","1","0","1","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","1"
"Federal Trade Commission","Agency Overall","2011","0","0","0","4","0","1","0","0","0","0","1"
"United States African Development Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","2","1","0","0","0","0","0","0","0","0","1"
"Postal Regulatory Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2011","1","0","30","7","0","2","1","7","7","0","0"
"Social Security Administration","Agency Overall","2011","7","0","0","1","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2011","40","3","35","1","1","16","3","17","0","0","166"
"Federal Open Market Committee","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2011","13","0","0","13","0","1","0","2","5","2","111"
"National Science Foundation","Agency Overall","2011","0","0","0","0","0","0","0","1","0","0","3"
"United States Copyright Office","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","2"
"Consumer Product Safety Commission","Agency Overall","2011","1","0","1","0","0","0","0","2","0","1","0"
"United States International Boundary and Water Commission","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2011","1201","101","383","248","36","327","43","187","135","61","1434"
