"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","19","19","0"
"Office of the Director of National Intelligence","Agency Overall","2011","136","387","405","118"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","4","18","20","2"
"Environmental Protection Agency","Agency Overall","2011","1835","10123","10435","1523"
"Social Security Administration","Agency Overall","2011","834","32456","32445","845"
"Department of Labor","Agency Overall","2011","1260","18012","18129","1143"
"Federal Open Market Committee","Agency Overall","2011","1","35","35","1"
"Department of the Interior","Agency Overall","2011","1130","5809","5909","1030"
"National Science Foundation","Agency Overall","2011","51","526","519","58"
"United States Copyright Office","Agency Overall","2011","1","44","40","5"
"Consumer Product Safety Commission","Agency Overall","2011","368","2545","2560","353"
"United States International Boundary and Water Commission","Agency Overall","2011","1","24","23","2"
"All agencies","Agency Overall","2011","96022","644165","631424","108763"
